'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MCCLOUD (MLD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:38
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MLD,2,1990,,8.13,3.47,3.01,0.71,10.72,0.24,0.04,1.10,0.26,0.86,1.11,0.58
MLD,2,1991,,0.94,2.99,11.89,1.74,1.96,0.55,0.09,0.06,0.00,0.98,1.30,4.29
MLD,2,1992,,2.45,14.81,6.97,2.53,0.01,4.10,0.19,0.00,0.02,3.53,1.29,14.72
MLD,2,1993,,9.56,4.27,7.30,4.12,5.08,1.70,0.00,0.74,0.03,2.05,1.71,7.67
MLD,2,1994,,6.30,4.55,0.63,1.66,2.95,0.36,0.00,0.00,0.00,0.05,5.89,4.18
MLD,2,1995,,32.57,1.54,20.22,8.11,2.14,2.95,0.36,0.00,0.00,0.06,0.58,14.15
MLD,2,1996,,9.46,12.87,4.16,5.14,6.82,0.40,0.18,0.05,0.81,2.21,7.76,20.32
MLD,2,1997,,11.80,1.02,2.35,3.14,0.71,2.50,0.35,1.61,1.34,2.18,12.15,3.65
MLD,2,1998,,14.74,29.25,7.42,4.04,8.56,1.64,0.14,0.00,0.87,1.41,13.86,3.34
MLD,2,1999,,6.49,12.41,6.29,2.36,0.58,0.11,0.00,0.34,0.00,2.31,7.68,1.72
MLD,2,2000,,15.64,16.46,3.57,6.05,1.20,0.39,0.38,0.06,1.71,2.93,1.56,2.54
MLD,2,2001,,3.89,10.76,4.45,2.04,0.35,2.50,0.06,0.23,1.26,1.60,10.46,12.06
MLD,2,2002,,4.24,4.29,2.36,1.64,0.94,0.48,0.00,0.00,0.07,0.00,4.32,23.56
MLD,2,2003,,4.94,2.48,6.18,8.72,0.79,0.32,0.30,0.90,0.35,0.00,8.40,12.92
MLD,2,2004,,6.03,13.82,1.94,2.20,0.79,0.10,0.00,0.14,0.01,7.36,1.87,13.37
MLD,2,2005,,9.09,2.45,7.22,3.30,7.92,3.65,0.00,0.00,0.29,1.58,7.63,15.07
MLD,2,2006,,9.84,6.24,13.28,8.39,1.60,0.23,0.00,0.00,0.00,0.08,5.41,9.19
MLD,2,2007,,0.80,10.69,0.93,1.37,0.86,0.50,0.90,0.00,1.02,4.62,0.89,9.10
MLD,2,2008,,12.77,6.67,0.52,0.78,1.47,0.04,0.00,0.00,0.00,3.26,6.14,5.09
MLD,2,2009,,1.31,12.91,9.37,1.52,5.13,2.04,0.00,0.50,0.06,6.17,2.59,6.13
MLD,2,2010,,18.29,7.85,7.25,5.67,3.16,1.80,0.05,0.25,0.45,5.12,3.75,12.41
MLD,2,2011,,1.33,6.37,23.18,2.66,2.17,2.61,0.20,0.00,0.18,2.40,4.16,0.42
MLD,2,2012,,6.31,3.22,13.52,8.40,1.04,1.48,0.35,1.00,0.00,1.60,10.53,13.56
MLD,2,2013,,0.87,0.56,2.97,1.64,2.22,2.19,0.26,0.00,2.68,0.00,0.69,0.35
MLD,2,2014,,0.43,8.58,5.76,3.51,0.50,0.00,0.08,0.05,3.00,m,m,m
MLD,2,,
'End of Data
