'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MOUNTAIN HOME (MNH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:38
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MNH,2,1990,,5.50,6.00,4.20,1.30,4.50,1.00,0.10,0.00,0.60,0.00,2.10,1.30
MNH,2,1991,,1.80,1.60,19.80,0.90,1.00,0.20,0.10,0.00,0.10,0.10,1.60,2.00
MNH,2,1992,,2.70,7.90,4.90,0.90,0.40,0.00,0.70,0.10,0.20,7.10,0.20,8.10
MNH,2,1993,,13.80,9.40,5.50,1.80,0.40,3.00,0.00,0.00,0.00,0.90,3.60,4.10
MNH,2,1994,,2.40,9.30,2.20,3.60,2.50,0.00,0.00,0.00,0.50,4.50,6.90,3.30
MNH,2,1995,,25.10,2.20,16.50,5.40,5.20,2.50,0.10,0.20,0.40,0.00,0.00,6.80
MNH,2,1996,,11.00,15.80,2.70,4.10,0.00,0.00,0.00,0.80,0.60,2.10,13.40,16.00
MNH,2,1997,,21.00,1.40,0.50,0.20,0.00,0.00,0.40,0.10,0.80,5.50,3.20,8.60
MNH,2,1998,,9.10,20.00,10.00,8.10,5.40,4.20,0.00,0.00,2.30,1.00,1.90,4.30
MNH,2,1999,,6.80,6.10,3.10,4.00,0.50,0.40,0.20,1.90,0.00,0.20,2.80,0.00
MNH,2,2000,,5.40,15.40,4.40,3.90,1.40,1.40,0.00,1.90,0.90,7.50,0.40,0.00
MNH,2,2001,,6.40,7.01,2.20,7.40,0.00,0.00,0.00,0.10,0.10,0.00,6.30,11.30
MNH,2,2002,,5.50,0.30,5.86,2.10,1.50,0.00,0.00,0.00,0.00,0.00,13.00,5.70
MNH,2,2003,,0.70,5.20,4.20,7.60,4.00,0.00,0.00,0.00,0.00,0.70,3.00,10.90
MNH,2,2004,,1.51,7.51,2.00,0.60,0.00,0.00,0.00,0.00,0.00,4.90,2.03,5.70
MNH,2,2005,,13.72,2.90,11.70,2.61,5.30,0.20,0.01,0.00,0.00,0.00,0.40,5.01
MNH,2,2006,,m,m,m,m,m,m,m,m,m,0.00,0.00,0.00
MNH,2,2007,,3.43,8.63,2.80,3.10,0.00,0.10,0.20,0.00,0.70,0.20,0.90,7.00
MNH,2,2008,,10.70,11.10,0.60,0.70,1.15,0.22,0.00,0.11,0.00,0.00,2.41,6.30
MNH,2,2009,,4.21,8.30,3.60,3.41,1.11,1.02,0.00,0.00,0.11,0.00,1.21,8.23
MNH,2,2010,,7.60,10.90,5.30,8.01,1.33,0.51,0.00,0.20,0.01,1.70,7.22,20.20
MNH,2,2011,,2.20,6.91,11.00,1.62,3.01,0.11,0.82,0.32,0.74,3.81,0.80,0.30
MNH,2,2012,,5.52,3.11,7.71,8.20,0.10,0.20,0.00,0.00,0.01,0.72,1.49,11.14
MNH,2,2013,,3.35,1.89,1.37,1.67,1.73,0.27,0.13,0.95,0.04,0.85,1.19,0.71
MNH,2,2014,,0.96,5.17,2.84,4.66,0.72,m,m,m,m,m,m,m
MNH,2,,
'End of Data
