'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MINERAL (OBSERVER) (MNR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:38
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MNR,2,1990,,7.89,4.64,3.07,1.19,8.43,0.77,0.00,0.46,1.15,1.52,2.11,1.36
MNR,2,1991,,0.68,2.71,17.98,3.67,3.06,1.15,0.94,0.00,0.06,3.64,3.66,4.89
MNR,2,1992,,3.17,11.01,2.90,3.47,0.19,3.46,0.72,0.04,0.00,5.60,1.11,12.82
MNR,2,1993,,20.31,8.03,7.63,5.96,6.33,3.31,0.00,0.49,0.00,5.41,3.22,7.47
MNR,2,1994,,3.21,7.41,2.01,2.15,3.13,0.46,0.00,0.00,0.45,0.54,7.70,5.32
MNR,2,1995,,28.76,3.13,19.83,11.61,5.65,4.42,0.04,0.00,0.00,0.00,0.24,14.06
MNR,2,1996,,11.60,14.57,5.91,7.54,9.41,0.46,0.22,0.00,1.44,2.90,6.26,30.69
MNR,2,1997,,20.18,0.40,3.23,3.95,1.35,2.50,0.38,1.04,1.93,4.57,8.38,5.44
MNR,2,1998,,19.76,18.23,9.28,5.05,9.73,3.74,0.00,0.00,0.92,2.31,16.11,5.80
MNR,2,1999,,7.27,14.48,6.18,3.32,0.29,1.15,0.00,0.49,0.03,4.70,7.11,1.45
MNR,2,2000,,13.15,16.41,3.22,4.24,2.29,0.68,0.00,0.00,0.46,4.84,2.02,1.86
MNR,2,2001,,4.89,7.80,3.97,3.64,0.16,1.16,0.00,0.00,1.16,2.85,10.44,12.01
MNR,2,2002,,6.45,3.90,4.72,2.70,0.76,0.00,0.00,0.00,0.00,0.00,8.48,28.81
MNR,2,2003,,6.41,2.50,8.01,11.04,2.60,0.00,0.00,1.18,0.28,0.00,4.99,14.84
MNR,2,2004,,5.43,14.90,1.86,1.80,2.30,0.37,0.27,0.00,0.00,4.95,2.23,5.51
MNR,2,2005,,5.22,4.68,6.85,3.29,9.30,2.42,0.00,0.00,0.59,1.35,9.15,28.29
MNR,2,2006,,8.77,9.63,13.25,11.34,1.48,0.20,0.00,0.00,0.00,0.38,5.81,7.05
MNR,2,2007,,0.19,11.48,1.03,2.01,1.17,0.38,0.60,0.00,0.94,3.43,1.67,4.93
MNR,2,2008,,14.12,6.81,2.66,0.81,0.85,0.00,0.00,0.01,m,4.31,6.20,2.58
MNR,2,2009,,3.03,12.31,9.92,0.66,3.29,2.29,0.00,0.43,0.12,5.05,3.27,5.43
MNR,2,2010,,12.48,5.43,5.61,6.42,3.40,0.72,0.38,0.10,0.34,7.09,7.15,15.29
MNR,2,2011,,1.45,8.28,15.95,4.37,4.96,2.20,0.00,0.00,0.00,3.53,2.97,0.58
MNR,2,2012,,6.68,2.49,12.83,7.50,0.65,1.37,0.00,0.02,0.00,1.58,16.88,20.87
MNR,2,2013,,1.73,1.52,5.27,1.47,2.18,1.63,0.00,0.00,1.44,1.32,1.76,0.58
MNR,2,2014,,1.09,10.40,14.39,2.79,0.98,m,0.27,m,m,m,m,m
MNR,2,,
'End of Data
