'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MARIPOSA RANGER STATION (MRP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:39
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MRP,2,1990,,5.37,5.22,1.64,1.99,2.62,0.00,0.00,0.00,0.20,0.27,0.96,1.76
MRP,2,1991,,1.76,3.96,16.20,0.29,0.25,0.28,0.00,0.16,0.00,4.92,1.32,2.77
MRP,2,1992,,1.67,9.25,3.93,0.10,0.00,0.30,2.25,0.00,0.00,2.69,0.09,8.73
MRP,2,1993,,15.44,7.52,4.63,0.46,1.23,1.04,0.00,0.00,0.00,0.63,1.27,3.34
MRP,2,1994,,2.12,5.92,0.67,2.71,2.07,0.00,0.00,0.00,0.32,2.29,4.53,3.32
MRP,2,1995,,17.18,1.38,15.27,4.10,3.80,1.27,0.00,0.00,0.00,0.00,0.01,7.31
MRP,2,1996,,8.65,7.23,4.64,3.21,1.83,0.60,0.00,0.00,0.00,2.49,9.73,18.76
MRP,2,1997,,15.23,0.31,0.04,0.20,0.05,0.10,0.00,0.00,0.20,0.51,4.30,3.49
MRP,2,1998,,12.70,13.40,6.04,3.92,4.06,1.40,0.00,0.00,0.15,0.15,2.46,2.71
MRP,2,1999,,5.70,7.52,2.32,2.99,0.22,0.38,0.00,0.00,0.00,0.00,2.53,0.01
MRP,2,2000,,11.17,13.30,3.27,3.52,0.94,0.67,0.00,0.00,0.43,4.17,0.77,0.41
MRP,2,2001,,5.17,5.33,2.72,3.85,0.00,0.00,0.01,0.00,0.19,0.99,6.85,7.42
MRP,2,2002,,2.73,2.18,2.39,0.60,1.66,0.00,0.00,0.00,0.19,0.00,m,m
MRP,2,2003,,1.35,2.50,2.10,5.90,1.56,0.00,0.05,0.62,0.00,0.00,1.36,6.95
MRP,2,2004,,2.22,7.43,2.23,1.74,0.30,0.00,0.00,0.00,0.11,8.88,3.67,6.61
MRP,2,2005,,12.48,4.89,9.54,1.58,3.27,0.00,0.00,0.10,0.50,0.45,0.74,10.41
MRP,2,2006,,6.80,4.20,8.36,8.27,1.85,0.00,0.00,0.00,0.00,1.14,2.21,4.15
MRP,2,2007,,1.57,8.57,1.00,1.61,0.30,0.00,0.00,0.02,m,0.84,0.20,1.35
MRP,2,2008,,9.26,5.73,0.08,0.03,0.68,0.00,0.00,0.00,0.00,0.72,3.50,4.15
MRP,2,2009,,4.23,6.99,5.21,1.49,2.07,0.42,0.00,0.00,0.22,7.26,0.57,6.79
MRP,2,2010,,6.84,6.21,3.58,5.47,1.29,0.00,0.00,0.00,0.00,0.56,5.36,13.80
MRP,2,2011,,3.54,5.72,10.39,0.41,2.46,1.70,0.00,0.00,0.00,1.15,0.39,0.00
MRP,2,2012,,1.01,0.91,0.60,4.90,0.00,0.45,0.00,0.00,0.00,m,m,m
MRP,2,2013,,1.38,0.10,1.37,0.67,m,m,m,m,m,0.70,0.80,1.26
MRP,2,2014,,1.72,2.93,3.06,1.52,0.05,0.00,0.00,m,m,m,m,m
MRP,2,,
'End of Data
