'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MOUNT SHASTA CITY (MSC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:39
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MSC,2,1990,,7.36,2.84,3.26,1.28,9.30,0.82,0.60,1.28,0.14,0.56,1.02,0.75
MSC,2,1991,,0.95,3.86,12.04,0.71,2.71,0.82,0.26,0.03,0.08,0.73,2.38,3.07
MSC,2,1992,,3.79,12.41,7.05,2.70,0.01,2.45,0.14,0.23,0.18,2.62,1.09,14.28
MSC,2,1993,,11.47,7.98,5.80,3.05,5.24,0.84,0.00,0.78,0.05,1.76,1.14,7.54
MSC,2,1994,,6.69,4.16,0.93,1.42,2.53,0.12,0.07,0.00,0.46,0.22,5.86,2.91
MSC,2,1995,,27.35,0.85,18.86,5.36,1.94,2.78,0.65,0.00,0.00,0.05,0.52,11.59
MSC,2,1996,,7.53,9.64,3.20,4.68,3.68,1.06,0.53,0.07,0.63,1.83,5.48,22.32
MSC,2,1997,,8.36,1.01,1.61,1.53,0.42,3.56,0.45,1.20,1.15,1.84,9.77,3.50
MSC,2,1998,,14.95,21.80,7.40,3.49,7.37,2.90,0.00,0.26,1.30,1.85,13.03,1.70
MSC,2,1999,,4.28,10.59,5.47,2.63,0.27,0.09,0.00,0.38,0.00,1.82,8.34,1.22
MSC,2,2000,,12.92,16.69,2.13,5.39,1.42,0.33,1.68,0.46,0.44,2.54,1.46,1.30
MSC,2,2001,,4.11,9.70,4.08,2.34,0.17,2.43,0.15,0.00,1.58,1.02,9.53,10.77
MSC,2,2002,,4.63,3.58,2.21,2.06,2.20,0.80,0.02,0.21,0.74,0.03,4.55,25.93
MSC,2,2003,,4.66,2.74,6.67,9.07,0.37,0.27,0.57,0.69,0.21,0.05,7.24,10.65
MSC,2,2004,,5.44,14.58,1.91,2.08,1.52,0.09,0.02,0.40,0.15,7.75,1.14,10.65
MSC,2,2005,,5.74,3.35,7.21,3.10,6.07,3.76,0.00,0.00,0.12,1.28,6.01,16.92
MSC,2,2006,,7.94,6.86,11.89,6.83,3.22,1.33,0.01,0.00,0.00,0.18,4.05,10.20
MSC,2,2007,,0.86,9.57,1.64,1.51,0.69,0.30,0.56,0.03,0.39,3.59,0.63,7.93
MSC,2,2008,,10.72,3.93,0.51,0.53,1.27,0.02,0.00,0.22,0.00,3.18,5.19,2.29
MSC,2,2009,,1.15,10.51,9.00,0.69,2.94,2.83,0.00,0.72,0.23,4.61,2.11,5.01
MSC,2,2010,,15.62,8.03,5.04,7.70,2.65,0.46,0.08,0.05,1.06,4.77,2.97,12.84
MSC,2,2011,,0.83,6.80,16.14,1.37,3.23,1.54,0.26,0.00,0.31,2.27,3.46,0.46
MSC,2,2012,,6.03,2.81,12.31,5.75,0.64,1.92,0.08,0.03,0.00,1.18,10.71,10.82
MSC,2,2013,,0.98,1.55,3.46,0.94,1.06,0.81,0.11,0.02,1.80,0.79,0.37,0.49
MSC,2,2014,,0.30,6.66,3.76,0.78,0.25,0.08,0.25,0.34,2.55,m,m,m
MSC,2,,
'End of Data
