'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MOUNTAIN PASS (MTP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:40
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MTP,2,1990,,1.26,0.64,0.00,0.20,0.28,2.98,1.98,0.45,2.76,0.00,0.09,0.03
MTP,2,1991,,1.20,0.53,2.11,0.00,0.00,0.33,3.48,0.47,0.45,0.40,0.30,0.73
MTP,2,1992,,0.73,2.75,4.94,0.14,0.22,0.00,0.33,3.97,0.10,0.86,0.00,2.21
MTP,2,1993,,3.55,2.08,0.14,0.00,0.25,0.75,0.00,0.18,0.00,0.01,0.77,0.55
MTP,2,1994,,0.06,0.30,0.85,0.34,0.31,0.00,0.07,0.43,0.49,0.10,1.07,1.68
MTP,2,1995,,3.53,0.80,1.43,0.32,0.18,0.09,0.00,0.71,0.00,0.00,0.00,0.17
MTP,2,1996,,0.76,0.55,1.06,0.00,0.32,0.02,0.89,0.49,1.14,0.50,1.09,0.18
MTP,2,1997,,1.38,0.11,0.00,0.00,0.00,0.00,1.00,0.00,2.75,0.00,0.40,0.50
MTP,2,1998,,0.53,5.50,2.40,0.75,1.25,0.17,0.85,0.11,1.20,0.40,0.51,0.00
MTP,2,1999,,0.13,0.29,0.00,1.24,0.21,0.00,4.51,0.37,1.88,0.00,0.00,0.00
MTP,2,2000,,0.20,3.81,0.40,0.57,0.00,0.00,0.00,3.69,0.00,1.18,0.00,0.01
MTP,2,2001,,1.68,1.75,1.70,0.38,0.00,0.00,2.49,0.16,0.00,0.06,0.16,0.41
MTP,2,2002,,0.04,0.00,0.26,0.00,0.00,0.00,1.04,0.00,0.23,0.59,0.15,1.50
MTP,2,2003,,0.13,1.84,1.26,1.34,0.09,0.00,0.65,1.99,0.75,0.00,1.14,0.92
MTP,2,2004,,0.23,2.17,0.62,1.59,m,1.00,m,1.00,0.59,2.09,1.94,2.20
MTP,2,2005,,2.39,3.70,0.61,0.13,0.00,0.00,0.90,2.71,0.53,1.55,0.00,0.03
MTP,2,2006,,0.13,0.39,1.13,1.14,0.16,m,m,m,m,1.76,0.00,0.25
MTP,2,2007,,0.00,0.03,0.50,0.18,m,m,m,m,m,m,m,m
MTP,2,2008,,0.96,0.61,0.10,m,m,m,m,m,m,m,m,m
MTP,2,2009,,m,m,m,m,m,m,m,m,m,0.22,0.00,1.44
MTP,2,2010,,3.94,2.77,1.07,0.30,m,m,m,m,m,0.10,m,m
MTP,2,2011,,m,m,m,m,m,m,m,m,m,0.68,m,m
MTP,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
MTP,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
MTP,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
MTP,2,,
'End of Data
