'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station MANZANITA LAKE (MZL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:40
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MZL,2,1990,,5.89,3.92,2.59,2.05,6.53,0.60,0.45,1.05,0.83,1.72,2.09,1.90
MZL,2,1991,,0.56,3.01,8.86,4.57,4.02,1.17,2.05,1.30,0.03,2.80,2.86,3.67
MZL,2,1992,,1.91,4.87,2.49,2.70,0.48,2.81,0.47,0.10,0.29,4.67,2.64,10.01
MZL,2,1993,,13.35,6.16,6.08,6.00,3.33,3.71,0.15,0.47,0.02,4.13,2.93,3.87
MZL,2,1994,,2.13,5.99,2.08,1.27,4.35,1.06,0.00,0.00,1.23,0.46,7.44,6.09
MZL,2,1995,,15.54,2.26,13.04,6.20,2.15,2.58,0.15,0.00,0.00,0.28,1.20,7.32
MZL,2,1996,,9.11,7.63,4.73,5.68,8.06,0.34,0.95,0.00,1.87,2.95,5.14,19.42
MZL,2,1997,,12.64,1.58,3.32,4.78,1.46,2.38,0.63,1.21,1.78,4.64,4.56,4.63
MZL,2,1998,,14.54,10.03,8.12,4.06,10.23,3.66,0.22,0.00,0.43,2.20,8.65,4.51
MZL,2,1999,,4.63,10.75,4.60,2.49,0.35,1.37,0.00,0.70,0.00,m,m,m
MZL,2,2003,,m,m,m,m,m,m,m,m,m,0.00,2.62,8.92
MZL,2,2004,,3.78,7.19,2.10,0.96,2.81,0.18,0.56,0.00,1.24,4.93,2.67,1.75
MZL,2,2005,,3.46,3.54,3.27,3.07,6.39,2.11,0.00,m,m,m,m,m
MZL,2,2006,,m,m,m,m,m,m,m,m,m,m,m,m
MZL,2,2007,,m,m,m,m,m,m,m,m,m,4.01,2.28,4.16
MZL,2,2008,,8.50,3.41,4.04,m,0.80,0.00,0.00,0.06,0.06,1.99,3.87,4.90
MZL,2,2009,,3.29,7.16,5.07,1.12,3.14,4.43,0.00,0.68,0.24,m,2.91,4.32
MZL,2,2010,,6.67,2.39,2.92,7.64,3.53,m,m,m,m,6.15,5.30,8.85
MZL,2,2011,,1.28,3.44,9.49,4.93,7.09,2.38,0.00,0.00,0.33,1.88,3.23,0.56
MZL,2,2012,,5.08,1.17,8.26,4.50,2.46,1.20,0.00,0.00,0.00,1.94,5.33,9.95
MZL,2,2013,,1.50,0.93,2.54,2.05,3.49,0.00,1.30,0.75,0.15,0.10,2.01,0.89
MZL,2,2014,,1.08,6.37,11.15,0.81,m,m,0.09,m,m,m,m,m
MZL,2,,
'End of Data
