'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station NEEDLES (NDL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:42
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
NDL,2,1990,,0.92,0.12,0.10,0.24,0.73,0.00,0.84,0.28,1.70,0.10,0.03,0.00
NDL,2,1991,,1.35,0.34,2.12,0.00,0.00,0.10,0.00,0.00,0.54,0.00,0.40,0.87
NDL,2,1992,,0.71,1.76,3.19,0.02,0.75,0.00,0.00,0.80,0.02,0.59,0.00,1.57
NDL,2,1993,,3.64,2.54,0.43,0.00,0.09,0.01,0.00,0.16,0.00,0.00,0.45,0.00
NDL,2,1994,,0.19,0.35,0.46,0.13,0.00,0.15,0.63,0.07,0.00,1.10,0.34,3.03
NDL,2,1995,,2.13,0.24,0.52,0.20,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00
NDL,2,1996,,0.00,0.36,0.22,0.00,0.04,0.00,0.22,0.00,1.35,0.20,0.60,0.00
NDL,2,1997,,1.36,0.20,0.00,0.10,0.00,0.00,0.00,0.50,2.00,0.00,0.00,0.43
NDL,2,1998,,0.80,4.33,0.51,0.08,0.00,0.00,m,0.25,1.96,0.00,0.30,0.00
NDL,2,1999,,0.10,0.32,0.00,1.70,0.00,0.00,1.01,0.00,0.42,0.00,0.00,0.00
NDL,2,2000,,0.00,0.32,0.42,0.00,0.00,0.22,0.00,0.42,0.00,0.66,0.00,0.00
NDL,2,2001,,2.60,1.37,1.10,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.10,0.13
NDL,2,2002,,0.03,0.00,0.02,0.04,0.00,0.00,0.02,0.00,0.08,0.25,0.48,0.00
NDL,2,2003,,0.30,1.97,0.81,0.17,0.01,0.00,0.03,0.58,0.42,0.00,0.37,0.06
NDL,2,2004,,0.00,1.53,0.06,1.35,0.00,0.00,0.00,1.12,0.00,1.65,1.25,0.69
NDL,2,2005,,2.07,3.05,0.31,m,m,m,m,m,m,m,m,m
NDL,2,2006,,m,m,m,m,m,m,m,m,m,0.18,0.00,0.05
NDL,2,2007,,0.17,m,m,m,m,m,m,m,m,0.00,0.73,0.31
NDL,2,2008,,1.10,0.50,0.02,0.00,0.00,0.00,0.49,1.70,0.03,0.00,0.86,1.12
NDL,2,2009,,0.06,0.93,0.00,0.00,0.01,0.00,0.00,0.40,0.00,0.00,0.10,0.76
NDL,2,2010,,2.70,0.75,0.63,0.00,0.00,0.12,0.00,0.08,0.01,0.46,0.00,1.21
NDL,2,2011,,0.00,0.72,0.08,0.09,0.45,0.00,0.17,0.04,1.10,0.39,0.31,0.29
NDL,2,2012,,0.00,0.09,0.11,0.42,0.00,0.00,1.37,0.32,0.21,0.72,0.00,0.99
NDL,2,2013,,0.46,0.08,0.25,0.00,0.00,0.00,0.17,2.84,0.26,0.03,0.91,0.01
NDL,2,2014,,0.00,0.08,0.00,0.01,0.00,0.00,1.73,2.70,m,m,m,m
NDL,2,,
'End of Data
