'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station NORTH FORK R S (NFR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:43
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
NFR,2,1990,,4.76,4.32,2.68,1.40,2.92,0.00,0.00,0.00,0.58,0.04,0.88,1.70
NFR,2,1991,,1.37,1.37,17.47,1.31,0.49,0.30,0.05,0.02,0.06,3.49,1.15,3.11
NFR,2,1992,,1.86,8.95,5.94,0.32,0.02,0.19,1.84,0.00,0.00,4.00,0.16,8.19
NFR,2,1993,,14.40,8.93,6.14,0.80,0.27,2.27,0.00,0.00,0.00,0.90,1.70,2.86
NFR,2,1994,,2.35,6.89,0.98,3.34,1.58,0.00,0.00,0.00,0.48,2.86,5.59,3.50
NFR,2,1995,,16.52,2.00,17.44,2.64,5.96,1.10,0.05,0.00,0.01,0.00,0.02,6.16
NFR,2,1996,,8.56,10.51,4.69,3.39,1.66,0.14,0.03,0.00,0.00,3.53,10.25,14.77
NFR,2,1997,,19.49,0.53,0.13,0.08,0.10,0.57,0.05,0.00,0.22,0.79,3.68,3.47
NFR,2,1998,,11.67,15.93,7.19,5.42,8.17,2.22,0.00,0.00,1.51,0.52,1.41,2.95
NFR,2,1999,,8.82,5.85,2.03,3.66,0.40,1.20,0.00,0.06,0.00,0.08,2.82,0.21
NFR,2,2000,,11.15,14.79,3.59,2.70,1.18,0.75,0.00,0.00,0.99,3.57,0.63,0.56
NFR,2,2001,,6.61,6.85,2.54,4.73,0.00,0.00,0.15,0.00,0.03,0.72,4.52,8.86
NFR,2,2002,,2.72,1.41,4.00,1.38,2.15,0.18,0.00,0.00,0.19,0.04,7.65,9.67
NFR,2,2003,,0.71,2.99,3.08,5.91,2.55,0.00,0.05,0.36,0.00,0.02,1.99,9.49
NFR,2,2004,,3.18,7.77,1.35,0.90,0.36,0.00,0.00,0.00,0.04,6.90,2.49,6.80
NFR,2,2005,,12.36,7.02,7.62,1.61,4.54,1.13,0.00,0.00,0.26,0.81,0.79,9.82
NFR,2,2006,,12.58,3.36,10.75,9.79,0.94,0.05,0.00,0.00,0.00,0.43,1.42,4.78
NFR,2,2007,,1.22,7.43,1.41,1.29,0.29,0.00,0.00,0.06,0.20,1.44,0.37,5.18
NFR,2,2008,,11.89,7.87,0.79,0.02,1.46,0.00,0.05,0.00,0.00,1.56,4.72,4.90
NFR,2,2009,,4.17,7.17,3.46,1.72,1.37,0.94,0.00,0.18,0.03,6.59,0.54,8.10
NFR,2,2010,,7.95,7.48,3.68,7.61,0.94,0.00,0.00,0.00,0.00,6.44,4.06,16.56
NFR,2,2011,,6.64,6.75,13.07,1.49,2.87,2.37,0.00,0.00,0.03,3.08,1.49,0.00
NFR,2,2012,,6.23,1.49,5.66,4.55,0.01,0.00,0.00,0.00,0.00,1.24,3.03,11.06
NFR,2,2013,,1.64,0.86,1.54,0.98,0.38,0.00,0.00,0.00,0.38,1.27,0.96,1.33
NFR,2,2014,,1.60,3.40,2.21,3.50,0.59,0.00,m,0.00,0.82,m,m,m
NFR,2,,
'End of Data
