'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FEATHER RIVER NEAR NICOLAUS (NIC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:43
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
NIC,2,1990,,5.12,3.22,1.50,0.30,2.43,0.00,0.00,0.00,0.00,0.45,0.74,1.65
NIC,2,1991,,0.65,2.69,8.27,0.30,0.54,0.52,0.02,0.15,0.01,0.93,0.33,2.65
NIC,2,1992,,2.20,6.32,2.97,1.17,0.04,0.36,0.00,0.00,0.00,1.76,0.41,5.61
NIC,2,1993,,8.34,5.36,2.28,0.89,1.27,0.65,0.00,0.00,0.00,0.61,2.49,2.25
NIC,2,1994,,2.77,3.45,0.41,0.73,0.66,0.00,0.00,0.00,0.07,0.60,4.58,4.48
NIC,2,1995,,10.04,0.14,8.14,1.21,1.20,1.18,0.00,0.00,0.00,0.00,0.00,5.35
NIC,2,1996,,3.29,6.09,2.53,3.25,2.43,0.00,0.00,0.00,0.00,1.84,1.10,6.72
NIC,2,1997,,8.28,0.23,0.98,0.31,0.52,0.75,0.00,0.24,0.66,1.24,4.33,2.57
NIC,2,1998,,5.96,9.92,2.07,2.08,2.45,0.02,0.00,0.00,0.38,1.09,2.45,1.53
NIC,2,1999,,2.85,3.77,1.48,1.34,0.09,0.02,0.00,0.00,0.00,0.23,1.52,0.29
NIC,2,2000,,5.09,7.12,2.28,1.33,1.12,0.09,0.00,0.00,0.00,1.72,0.75,0.38
NIC,2,2001,,3.33,4.28,1.93,0.88,0.00,0.12,0.00,0.00,0.23,0.40,2.59,5.64
NIC,2,2002,,2.24,0.74,3.39,0.23,1.37,m,m,m,m,m,m,m
NIC,2,2003,,m,m,m,m,m,m,m,m,m,0.00,2.21,8.02
NIC,2,2004,,2.28,5.05,m,m,m,m,m,m,m,2.24,3.06,2.88
NIC,2,2005,,3.89,2.58,1.95,m,1.71,0.61,0.00,0.00,0.08,0.32,2.32,7.62
NIC,2,2006,,2.14,2.07,4.69,3.63,0.52,0.00,0.00,0.00,0.00,0.10,1.55,2.34
NIC,2,2007,,0.03,3.11,m,m,m,m,m,m,m,1.55,0.73,3.46
NIC,2,2008,,6.89,2.05,0.22,0.05,0.03,0.00,0.00,0.00,0.00,0.45,2.64,1.95
NIC,2,2009,,1.13,4.13,1.57,0.47,1.36,0.09,0.00,0.00,0.16,2.27,0.73,1.67
NIC,2,2010,,5.14,2.18,1.89,2.11,0.62,0.00,m,m,m,1.28,2.69,6.38
NIC,2,2011,,0.97,3.67,7.07,0.09,1.79,1.57,0.00,0.00,0.00,1.43,0.93,0.10
NIC,2,2012,,3.55,0.81,4.47,2.24,0.02,0.00,m,m,m,1.07,4.28,4.52
NIC,2,2013,,0.94,0.81,1.46,0.92,m,m,m,m,0.67,m,m,0.02
NIC,2,2014,,m,m,m,m,m,m,0.00,m,m,m,m,m
NIC,2,,
'End of Data
