'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station NILAND (NLD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:43
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
NLD,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
NLD,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
NLD,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
NLD,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
NLD,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
NLD,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
NLD,2,1996,,m,m,m,m,m,m,m,m,m,0.00,0.08,0.03
NLD,2,1997,,0.39,0.00,0.08,0.00,0.00,0.00,0.00,0.00,1.23,0.37,0.00,0.72
NLD,2,1998,,0.10,1.31,0.71,0.00,0.00,0.00,0.00,0.08,0.90,0.00,0.01,0.16
NLD,2,1999,,0.00,0.21,0.00,0.18,0.00,0.00,1.30,0.01,0.15,0.00,0.00,0.00
NLD,2,2000,,0.00,0.30,0.05,0.00,0.00,0.55,0.00,0.02,0.00,0.02,0.01,0.00
NLD,2,2001,,0.47,0.82,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.06
NLD,2,2002,,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.76,0.00,0.00,0.00
NLD,2,2003,,0.00,1.06,0.25,0.00,0.00,0.00,0.07,0.13,0.30,0.00,0.11,0.01
NLD,2,2004,,0.05,1.27,0.08,1.01,0.00,0.00,0.02,0.13,0.00,0.99,0.25,1.45
NLD,2,2005,,1.01,1.68,0.21,0.00,0.00,0.00,0.00,0.03,0.14,0.42,0.00,0.00
NLD,2,2006,,0.00,0.00,0.21,0.00,m,0.00,m,m,m,0.04,m,0.00
NLD,2,2007,,0.00,0.00,0.04,0.17,0.00,m,m,0.14,m,0.00,0.76,0.04
NLD,2,2008,,0.94,0.00,0.00,0.00,0.00,m,0.01,m,0.13,0.00,0.33,m
NLD,2,2009,,m,0.59,0.00,0.00,0.00,m,m,m,m,0.00,0.00,m
NLD,2,2010,,m,m,1.29,m,0.00,0.00,0.00,m,m,0.35,0.00,0.67
NLD,2,2011,,0.00,0.70,0.00,0.00,0.00,m,0.00,m,0.27,0.00,0.35,0.12
NLD,2,2012,,0.00,m,0.00,0.00,0.00,0.00,1.02,m,m,0.00,0.00,m
NLD,2,2013,,0.63,m,m,0.00,m,0.00,m,0.75,0.11,0.03,m,m
NLD,2,2014,,0.00,0.00,m,m,m,0.00,0.12,0.29,0.18,m,m,m
NLD,2,,
'End of Data
