'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station NAPA FIRE DEPARTMENT (NSH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:44
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
NSH,2,1990,,4.05,3.50,1.18,0.34,3.27,0.00,0.00,0.00,0.36,0.23,0.54,0.99
NSH,2,1991,,0.46,3.05,10.64,0.33,0.15,0.40,0.00,0.16,0.01,2.47,0.84,2.18
NSH,2,1992,,2.28,7.34,4.28,0.63,0.00,1.09,0.00,0.00,0.00,3.09,0.27,8.28
NSH,2,1993,,8.90,5.87,2.08,1.18,1.39,0.71,0.00,0.00,0.00,1.15,3.49,3.50
NSH,2,1994,,2.56,3.62,0.19,1.26,1.57,0.04,0.00,0.00,0.00,1.31,6.17,3.99
NSH,2,1995,,13.66,0.51,11.97,1.28,0.72,0.90,0.00,0.00,0.00,0.00,0.18,8.90
NSH,2,1996,,8.21,9.60,2.35,3.81,3.72,0.00,0.00,0.00,0.03,1.94,3.18,12.92
NSH,2,1997,,10.50,0.46,0.86,0.57,0.79,0.23,0.00,0.82,0.03,1.26,7.95,2.56
NSH,2,1998,,8.58,14.15,2.68,1.55,2.99,0.15,0.00,0.00,0.15,0.76,4.94,1.02
NSH,2,1999,,2.99,9.83,2.70,2.88,0.13,0.00,0.00,0.00,0.00,0.75,2.54,0.91
NSH,2,2000,,4.87,9.88,2.92,1.69,1.54,0.12,0.00,0.00,0.08,2.29,1.37,1.22
NSH,2,2001,,4.34,7.26,1.08,0.46,0.00,0.26,0.00,0.00,0.50,0.51,6.17,9.45
NSH,2,2002,,3.50,1.93,2.63,0.30,1.20,0.00,0.00,0.00,0.00,0.00,3.38,13.21
NSH,2,2003,,2.67,2.59,4.98,3.97,1.85,0.00,0.00,0.62,0.03,0.25,3.14,7.70
NSH,2,2004,,3.60,6.53,0.86,0.34,0.10,0.00,0.00,0.00,0.14,2.34,2.51,7.34
NSH,2,2005,,4.39,3.88,5.61,1.57,2.37,0.90,0.00,0.00,0.01,0.67,2.25,15.48
NSH,2,2006,,4.29,3.71,8.41,5.77,1.19,0.11,0.00,0.00,0.00,0.14,3.30,3.71
NSH,2,2007,,0.36,5.12,0.35,1.52,0.35,0.00,0.00,0.00,0.05,1.50,1.05,4.10
NSH,2,2008,,10.06,3.44,0.35,0.19,0.08,0.00,0.00,0.00,0.00,0.59,3.00,2.57
NSH,2,2009,,0.97,9.20,2.36,0.95,1.47,0.05,0.00,0.00,0.15,5.08,0.83,2.14
NSH,2,2010,,9.19,3.98,2.63,3.86,1.16,0.00,0.00,0.00,0.00,3.71,3.05,8.64
NSH,2,2011,,1.28,4.27,8.95,0.59,1.89,2.61,0.00,m,0.00,1.33,1.55,0.18
NSH,2,2012,,4.89,1.50,9.04,2.48,0.00,0.04,0.00,0.00,m,1.51,4.80,7.87
NSH,2,2013,,0.74,0.35,0.93,1.19,1.15,0.68,0.00,0.00,0.67,0.00,1.13,0.71
NSH,2,2014,,0.11,10.91,3.38,2.88,0.00,0.00,0.00,0.05,0.21,m,m,m
NSH,2,,
'End of Data
