'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station NEVADA CITY (NVD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:44
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
NVD,2,1990,,12.48,6.82,4.87,1.82,8.54,0.04,0.00,0.00,0.28,0.97,2.44,2.40
NVD,2,1991,,1.09,4.50,25.88,2.41,3.30,2.00,0.00,0.37,0.02,4.44,2.96,5.44
NVD,2,1992,,3.89,16.07,5.62,2.72,0.00,1.64,0.00,0.00,0.04,5.06,1.07,15.77
NVD,2,1993,,21.73,12.21,7.56,3.43,2.92,2.63,0.00,0.55,0.00,1.62,4.30,9.81
NVD,2,1994,,3.73,9.37,2.14,5.17,1.47,0.03,0.00,0.00,1.10,1.25,11.77,13.42
NVD,2,1995,,30.35,1.28,26.12,7.18,5.07,2.85,0.09,0.00,0.00,0.00,0.63,15.58
NVD,2,1996,,15.72,17.70,6.03,8.74,8.62,0.24,0.06,0.01,0.46,2.21,9.14,33.04
NVD,2,1997,,28.35,1.14,2.41,1.53,1.03,1.51,0.05,0.85,0.57,3.93,10.11,5.43
NVD,2,1998,,21.99,23.85,5.89,7.32,7.47,1.44,0.00,0.00,1.94,1.00,12.93,6.95
NVD,2,1999,,12.32,18.56,6.13,3.49,1.40,0.23,0.00,0.15,0.00,2.46,5.99,2.05
NVD,2,2000,,15.30,24.82,6.24,3.79,3.42,0.60,0.00,0.00,1.82,6.00,2.05,3.06
NVD,2,2001,,7.33,9.33,4.60,4.37,0.02,0.20,0.00,0.00,0.53,2.01,9.94,19.72
NVD,2,2002,,6.29,5.25,9.12,1.80,2.40,0.00,0.00,0.00,0.00,0.00,6.83,24.35
NVD,2,2003,,4.63,3.72,5.99,11.67,2.84,0.00,0.00,1.78,0.19,0.27,5.09,19.54
NVD,2,2004,,7.95,14.09,2.60,1.34,1.02,0.22,0.15,0.00,0.33,8.31,3.92,12.80
NVD,2,2005,,11.18,6.03,13.02,4.17,9.23,2.20,0.00,0.00,0.53,1.39,4.77,29.95
NVD,2,2006,,10.44,7.19,17.76,15.04,1.65,0.00,0.00,0.00,0.00,0.79,6.10,10.79
NVD,2,2007,,1.32,15.77,1.41,4.65,1.91,1.02,0.07,0.00,1.42,4.26,1.78,11.52
NVD,2,2008,,12.28,8.83,2.48,0.50,0.74,0.00,0.00,0.03,0.00,2.48,5.82,8.77
NVD,2,2009,,3.74,15.21,8.04,3.18,5.77,0.92,0.00,0.00,0.11,4.69,2.37,8.74
NVD,2,2010,,15.30,8.00,6.22,12.31,4.09,0.17,0.00,m,0.05,8.50,11.37,20.33
NVD,2,2011,,3.29,7.04,26.90,3.14,4.24,2.63,0.00,0.00,0.03,4.90,3.02,0.24
NVD,2,2012,,9.20,3.74,20.92,10.67,0.90,2.30,0.10,0.00,0.00,3.67,15.36,22.54
NVD,2,2013,,1.76,0.89,3.82,1.80,1.25,2.12,0.00,0.22,3.32,0.67,1.79,0.95
NVD,2,2014,,1.79,15.76,10.10,4.09,0.73,0.00,0.00,0.12,1.55,m,m,m
NVD,2,,
'End of Data
