'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station KLAMATH RIVER AT ORLEANS (OLS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:44
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
OLS,2,1990,,10.02,4.21,3.83,1.68,9.25,0.69,0.13,1.32,0.19,1.87,2.05,3.41
OLS,2,1991,,5.14,3.53,8.69,2.97,1.82,0.42,1.08,0.56,0.00,2.89,3.36,2.19
OLS,2,1992,,3.44,5.46,4.01,4.06,0.02,1.63,0.66,0.00,0.49,6.00,3.29,10.89
OLS,2,1993,,8.93,6.79,4.96,9.30,5.11,1.47,0.04,0.22,0.00,1.53,1.65,8.95
OLS,2,1994,,6.03,6.21,1.51,2.31,2.28,0.74,0.00,0.00,0.12,1.28,11.79,5.79
OLS,2,1995,,20.03,1.85,13.43,8.35,1.32,2.65,0.18,0.00,0.47,0.35,4.06,18.94
OLS,2,1996,,15.54,8.92,6.32,5.72,4.31,0.16,0.00,0.00,1.45,3.92,9.41,26.17
OLS,2,1997,,9.68,2.51,3.96,4.46,1.15,1.26,0.00,0.73,0.21,5.38,6.61,7.13
OLS,2,1998,,18.85,14.84,8.10,2.89,2.45,0.03,0.00,0.00,0.15,3.24,18.18,5.62
OLS,2,1999,,9.20,16.74,7.14,1.46,0.84,0.00,0.00,0.31,0.00,2.93,7.97,3.18
OLS,2,2000,,14.63,8.35,2.66,2.21,2.00,0.26,0.06,0.04,0.41,3.69,2.75,3.34
OLS,2,2001,,2.08,2.56,2.86,2.28,1.60,1.75,0.09,0.12,1.03,1.08,11.92,11.91
OLS,2,2002,,7.08,7.40,3.97,2.72,0.89,0.00,0.02,0.00,0.00,0.00,6.86,24.19
OLS,2,2003,,7.94,4.16,7.43,9.63,1.04,0.01,0.00,0.27,0.60,0.16,6.80,16.08
OLS,2,2004,,9.00,13.00,3.24,2.08,1.00,0.16,0.00,0.24,0.55,5.83,1.80,12.88
OLS,2,2005,,6.32,1.80,8.88,7.12,6.52,2.77,0.02,0.00,0.19,2.19,12.11,25.52
OLS,2,2006,,15.09,4.66,8.73,3.64,2.07,0.82,0.00,0.16,0.09,0.64,13.40,13.32
OLS,2,2007,,2.86,11.83,1.88,3.48,1.56,0.16,1.49,m,m,8.53,3.82,9.16
OLS,2,2008,,14.55,4.68,5.49,2.21,0.34,0.12,0.09,0.06,0.12,1.97,6.72,11.77
OLS,2,2009,,2.92,6.31,5.45,0.79,4.17,0.92,0.00,0.10,0.37,1.83,5.15,5.90
OLS,2,2010,,10.26,5.94,7.02,8.09,3.60,2.44,0.00,0.30,1.59,9.03,6.01,14.04
OLS,2,2011,,3.12,4.48,13.05,4.87,2.36,1.78,0.12,0.00,0.20,4.89,5.05,2.20
OLS,2,2012,,12.34,3.64,13.56,4.59,0.64,1.32,0.28,0.00,0.00,4.18,7.32,15.00
OLS,2,2013,,2.40,1.56,3.04,2.36,1.90,0.66,0.04,0.32,4.56,0.02,1.63,1.04
OLS,2,2014,,1.80,13.63,11.13,1.66,0.49,0.68,0.00,0.00,2.17,m,m,m
OLS,2,,
'End of Data
