'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ORLAND (ORL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:45
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
ORL,2,1990,,3.51,0.81,1.21,0.10,2.71,0.00,0.00,0.23,0.14,0.16,0.35,0.89
ORL,2,1991,,0.45,3.29,8.45,0.63,0.75,0.63,0.00,0.00,0.00,0.10,0.39,3.49
ORL,2,1992,,1.99,6.57,5.52,0.82,0.00,1.14,0.00,0.00,0.00,1.67,0.32,5.14
ORL,2,1993,,9.15,7.10,1.35,0.87,2.48,1.84,0.00,0.00,0.00,1.26,1.53,1.99
ORL,2,1994,,2.92,5.15,0.11,0.68,1.63,0.00,0.00,0.00,0.06,0.35,2.82,6.98
ORL,2,1995,,17.37,0.89,8.26,1.28,2.51,0.59,0.00,0.00,0.00,0.00,0.00,6.09
ORL,2,1996,,5.44,6.54,2.13,1.25,1.64,0.04,0.01,0.00,0.36,1.78,2.71,5.09
ORL,2,1997,,6.83,0.33,1.79,0.26,0.46,0.52,0.11,0.64,0.16,0.62,6.57,2.38
ORL,2,1998,,7.56,18.04,3.39,2.80,4.65,1.17,0.00,0.00,0.04,1.92,3.80,1.73
ORL,2,1999,,1.06,3.81,2.59,0.96,0.06,0.68,0.00,0.19,0.00,0.19,3.09,0.28
ORL,2,2000,,4.79,5.95,2.52,2.11,1.21,0.45,0.00,0.00,0.00,1.98,0.67,0.31
ORL,2,2001,,5.84,4.51,2.45,1.31,0.00,0.68,0.00,0.00,0.43,0.91,5.24,6.29
ORL,2,2002,,2.30,0.45,0.97,0.03,1.03,0.00,0.00,0.00,0.00,0.00,2.00,10.18
ORL,2,2003,,3.66,2.07,2.88,2.97,1.30,0.00,0.02,1.03,0.00,0.19,3.61,8.12
ORL,2,2004,,2.76,6.74,1.40,0.21,0.05,0.00,0.00,0.00,0.00,3.62,1.81,6.34
ORL,2,2005,,6.29,3.32,2.27,1.80,3.21,0.71,0.00,0.00,0.00,0.40,2.21,8.59
ORL,2,2006,,3.22,2.87,5.69,5.40,0.63,0.27,0.00,0.00,0.00,0.09,1.64,3.10
ORL,2,2007,,0.04,3.31,0.12,1.59,0.33,0.15,0.47,0.26,0.93,0.77,0.43,3.13
ORL,2,2008,,8.85,2.71,0.00,0.07,0.21,0.00,0.00,0.00,0.00,0.80,2.18,1.38
ORL,2,2009,,0.80,9.13,1.59,0.47,0.55,0.75,0.00,0.00,0.05,2.30,0.63,3.07
ORL,2,2010,,8.36,3.92,0.90,3.32,1.17,m,m,m,m,2.38,1.33,4.93
ORL,2,2011,,1.31,2.50,5.79,m,2.02,1.23,0.00,0.00,0.02,1.84,2.68,0.07
ORL,2,2012,,3.62,0.86,3.38,1.67,0.00,0.07,0.00,0.00,0.00,0.37,4.11,6.90
ORL,2,2013,,1.27,0.31,1.06,0.70,0.13,0.13,0.00,0.00,1.60,0.04,0.67,0.11
ORL,2,2014,,0.01,3.75,4.13,0.86,m,m,0.00,m,m,m,m,m
ORL,2,,
'End of Data
