'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station OCEANSIDE MARINA (OSM), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:45
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
OSM,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
OSM,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
OSM,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
OSM,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
OSM,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
OSM,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
OSM,2,1996,,m,m,m,m,m,m,m,m,m,0.76,2.43,0.64
OSM,2,1997,,4.24,0.40,0.00,0.91,0.00,0.00,0.00,0.00,1.00,0.00,1.82,1.26
OSM,2,1998,,2.02,8.53,1.40,2.85,1.18,0.00,0.00,0.00,0.70,0.00,0.62,0.60
OSM,2,1999,,1.47,0.74,1.00,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OSM,2,2000,,0.83,3.05,1.20,0.56,0.00,0.00,0.00,0.00,0.08,2.11,0.18,0.00
OSM,2,2001,,2.74,3.91,0.76,0.97,0.00,0.01,0.00,0.00,0.00,0.00,1.09,1.14
OSM,2,2002,,0.41,0.38,0.56,0.39,0.00,0.00,0.00,0.00,0.33,0.09,1.17,2.01
OSM,2,2003,,0.21,5.14,1.34,2.44,0.13,0.20,0.09,0.07,0.00,0.14,0.63,0.66
OSM,2,2004,,0.40,3.27,0.27,0.45,0.00,0.00,0.00,0.00,0.00,5.09,0.39,2.84
OSM,2,2005,,5.20,6.43,1.04,0.78,0.03,0.00,0.00,0.00,0.37,1.06,0.34,0.38
OSM,2,2006,,0.61,1.05,2.10,1.08,0.58,0.17,0.00,m,0.00,0.23,0.00,0.75
OSM,2,2007,,1.02,1.49,m,m,0.00,0.00,m,m,0.18,0.29,0.00,m
OSM,2,2008,,4.58,m,m,0.00,m,m,m,m,0.50,0.00,1.58,2.71
OSM,2,2009,,0.22,1.98,0.07,0.07,0.12,0.00,0.00,0.00,0.00,0.05,0.25,1.84
OSM,2,2010,,4.10,4.07,0.32,1.84,0.00,0.01,0.00,0.00,0.00,3.61,0.64,5.82
OSM,2,2011,,1.50,1.19,2.02,0.05,0.99,0.13,0.06,0.00,0.79,0.35,2.68,1.01
OSM,2,2012,,0.94,0.41,0.87,1.29,0.02,0.00,0.00,m,m,0.73,0.47,1.85
OSM,2,2013,,1.11,0.38,1.19,0.00,0.64,0.00,0.00,0.00,0.00,0.49,1.10,0.23
OSM,2,2014,,0.00,1.46,0.51,0.22,0.00,0.00,0.00,0.09,0.00,m,m,m
OSM,2,,
'End of Data
