'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station OXNARD (OXN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:45
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
OXN,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
OXN,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
OXN,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
OXN,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
OXN,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
OXN,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
OXN,2,1996,,m,m,m,m,m,m,m,m,m,1.26,2.16,5.71
OXN,2,1997,,4.07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,3.28,6.24
OXN,2,1998,,3.27,17.40,3.14,1.26,2.11,0.00,0.00,0.00,0.16,0.00,0.87,0.64
OXN,2,1999,,1.86,0.58,2.80,2.29,0.00,0.22,0.00,0.00,0.13,0.00,1.19,0.00
OXN,2,2000,,1.82,6.15,2.31,2.22,0.00,0.00,0.00,0.00,0.18,0.63,0.00,0.04
OXN,2,2001,,5.57,5.74,3.81,0.82,0.00,0.00,0.02,0.00,0.00,0.18,0.74,0.42
OXN,2,2002,,0.00,0.19,0.18,0.03,0.00,0.00,0.00,0.00,0.00,0.00,4.02,2.86
OXN,2,2003,,0.00,5.68,3.28,1.15,1.55,0.02,0.01,0.00,0.03,0.32,0.62,1.44
OXN,2,2004,,0.71,4.28,0.91,0.00,0.00,0.00,0.00,0.00,0.03,4.51,0.21,4.97
OXN,2,2005,,9.56,9.37,2.18,1.00,0.42,0.00,0.00,0.00,0.22,1.11,0.40,0.87
OXN,2,2006,,1.63,2.15,3.39,3.22,0.92,0.01,0.00,0.01,0.02,0.09,0.13,1.02
OXN,2,2007,,2.65,0.86,0.02,0.97,0.00,0.00,0.00,0.00,0.40,0.29,0.15,2.22
OXN,2,2008,,7.24,2.04,0.01,0.02,0.09,0.00,0.00,0.01,0.00,0.04,2.48,2.14
OXN,2,2009,,0.30,4.63,0.36,0.02,0.00,0.15,0.00,0.00,0.00,1.36,0.00,2.64
OXN,2,2010,,6.01,4.08,0.37,1.28,0.17,0.01,0.03,0.00,0.00,2.23,1.00,9.16
OXN,2,2011,,0.78,2.31,6.03,0.07,0.50,0.15,0.00,0.00,0.03,0.92,2.13,0.36
OXN,2,2012,,1.69,0.09,2.47,2.02,0.01,0.00,0.00,0.05,0.01,0.00,1.25,1.73
OXN,2,2013,,1.03,0.10,0.96,0.01,0.07,0.02,0.01,0.00,0.00,0.00,0.51,0.26
OXN,2,2014,,0.03,3.83,1.16,0.05,0.02,0.00,0.00,0.03,0.01,m,m,m
OXN,2,,
'End of Data
