'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SALINAS RIVER AT PASO ROBLES (PAS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:46
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PAS,2,1990,,3.02,1.48,0.24,0.12,0.66,0.00,0.00,0.00,0.51,0.00,0.14,0.20
PAS,2,1991,,0.63,2.17,10.25,0.08,0.03,0.20,0.00,0.10,0.10,0.50,0.16,3.00
PAS,2,1992,,1.44,6.09,2.99,0.10,0.00,0.03,0.03,0.00,0.01,0.79,0.00,3.59
PAS,2,1993,,9.63,6.96,3.89,0.07,0.01,0.14,0.00,0.00,0.00,0.17,0.86,1.28
PAS,2,1994,,1.90,3.34,1.16,0.49,1.05,0.00,0.00,0.00,1.17,0.70,2.32,0.93
PAS,2,1995,,11.51,1.42,12.31,0.09,0.44,0.14,0.00,0.00,0.00,0.00,0.00,1.92
PAS,2,1996,,1.84,6.52,2.03,0.78,0.55,0.00,0.00,0.00,0.00,1.78,1.30,5.83
PAS,2,1997,,7.93,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.10,0.07,4.05,3.73
PAS,2,1998,,2.99,9.06,2.89,1.96,2.05,0.09,0.00,0.00,0.08,0.21,0.99,0.47
PAS,2,1999,,1.84,1.26,2.68,1.18,0.00,0.00,0.00,0.00,0.47,0.00,0.71,0.22
PAS,2,2000,,3.16,5.89,1.55,1.56,0.05,0.04,0.00,0.00,0.03,1.34,0.05,0.12
PAS,2,2001,,3.24,4.20,3.59,1.08,0.00,0.00,0.04,0.00,0.00,0.24,2.81,2.19
PAS,2,2002,,1.02,0.33,1.40,0.23,0.25,0.00,0.00,0.00,0.00,0.00,2.54,4.52
PAS,2,2003,,0.13,2.10,1.85,1.70,1.18,0.00,0.16,0.03,0.00,0.40,0.88,2.16
PAS,2,2004,,0.88,3.64,0.30,0.32,0.00,0.00,0.00,0.00,0.00,5.16,1.28,6.76
PAS,2,2005,,4.68,4.92,2.96,0.68,1.08,0.00,0.00,0.04,0.01,0.00,0.43,1.75
PAS,2,2006,,5.78,1.23,4.50,2.20,1.36,0.00,0.00,0.00,0.00,0.61,0.28,1.04
PAS,2,2007,,0.64,2.60,0.13,m,m,0.00,0.00,0.28,0.00,0.76,0.00,1.80
PAS,2,2008,,7.36,1.60,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.08,1.28,0.96
PAS,2,2009,,0.84,3.68,1.36,0.16,0.08,0.00,0.00,0.00,0.04,3.60,0.00,3.48
PAS,2,2010,,5.72,3.28,0.56,2.56,0.08,0.00,0.00,0.00,0.00,0.80,1.32,6.16
PAS,2,2011,,1.92,2.84,5.12,0.24,0.92,0.36,0.00,0.00,0.00,0.76,1.80,0.08
PAS,2,2012,,2.16,0.16,2.44,2.04,0.16,0.00,0.00,0.00,0.00,0.08,0.72,3.28
PAS,2,2013,,0.88,0.16,0.56,0.04,0.08,0.00,0.00,0.00,0.00,0.00,0.27,0.17
PAS,2,2014,,0.00,2.66,1.48,0.40,0.00,0.00,0.00,0.00,0.00,m,m,m
PAS,2,,
'End of Data
