'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PACIFIC HOUSE (OBSERVER) (PCF), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:46
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PCF,2,1990,,7.14,3.96,3.54,2.13,4.99,0.00,0.15,0.00,0.63,0.73,1.90,1.74
PCF,2,1991,,0.58,3.36,13.87,2.01,2.12,0.71,0.00,0.05,0.06,4.53,1.73,2.32
PCF,2,1992,,1.82,7.67,4.51,0.81,0.04,1.56,0.03,0.00,0.00,4.36,0.81,15.49
PCF,2,1993,,18.87,11.27,7.31,3.39,3.42,2.87,0.00,0.00,0.00,3.14,2.59,4.99
PCF,2,1994,,3.51,8.99,1.20,2.95,2.23,0.01,0.00,0.00,0.72,1.49,12.68,7.38
PCF,2,1995,,22.99,1.67,22.75,9.32,6.60,1.71,0.06,0.00,0.00,0.00,0.86,11.64
PCF,2,1996,,15.83,12.81,8.73,6.27,7.88,0.85,0.00,0.04,0.77,2.72,9.41,26.99
PCF,2,1997,,21.76,1.43,1.06,1.68,0.87,2.61,0.09,0.04,0.01,3.00,6.54,4.91
PCF,2,1998,,17.58,18.14,9.75,5.71,7.41,2.10,0.00,0.00,1.41,0.82,6.58,6.52
PCF,2,1999,,13.88,16.98,6.30,4.49,2.26,0.65,0.00,0.29,0.20,2.03,5.61,2.08
PCF,2,2000,,17.13,16.53,2.08,2.85,5.42,1.80,0.00,0.02,2.48,5.71,2.40,2.69
PCF,2,2001,,5.41,7.72,2.99,7.03,0.00,0.14,0.04,0.00,0.34,1.03,9.21,12.39
PCF,2,2002,,4.72,4.62,8.16,2.18,2.50,0.00,0.00,0.00,0.03,0.00,7.11,15.45
PCF,2,2003,,1.74,3.92,4.41,14.64,3.41,0.00,0.00,0.96,1.26,0.07,3.63,14.46
PCF,2,2004,,4.78,11.33,1.97,0.75,0.40,0.00,0.00,0.00,0.43,8.25,3.49,9.53
PCF,2,2005,,13.98,5.77,10.79,3.83,7.54,2.86,0.00,0.07,0.56,1.17,4.05,23.74
PCF,2,2006,,11.29,6.79,15.87,15.89,1.51,0.00,0.00,0.00,0.00,0.89,6.92,6.90
PCF,2,2007,,2.47,13.23,2.77,3.79,1.51,0.15,0.02,0.00,0.65,2.41,1.40,5.65
PCF,2,2008,,11.40,7.86,2.12,0.29,1.86,0.03,0.00,0.00,0.00,2.12,5.95,7.31
PCF,2,2009,,5.12,9.46,9.72,2.65,6.01,0.16,0.00,0.02,0.16,3.91,1.66,9.07
PCF,2,2010,,9.12,5.94,8.32,8.06,7.08,0.08,0.00,0.00,0.01,9.97,10.11,17.43
PCF,2,2011,,2.80,8.81,21.08,3.54,4.99,2.70,0.00,0.00,0.77,4.46,2.42,0.05
PCF,2,2012,,7.77,2.71,13.68,7.94,0.62,1.44,0.51,0.07,0.13,3.27,8.73,16.56
PCF,2,2013,,1.55,1.11,4.07,2.63,2.03,1.92,0.03,0.02,2.58,1.36,1.97,1.61
PCF,2,2014,,2.22,12.05,7.58,4.57,0.70,0.00,0.09,0.00,1.32,m,m,m
PCF,2,,
'End of Data
