'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PINECREST (PG&E) (PCR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:46
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PCR,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
PCR,2,1999,,m,m,m,m,m,m,m,m,m,0.97,3.43,0.20
PCR,2,2000,,13.53,14.36,2.71,4.50,2.96,1.40,0.00,0.08,0.74,3.87,1.26,1.24
PCR,2,2001,,5.84,7.00,3.50,5.67,0.00,0.06,0.00,0.00,0.54,1.87,7.41,10.20
PCR,2,2002,,2.64,2.35,6.40,2.35,1.65,0.06,0.00,0.00,0.27,0.00,7.77,12.65
PCR,2,2003,,0.90,2.83,4.00,9.95,2.59,0.00,0.88,0.85,0.00,0.23,3.49,11.97
PCR,2,2004,,3.24,7.22,0.96,0.47,0.86,0.41,0.02,0.00,0.04,8.41,2.18,7.47
PCR,2,2005,,11.56,7.05,7.96,2.80,6.26,1.72,0.00,0.12,0.42,1.56,2.85,15.86
PCR,2,2006,,6.82,7.17,13.66,11.25,1.42,0.16,0.06,0.00,0.01,1.13,2.80,4.90
PCR,2,2007,,1.60,9.39,1.42,2.12,1.21,0.18,0.11,0.30,0.50,0.82,0.81,4.37
PCR,2,2008,,12.08,4.86,0.87,0.19,2.92,0.02,0.03,0.00,0.00,2.18,5.47,5.81
PCR,2,2009,,6.21,8.58,8.21,1.82,3.83,0.66,0.00,0.27,0.01,4.62,1.00,5.53
PCR,2,2010,,9.52,5.98,4.22,5.70,4.29,0.03,0.04,0.02,0.00,8.77,6.80,11.99
PCR,2,2011,,2.70,7.84,15.73,1.67,2.40,3.51,0.00,0.00,1.37,3.70,1.55,0.00
PCR,2,2012,,5.45,1.59,7.34,4.22,0.85,0.98,0.01,0.06,0.28,1.18,9.69,10.16
PCR,2,2013,,0.76,0.75,4.17,0.82,1.57,0.56,0.00,0.00,0.71,0.51,1.17,3.12
PCR,2,2014,,2.26,8.61,4.93,1.83,1.10,0.04,0.39,0.14,0.92,m,m,m
PCR,2,,
'End of Data
