'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PLACERVILLE (PCV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:47
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PCV,2,1990,,5.79,4.38,2.60,2.50,3.41,0.00,0.07,0.00,0.04,1.53,1.94,1.17
PCV,2,1991,,0.63,2.84,15.93,1.23,1.48,1.53,0.00,0.51,0.00,3.61,1.74,2.87
PCV,2,1992,,2.54,10.05,5.40,1.37,0.00,0.64,0.00,0.00,0.00,2.25,0.49,11.35
PCV,2,1993,,13.37,9.35,5.92,2.21,2.53,1.28,0.00,0.00,0.00,0.95,2.95,5.00
PCV,2,1994,,3.53,6.91,0.28,3.02,2.44,0.12,0.00,0.00,0.22,1.08,9.35,8.29
PCV,2,1995,,16.53,1.49,15.24,6.33,4.71,2.22,0.02,0.00,0.00,0.00,0.33,9.04
PCV,2,1996,,10.71,10.26,4.83,4.46,4.21,0.17,0.02,0.01,0.11,1.33,7.24,19.86
PCV,2,1997,,19.22,1.35,0.61,1.61,0.29,0.36,0.00,0.46,0.51,2.42,5.88,3.49
PCV,2,1998,,14.67,14.92,5.73,5.11,8.22,0.82,0.02,0.00,1.06,0.83,5.67,4.30
PCV,2,1999,,9.03,12.72,3.87,2.56,1.00,0.25,0.00,0.14,0.00,1.43,4.31,0.89
PCV,2,2000,,12.25,14.95,2.36,2.68,3.65,0.59,0.00,0.00,1.19,6.19,1.76,1.37
PCV,2,2001,,5.07,5.60,2.27,4.21,0.00,0.08,0.00,0.00,0.47,0.78,5.67,10.62
PCV,2,2002,,4.51,4.25,6.47,0.80,1.89,0.00,0.00,0.00,0.00,0.00,3.79,10.98
PCV,2,2003,,1.30,2.67,3.68,8.78,1.98,0.00,0.00,0.98,0.02,0.02,3.38,8.74
PCV,2,2004,,3.37,8.40,1.53,0.50,0.14,0.00,0.00,0.00,0.53,6.90,4.24,7.74
PCV,2,2005,,10.43,4.47,11.29,2.52,3.56,2.08,0.00,0.00,0.46,0.56,2.24,14.02
PCV,2,2006,,13.23,4.11,12.07,11.78,0.99,0.00,0.00,0.00,0.00,0.56,2.99,6.42
PCV,2,2007,,1.45,9.99,1.80,2.86,0.56,0.02,0.02,0.00,0.33,2.05,1.10,5.57
PCV,2,2008,,8.09,4.80,0.64,0.33,0.81,0.00,0.00,0.00,0.00,1.02,4.69,4.36
PCV,2,2009,,3.25,8.22,5.83,1.74,3.53,0.08,0.00,0.00,0.09,2.09,1.51,5.61
PCV,2,2010,,7.89,2.76,6.70,6.48,2.92,0.03,m,m,m,5.68,6.63,12.92
PCV,2,2011,,2.57,m,m,m,3.76,3.51,0.00,0.00,0.06,4.66,1.71,0.06
PCV,2,2012,,5.97,2.67,12.18,5.31,0.11,0.74,0.71,m,0.14,2.61,3.61,14.06
PCV,2,2013,,1.15,1.14,2.19,1.29,1.24,1.10,0.00,m,1.01,0.45,1.49,0.60
PCV,2,2014,,1.57,12.47,6.24,2.51,0.24,0.00,0.05,0.00,m,m,m,m
PCV,2,,
'End of Data
