'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PLUMAS EUREKA PARK (PLE), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:47
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PLE,2,1990,,10.00,6.70,4.20,2.40,9.30,0.20,0.00,0.37,0.58,1.70,1.90,3.20
PLE,2,1991,,1.20,3.80,27.00,2.90,3.33,0.94,0.11,0.85,0.25,4.95,3.95,4.44
PLE,2,1992,,1.94,12.66,3.04,3.02,0.27,2.48,0.07,0.16,0.00,7.39,0.68,17.17
PLE,2,1993,,20.59,15.63,8.48,3.69,4.56,2.18,0.15,0.62,0.00,3.42,4.83,7.18
PLE,2,1994,,4.00,10.87,1.84,2.53,2.11,0.32,0.00,0.00,1.32,1.12,9.91,9.49
PLE,2,1995,,32.38,2.86,30.07,13.50,6.21,3.34,0.16,0.00,0.00,0.00,1.51,16.78
PLE,2,1996,,16.15,20.83,7.92,9.17,13.55,0.23,0.04,0.00,0.97,2.19,9.30,43.24
PLE,2,1997,,24.31,0.95,3.05,3.92,0.86,2.88,0.00,0.45,0.00,4.50,10.10,5.68
PLE,2,1998,,37.72,17.08,8.92,5.31,6.16,1.69,0.00,0.00,2.92,1.62,14.35,9.02
PLE,2,1999,,11.92,10.67,6.23,4.02,0.91,0.45,0.00,0.45,0.00,3.80,6.38,3.10
PLE,2,2000,,17.56,18.97,2.90,3.14,1.86,1.02,0.00,0.00,1.66,5.64,2.21,2.29
PLE,2,2001,,3.60,7.18,4.24,3.72,0.08,0.46,0.00,0.00,0.53,2.55,10.02,14.00
PLE,2,2002,,5.33,2.41,6.50,2.45,1.55,0.00,0.01,0.00,0.08,0.00,11.60,25.09
PLE,2,2003,,5.22,3.26,6.91,10.98,2.96,0.00,0.30,2.44,0.00,1.10,3.70,19.00
PLE,2,2004,,3.70,14.50,1.50,2.50,1.40,0.40,0.00,0.10,0.50,8.90,1.50,9.70
PLE,2,2005,,9.82,3.82,10.80,4.50,10.00,2.50,0.00,0.00,1.00,8.98,4.00,13.10
PLE,2,2006,,8.70,10.80,16.80,9.60,1.70,0.30,0.00,m,m,3.70,8.70,10.90
PLE,2,2007,,0.10,11.80,1.70,2.80,3.00,0.30,0.10,0.00,0.90,4.90,2.50,4.80
PLE,2,2008,,10.80,3.90,3.50,0.90,1.10,0.30,0.00,m,m,2.00,8.30,10.40
PLE,2,2009,,2.30,14.00,m,m,7.30,1.30,0.50,0.00,0.00,5.50,3.80,7.40
PLE,2,2010,,11.10,m,7.00,9.40,3.60,0.80,0.00,0.10,0.00,7.90,8.70,14.90
PLE,2,2011,,1.80,10.80,12.40,m,3.60,0.60,0.10,0.00,1.40,4.40,2.60,0.70
PLE,2,2012,,7.73,2.20,15.14,6.76,0.17,2.16,m,m,m,4.44,15.88,12.88
PLE,2,2013,,1.66,0.88,4.47,1.40,1.50,1.76,0.00,0.40,4.79,0.67,1.19,1.02
PLE,2,2014,,1.91,12.44,10.64,1.35,0.79,0.00,0.05,1.12,1.41,m,m,m
PLE,2,,
'End of Data
