'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PALM SPRINGS (PMS), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:48
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PMS,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,1999,,m,m,m,m,m,m,m,m,m,m,m,m
PMS,2,2000,,m,m,m,m,m,m,m,m,m,0.15,0.00,0.00
PMS,2,2001,,1.02,1.90,0.94,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.11
PMS,2,2002,,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.09,0.00,0.14,0.68
PMS,2,2003,,0.54,1.41,1.03,0.00,0.00,0.00,0.17,0.41,0.00,0.00,1.15,0.40
PMS,2,2004,,0.06,1.52,0.13,0.15,0.78,0.00,0.25,0.00,0.24,2.15,1.68,1.98
PMS,2,2005,,4.90,3.23,0.19,0.08,0.00,0.00,0.04,0.15,0.16,1.60,0.00,0.08
PMS,2,2006,,0.43,0.38,0.03,0.19,0.00,0.00,0.00,m,0.03,0.00,0.00,0.10
PMS,2,2007,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,1.35,1.15
PMS,2,2008,,2.91,0.10,0.00,0.00,0.02,0.00,1.32,0.09,m,0.00,0.43,2.57
PMS,2,2009,,0.00,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,1.26
PMS,2,2010,,4.51,0.75,0.00,0.08,0.00,0.00,0.00,0.00,0.11,0.40,0.04,3.72
PMS,2,2011,,0.14,1.33,0.13,0.00,0.02,0.00,0.35,0.00,0.57,0.00,0.42,0.14
PMS,2,2012,,0.03,0.38,0.18,0.20,0.00,0.00,0.32,0.70,0.01,0.00,0.00,0.19
PMS,2,2013,,0.61,0.33,0.04,0.00,0.00,0.00,0.94,0.11,0.03,0.07,0.11,0.00
PMS,2,2014,,0.00,0.45,0.28,0.05,0.00,0.00,0.27,0.88,0.04,m,m,m
PMS,2,,
'End of Data
