'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PINE FLAT DAM (PNF), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:48
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PNF,2,1990,,4.66,2.58,1.56,0.84,2.51,0.00,0.00,0.00,0.05,0.00,0.57,0.99
PNF,2,1991,,0.63,1.82,12.04,0.21,0.11,0.13,0.00,0.00,0.00,1.44,0.81,2.38
PNF,2,1992,,1.76,6.15,3.48,0.20,0.05,0.00,0.39,0.00,0.07,4.71,0.00,5.72
PNF,2,1993,,9.16,6.43,3.47,0.38,0.06,0.96,0.00,0.00,0.00,0.62,2.78,1.63
PNF,2,1994,,1.52,4.83,0.47,2.62,1.18,m,m,m,m,1.41,2.84,2.73
PNF,2,1995,,9.69,1.40,11.28,1.31,2.53,0.51,0.02,0.00,0.00,0.00,0.00,3.98
PNF,2,1996,,5.68,5.24,2.15,1.71,0.65,0.03,0.00,0.00,0.00,1.89,5.13,8.54
PNF,2,1997,,8.07,0.89,0.02,0.00,0.00,0.00,0.00,0.00,0.05,0.50,3.23,3.22
PNF,2,1998,,7.08,8.45,6.94,2.37,3.66,2.33,0.00,0.00,0.21,0.24,1.15,0.87
PNF,2,1999,,5.57,2.39,1.07,2.22,0.03,0.98,0.09,0.00,0.10,0.00,1.07,0.00
PNF,2,2000,,6.15,8.35,2.28,1.98,0.72,0.87,0.00,0.00,0.19,2.96,0.10,0.12
PNF,2,2001,,3.91,3.83,0.98,3.33,0.00,0.00,0.25,0.00,0.00,0.40,2.41,5.24
PNF,2,2002,,1.45,1.01,2.31,1.16,1.04,0.00,0.00,0.00,0.00,0.00,2.99,4.80
PNF,2,2003,,0.36,2.56,1.95,3.16,1.62,0.00,0.00,0.00,0.00,0.02,0.71,4.22
PNF,2,2004,,0.55,4.05,1.32,0.16,0.18,0.00,0.00,0.00,0.00,3.64,0.83,4.37
PNF,2,2005,,4.94,3.34,4.14,1.20,3.29,0.02,0.00,0.04,0.36,0.20,0.19,4.96
PNF,2,2006,,5.15,1.58,6.53,7.27,0.66,0.00,0.00,0.00,0.00,0.28,0.03,2.56
PNF,2,2007,,0.76,4.17,1.80,0.85,0.12,0.00,0.01,0.01,m,0.35,0.08,3.10
PNF,2,2008,,5.57,4.34,0.23,0.01,1.34,0.00,0.00,0.00,0.00,0.35,1.66,2.59
PNF,2,2009,,1.52,4.29,0.68,0.85,0.55,0.92,0.00,0.01,0.00,3.35,0.18,4.87
PNF,2,2010,,4.52,3.86,1.65,4.04,0.31,0.00,0.06,0.00,0.00,2.06,3.58,12.13
PNF,2,2011,,2.50,2.72,6.10,0.64,1.09,2.01,0.05,0.00,0.00,1.98,1.15,0.00
PNF,2,2012,,2.94,1.61,3.51,3.20,0.02,0.01,0.00,0.01,0.00,0.36,1.94,5.07
PNF,2,2013,,0.82,1.28,0.41,0.21,0.07,0.00,0.00,0.11,0.08,0.70,0.44,0.52
PNF,2,2014,,0.59,3.60,1.23,1.23,0.35,0.04,0.00,0.00,0.08,m,m,m
PNF,2,,
'End of Data
