'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PANOCHE 2W (PNH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:48
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PNH,2,1990,,1.00,1.58,0.34,0.20,0.88,0.00,0.00,0.00,1.85,0.02,0.12,0.50
PNH,2,1991,,0.47,1.72,4.21,0.14,0.02,0.02,0.00,0.01,0.43,0.34,0.20,2.40
PNH,2,1992,,0.04,3.38,2.20,0.00,0.00,0.04,0.09,0.00,0.00,1.09,0.00,3.14
PNH,2,1993,,5.22,4.42,2.15,0.00,0.23,0.18,0.00,0.00,0.00,0.06,0.56,0.89
PNH,2,1994,,1.02,1.37,0.16,0.64,0.79,0.00,0.00,0.00,m,0.72,1.16,0.56
PNH,2,1995,,7.99,1.60,7.75,0.60,0.76,0.22,0.27,0.00,0.00,0.00,0.06,1.98
PNH,2,1996,,3.23,2.56,1.72,0.59,0.47,0.00,0.00,0.00,0.00,2.21,0.70,3.10
PNH,2,1997,,4.28,0.08,0.79,0.06,0.03,0.09,0.00,0.00,0.00,0.22,3.13,2.33
PNH,2,1998,,2.92,10.40,2.68,1.09,2.67,0.57,0.00,0.00,0.34,0.15,1.34,0.57
PNH,2,1999,,1.63,1.45,1.34,1.05,0.10,0.02,0.00,0.00,0.00,0.00,0.35,0.00
PNH,2,2000,,2.49,3.41,0.51,0.66,0.08,0.56,0.00,0.00,0.02,1.58,0.23,0.27
PNH,2,2001,,2.68,2.01,2.08,0.53,0.00,0.00,0.00,0.00,0.05,0.06,1.45,2.39
PNH,2,2002,,0.48,0.29,0.90,0.60,0.24,0.00,0.00,0.00,0.00,0.00,1.76,4.80
PNH,2,2003,,0.34,1.44,0.98,1.17,0.83,0.00,0.00,0.00,0.00,0.06,0.25,2.54
PNH,2,2004,,1.47,3.94,0.17,0.00,0.00,0.00,0.00,0.00,0.04,3.21,0.50,3.30
PNH,2,2005,,2.51,3.74,1.83,0.54,0.54,0.14,0.00,0.00,m,m,m,m
PNH,2,2006,,m,1.35,2.51,1.41,0.86,0.00,m,0.00,0.00,0.17,0.37,1.06
PNH,2,2007,,1.01,1.46,0.19,0.48,0.01,0.00,0.00,0.00,0.48,0.54,0.28,0.77
PNH,2,2008,,5.11,1.85,0.17,0.10,0.31,0.00,0.00,0.00,0.00,0.05,0.78,0.92
PNH,2,2009,,1.80,1.74,1.08,0.12,0.15,0.23,0.00,0.00,0.01,1.51,0.14,1.53
PNH,2,2010,,4.36,2.44,0.55,2.17,0.20,0.00,0.00,0.00,0.00,0.67,1.17,3.72
PNH,2,2011,,1.65,2.99,3.43,0.25,0.53,0.28,0.00,0.00,0.00,0.52,0.89,0.20
PNH,2,2012,,1.19,0.55,2.57,1.14,0.00,m,0.00,m,0.00,0.50,m,1.83
PNH,2,2013,,0.44,m,0.29,0.06,m,0.00,m,0.00,0.00,0.02,0.42,0.13
PNH,2,2014,,0.15,2.37,1.16,0.42,0.00,0.00,m,0.00,0.07,m,m,m
PNH,2,,
'End of Data
