'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PIT #1 PH (PG&E) (PR1), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:49
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PR1,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
PR1,2,1999,,m,m,m,m,m,m,m,m,m,0.90,1.88,0.32
PR1,2,2000,,4.58,2.53,1.74,1.46,0.46,0.23,0.41,0.00,1.14,1.80,1.26,0.60
PR1,2,2001,,0.62,1.63,0.37,1.76,0.00,0.63,0.06,0.00,0.95,0.81,3.04,3.30
PR1,2,2002,,2.05,0.79,1.15,1.27,0.19,0.10,0.00,0.00,0.02,0.04,1.22,4.74
PR1,2,2003,,2.63,1.73,2.83,3.60,1.85,0.38,0.00,1.38,0.13,0.00,2.32,4.99
PR1,2,2004,,1.31,5.27,0.46,0.54,3.56,0.29,0.00,0.00,0.17,2.65,1.76,1.05
PR1,2,2005,,1.52,1.62,2.52,2.29,4.79,0.82,0.00,0.00,0.08,0.45,4.33,5.94
PR1,2,2006,,3.25,2.49,3.98,3.88,0.30,0.00,0.06,0.61,0.07,0.11,1.53,2.24
PR1,2,2007,,0.22,3.43,0.54,1.03,0.26,0.41,0.24,0.00,0.87,1.48,0.25,1.69
PR1,2,2008,,2.65,1.35,0.37,0.37,0.68,0.02,0.00,0.00,0.10,0.37,1.75,2.14
PR1,2,2009,,0.94,2.26,1.97,1.16,0.57,1.72,0.18,0.00,0.00,1.10,1.33,1.56
PR1,2,2010,,3.08,1.37,1.75,1.95,1.34,0.68,0.00,0.84,0.00,1.74,1.07,4.15
PR1,2,2011,,0.50,2.81,4.02,1.79,2.40,0.89,0.00,0.00,0.14,0.81,0.81,0.03
PR1,2,2012,,1.96,0.66,2.35,1.29,0.93,0.35,0.00,0.00,0.00,1.78,2.22,6.65
PR1,2,2013,,0.61,0.26,1.02,0.75,0.74,0.50,0.00,0.12,3.09,0.20,0.63,0.12
PR1,2,2014,,0.10,3.07,3.27,0.60,0.26,0.04,0.00,0.31,0.44,m,m,m
PR1,2,,
'End of Data
