'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PARADISE FIRE STATION (PRD), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:49
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PRD,2,1990,,10.56,8.09,4.06,0.90,8.60,0.09,0.00,0.22,0.16,1.84,1.70,2.05
PRD,2,1991,,1.76,4.71,25.78,1.20,1.17,0.86,0.00,0.00,0.00,2.33,1.64,6.58
PRD,2,1992,,4.68,15.55,7.22,3.25,0.03,1.69,0.00,0.00,0.00,4.44,0.76,11.56
PRD,2,1993,,25.70,12.01,7.29,4.75,2.86,2.03,0.00,1.01,0.00,1.41,3.90,9.36
PRD,2,1994,,4.10,9.44,0.98,4.45,2.98,0.12,0.00,0.00,0.01,0.78,8.37,8.05
PRD,2,1995,,32.29,2.63,27.14,9.01,5.36,4.32,0.00,0.00,0.00,0.00,0.04,19.18
PRD,2,1996,,10.74,14.64,4.35,5.74,7.32,0.35,0.00,0.00,0.85,2.52,5.46,28.70
PRD,2,1997,,14.57,0.39,3.62,2.95,0.87,1.20,0.18,1.54,0.26,6.01,15.19,5.11
PRD,2,1998,,20.71,25.28,6.93,5.90,8.79,1.49,0.00,0.00,0.58,2.02,12.39,4.77
PRD,2,1999,,7.66,14.99,4.89,3.73,0.13,0.50,0.00,0.18,0.01,2.65,6.79,2.10
PRD,2,2000,,11.44,23.14,7.57,2.84,1.73,0.42,0.00,0.00,0.31,7.39,2.24,2.52
PRD,2,2001,,6.19,11.31,3.32,3.54,0.03,0.31,0.00,0.00,0.58,2.96,12.79,18.23
PRD,2,2002,,8.44,4.83,5.79,1.85,1.43,0.00,0.00,0.00,0.00,0.00,4.33,30.60
PRD,2,2003,,9.07,4.45,4.46,11.40,3.43,0.05,0.05,0.42,0.00,0.09,6.01,19.31
PRD,2,2004,,6.69,15.28,2.45,1.00,0.53,0.00,0.00,0.00,0.07,7.97,2.22,12.49
PRD,2,2005,,9.48,3.93,8.07,4.27,7.08,2.65,0.00,0.00,0.00,2.78,6.97,26.74
PRD,2,2006,,9.75,7.72,15.92,11.35,0.39,0.08,0.00,0.03,0.00,0.17,5.60,10.47
PRD,2,2007,,0.20,15.13,1.46,4.26,0.65,0.14,0.70,0.00,0.96,2.67,1.10,9.84
PRD,2,2008,,11.26,8.17,0.86,0.93,0.23,0.00,0.00,0.00,0.00,3.54,4.54,5.98
PRD,2,2009,,3.92,18.47,4.90,0.74,4.38,0.70,0.00,0.01,1.49,2.70,1.89,7.63
PRD,2,2010,,15.48,8.58,4.39,10.85,2.28,m,m,m,m,6.90,6.58,17.19
PRD,2,2011,,2.89,8.98,15.43,0.92,5.92,3.18,0.00,0.00,0.07,4.88,2.39,0.30
PRD,2,2012,,10.07,3.35,13.70,5.47,0.08,0.53,0.00,0.00,0.00,2.42,11.28,18.34
PRD,2,2013,,1.20,1.36,3.16,1.14,0.48,2.32,0.00,0.00,2.24,0.34,2.76,0.55
PRD,2,2014,,0.71,14.10,12.35,2.01,0.26,0.00,0.03,0.68,1.01,m,m,m
PRD,2,,
'End of Data
