'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PORTOLA (PRT), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:49
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PRT,2,1990,,1.85,3.72,0.94,0.87,2.32,0.20,0.17,2.05,0.76,0.17,0.92,0.58
PRT,2,1991,,0.08,0.97,9.69,0.76,0.74,0.29,0.80,1.00,0.48,1.22,1.75,1.49
PRT,2,1992,,0.41,4.00,0.96,1.01,0.32,1.21,1.79,2.00,0.00,2.92,0.32,11.62
PRT,2,1993,,11.75,9.37,3.47,2.24,1.37,1.45,0.00,0.35,0.02,2.71,1.89,2.18
PRT,2,1994,,0.47,3.72,1.62,0.47,1.60,0.08,0.00,0.00,1.01,0.20,3.06,3.27
PRT,2,1995,,10.96,0.87,13.20,2.73,2.95,1.34,0.44,0.00,0.00,0.00,0.18,5.51
PRT,2,1996,,6.37,7.87,2.85,3.24,3.41,0.26,0.08,0.07,0.34,0.71,1.75,12.13
PRT,2,1997,,11.15,0.26,1.18,1.04,0.58,1.19,0.04,0.00,0.38,0.99,1.92,2.61
PRT,2,1998,,4.67,6.95,3.88,1.44,2.10,1.00,0.30,0.00,2.06,0.56,3.91,2.55
PRT,2,1999,,5.90,7.66,2.33,1.22,0.00,0.08,0.21,0.51,0.14,1.11,1.57,0.45
PRT,2,2000,,8.27,6.60,0.79,0.87,0.63,0.07,0.00,0.00,0.16,1.37,1.25,0.69
PRT,2,2001,,0.62,1.70,2.05,1.23,0.00,0.02,1.86,0.00,0.15,0.40,2.64,5.25
PRT,2,2002,,1.47,0.45,2.64,1.28,0.37,0.10,0.15,0.00,0.00,0.00,3.36,8.01
PRT,2,2003,,1.77,0.81,1.74,3.77,0.65,0.05,0.08,0.84,0.00,0.00,1.34,7.04
PRT,2,2004,,2.89,5.32,0.56,0.05,0.33,0.25,0.00,0.00,0.22,9.52,1.29,4.46
PRT,2,2005,,3.83,1.19,4.19,0.73,1.84,0.98,0.00,0.00,0.86,0.19,0.73,9.79
PRT,2,2006,,3.78,2.73,4.47,6.09,0.33,0.34,0.00,0.00,0.00,0.35,2.26,2.26
PRT,2,2007,,0.46,6.83,0.94,0.90,1.02,0.64,0.00,m,0.10,1.39,0.56,1.71
PRT,2,2008,,5.91,3.39,0.24,0.16,0.95,0.00,0.00,0.00,0.00,0.58,2.24,2.87
PRT,2,2009,,1.04,3.57,4.46,0.18,2.28,1.25,0.03,0.26,0.00,1.66,1.45,2.71
PRT,2,2010,,4.98,3.06,3.44,2.28,1.75,0.15,0.44,0.08,0.00,3.72,3.81,7.40
PRT,2,2011,,0.72,4.71,8.34,1.22,0.99,1.25,0.00,0.00,0.11,1.33,1.70,0.00
PRT,2,2012,,3.50,1.12,4.19,2.88,0.72,0.70,0.26,0.00,0.00,1.54,5.87,7.72
PRT,2,2013,,0.65,0.30,0.87,0.72,0.48,0.06,0.25,0.60,1.28,0.30,0.50,0.55
PRT,2,2014,,0.77,3.73,3.46,0.65,0.30,0.00,0.13,1.05,1.03,m,m,m
PRT,2,,
'End of Data
