'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PASCOES (PSC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:50
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PSC,2,1990,,5.60,6.40,4.00,1.20,2.60,0.30,0.60,0.10,1.40,0.10,1.80,2.60
PSC,2,1991,,1.20,2.60,12.20,6.80,2.20,0.10,1.50,0.40,0.30,2.60,3.60,2.50
PSC,2,1992,,2.50,8.60,4.40,0.90,0.60,0.90,1.10,1.00,0.10,3.70,0.00,9.30
PSC,2,1993,,13.70,9.00,3.45,0.80,0.20,2.60,0.00,0.00,0.00,0.20,3.40,3.00
PSC,2,1994,,2.00,8.70,3.00,4.00,2.90,0.00,0.00,0.00,0.00,1.70,5.30,2.90
PSC,2,1995,,12.00,8.70,14.80,2.90,4.30,2.10,0.30,0.00,0.00,0.00,0.00,4.30
PSC,2,1996,,9.60,11.90,7.70,3.10,1.10,0.20,0.50,0.20,0.00,1.60,8.60,10.40
PSC,2,1997,,8.10,0.20,0.06,0.80,0.00,0.00,0.80,0.40,1.80,0.70,4.80,5.90
PSC,2,1998,,5.40,15.50,10.80,4.00,6.60,1.20,0.30,0.90,0.00,1.20,2.40,1.90
PSC,2,1999,,9.10,2.70,3.30,4.50,1.20,0.50,0.70,1.50,0.20,0.00,1.50,0.30
PSC,2,2000,,8.60,13.22,2.83,2.60,1.90,0.50,0.20,0.10,0.10,3.80,0.40,0.40
PSC,2,2001,,5.60,11.00,1.80,6.40,0.30,0.00,0.70,0.00,0.00,1.00,7.40,8.60
PSC,2,2002,,3.10,0.90,7.00,0.80,2.40,0.00,0.10,0.00,0.00,0.00,13.90,8.70
PSC,2,2003,,0.30,3.40,3.60,4.10,3.80,0.00,0.10,0.00,0.00,0.00,2.40,8.80
PSC,2,2004,,4.80,4.10,6.70,0.50,0.50,0.00,0.00,0.40,0.00,4.80,1.40,7.70
PSC,2,2005,,14.80,1.80,14.20,2.60,4.30,0.30,0.30,0.50,0.00,0.00,0.40,3.90
PSC,2,2006,,13.00,2.70,7.80,6.30,1.90,0.30,1.20,0.00,0.10,1.10,0.60,5.10
PSC,2,2007,,1.80,6.10,3.10,2.50,0.40,0.00,0.00,0.00,0.00,0.80,0.70,6.40
PSC,2,2008,,11.40,10.20,2.20,0.50,2.20,0.40,3.30,0.00,0.00,0.20,3.70,9.50
PSC,2,2009,,1.30,7.56,8.50,2.70,2.50,1.30,0.10,0.00,0.00,3.40,0.30,8.20
PSC,2,2010,,7.20,8.30,4.70,5.40,0.20,0.10,0.00,0.20,0.00,2.10,5.80,24.70
PSC,2,2011,,1.30,0.30,15.50,1.20,3.90,1.20,1.10,0.50,0.20,3.00,2.40,0.40
PSC,2,2012,,5.20,1.80,5.40,4.90,0.40,0.10,0.10,1.20,0.00,0.21,0.02,7.63
PSC,2,2013,,2.07,0.94,0.72,0.82,0.92,0.04,3.24,1.18,0.02,1.62,1.75,1.50
PSC,2,2014,,1.35,5.47,3.06,5.21,0.72,0.05,0.00,0.87,0.00,m,m,m
PSC,2,,
'End of Data
