'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station PRIEST VALLEY (PSV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:50
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
PSV,2,1990,,4.40,2.92,0.45,0.27,1.40,0.00,0.00,0.04,0.17,0.00,0.23,0.59
PSV,2,1991,,0.70,2.95,13.29,0.47,0.00,0.14,0.00,0.05,0.07,0.57,0.33,4.01
PSV,2,1992,,2.45,8.13,4.34,0.06,0.00,0.02,0.88,0.00,0.00,2.24,0.00,6.40
PSV,2,1993,,12.09,6.80,3.32,0.21,0.28,0.21,0.00,0.00,0.00,0.07,1.52,1.57
PSV,2,1994,,3.08,4.41,0.70,1.08,1.18,0.00,0.00,0.00,0.46,1.35,2.68,1.04
PSV,2,1995,,12.70,0.49,12.92,0.68,0.95,0.53,0.34,0.00,0.00,0.00,0.00,3.79
PSV,2,1996,,4.81,6.80,2.98,1.23,1.07,0.00,0.00,0.00,0.00,2.99,2.41,8.31
PSV,2,1997,,8.85,0.07,0.04,0.00,0.00,0.00,0.00,0.09,0.23,0.06,4.51,4.12
PSV,2,1998,,5.24,12.07,4.79,2.11,4.12,0.00,0.00,0.00,0.00,0.40,1.95,0.99
PSV,2,1999,,2.89,1.77,2.62,2.71,0.02,0.00,0.00,0.00,0.32,0.00,1.40,0.07
PSV,2,2000,,6.21,9.18,1.75,1.71,0.00,0.27,0.00,0.00,0.00,2.30,0.00,0.36
PSV,2,2001,,5.60,6.94,3.90,2.04,0.00,0.00,0.00,0.00,0.00,0.61,2.98,4.11
PSV,2,2002,,1.16,0.68,1.53,0.27,0.55,0.00,0.00,0.00,0.01,0.00,4.37,6.09
PSV,2,2003,,0.76,2.02,1.73,2.33,2.40,0.00,0.00,0.10,0.00,0.12,0.79,4.76
PSV,2,2004,,1.34,6.18,0.48,0.00,0.00,0.00,0.00,0.00,0.00,4.26,1.96,8.25
PSV,2,2005,,7.13,8.45,5.83,1.41,1.04,m,0.00,0.00,m,0.11,0.48,4.94
PSV,2,2006,,5.30,1.75,7.14,4.86,2.70,0.00,0.14,0.00,0.00,0.61,0.58,2.70
PSV,2,2007,,1.03,2.78,0.31,1.04,0.01,0.00,0.00,0.29,0.10,2.52,0.14,3.65
PSV,2,2008,,10.83,m,0.18,0.09,0.09,0.00,0.00,0.00,0.00,2.00,1.37,2.56
PSV,2,2009,,m,7.79,2.87,0.25,0.39,0.00,0.00,0.00,0.03,4.76,m,4.04
PSV,2,2010,,8.48,5.40,m,3.92,0.26,m,0.00,m,m,1.43,2.22,8.76
PSV,2,2011,,3.11,6.56,7.16,2.77,m,m,m,m,m,5.10,2.62,0.36
PSV,2,2012,,2.56,m,m,m,m,m,m,m,m,m,m,m
PSV,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
PSV,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
PSV,2,,
'End of Data
