'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station QUINCY RS (USFS) (QNC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:50
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
QNC,2,1990,,7.46,4.14,2.34,1.21,4.75,0.39,0.01,0.64,0.92,0.91,1.26,0.89
QNC,2,1991,,0.41,1.74,12.61,1.13,1.65,0.84,1.47,0.34,0.14,1.03,1.71,2.40
QNC,2,1992,,1.06,6.24,2.17,1.15,0.60,0.96,0.03,0.00,0.15,2.69,0.25,10.72
QNC,2,1993,,13.04,7.57,3.87,2.17,1.98,1.72,0.00,0.49,0.01,2.96,1.81,3.38
QNC,2,1994,,1.36,5.40,1.54,1.06,0.60,0.00,0.00,0.00,0.03,1.08,5.70,5.49
QNC,2,1995,,19.04,1.35,17.87,6.70,3.66,2.68,0.20,0.00,0.00,0.00,0.36,8.57
QNC,2,1996,,9.12,9.07,2.48,4.51,4.91,0.08,0.00,0.00,0.49,1.46,2.52,20.57
QNC,2,1997,,10.86,0.50,1.40,1.74,0.68,0.82,0.12,0.17,0.74,3.07,6.96,3.41
QNC,2,1998,,11.79,13.90,4.88,1.90,2.57,1.97,0.00,0.00,0.68,0.48,8.04,3.02
QNC,2,1999,,5.44,9.59,2.43,2.17,0.27,0.47,0.10,0.31,0.00,2.03,5.67,1.40
QNC,2,2000,,12.61,15.13,2.56,2.34,0.69,0.38,0.00,0.01,0.14,2.55,0.88,0.70
QNC,2,2001,,2.32,5.66,3.23,1.22,0.00,0.19,0.00,0.00,0.71,1.64,7.13,10.67
QNC,2,2002,,4.18,1.98,4.13,1.16,1.46,0.24,0.00,0.00,0.00,0.05,7.32,22.00
QNC,2,2003,,4.75,2.49,6.46,8.25,1.44,0.50,0.10,1.06,0.04,0.11,3.59,12.37
QNC,2,2004,,3.09,9.70,1.43,0.33,0.83,0.44,0.77,1.56,0.21,4.22,2.06,6.16
QNC,2,2005,,5.48,2.43,7.92,3.12,3.76,2.67,0.00,0.00,0.28,0.91,4.47,20.93
QNC,2,2006,,7.04,6.79,7.39,9.36,0.46,0.16,0.00,0.00,0.00,0.50,3.48,6.20
QNC,2,2007,,0.51,10.49,1.39,1.68,0.73,0.58,0.02,m,0.56,2.36,0.88,3.33
QNC,2,2008,,10.19,5.68,1.58,0.51,0.98,0.00,0.00,0.00,0.06,2.28,6.51,4.20
QNC,2,2009,,3.31,10.46,6.13,0.30,3.06,1.03,0.21,0.05,0.00,3.68,1.93,4.39
QNC,2,2010,,9.67,3.36,3.97,4.19,2.15,0.02,0.00,0.03,0.00,3.75,6.06,13.82
QNC,2,2011,,1.60,9.11,16.02,2.57,3.04,2.66,0.00,0.00,0.10,3.15,1.50,0.15
QNC,2,2012,,5.33,2.23,13.82,5.79,0.31,0.65,0.00,0.08,0.00,2.43,11.79,14.31
QNC,2,2013,,1.73,0.63,3.27,1.17,1.02,0.49,0.00,0.03,1.99,0.61,1.03,0.51
QNC,2,2014,,0.75,6.89,9.28,1.62,0.26,0.00,0.00,1.52,0.88,m,m,m
QNC,2,,
'End of Data
