'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station RED BLUFF (RBF), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:51
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
RBF,2,1990,,4.59,1.26,1.73,0.08,2.99,0.00,0.41,0.47,0.08,0.38,0.70,0.95
RBF,2,1991,,0.50,3.97,9.67,0.52,0.92,0.12,0.13,0.00,0.00,0.26,0.67,3.86
RBF,2,1992,,2.77,7.76,3.36,1.20,0.26,1.21,0.00,0.00,0.00,1.91,0.37,7.51
RBF,2,1993,,8.86,6.63,2.80,2.51,2.51,1.13,0.00,0.30,0.00,1.02,1.61,2.08
RBF,2,1994,,2.88,5.83,0.58,1.97,1.99,0.06,0.00,0.00,0.00,0.04,5.01,5.45
RBF,2,1995,,21.49,0.90,10.68,2.10,1.32,0.84,0.00,0.00,0.00,0.00,0.08,7.00
RBF,2,1996,,5.34,4.67,1.81,1.43,3.25,0.18,0.00,0.00,0.92,1.39,1.65,3.95
RBF,2,1997,,4.85,0.40,2.00,0.44,0.85,1.53,0.00,0.58,0.78,1.42,4.40,2.82
RBF,2,1998,,9.69,13.35,4.26,1.90,6.53,1.45,0.00,0.00,0.00,2.25,4.40,1.40
RBF,2,1999,,1.06,4.64,2.29,0.96,0.02,0.61,0.00,0.25,0.00,0.31,3.45,0.30
RBF,2,2000,,4.87,7.01,2.42,2.43,0.90,0.55,0.00,0.00,0.34,3.71,0.59,0.42
RBF,2,2001,,5.35,4.75,2.70,1.69,0.00,0.28,0.00,0.00,0.43,0.81,5.14,6.13
RBF,2,2002,,2.11,0.95,1.49,0.81,0.82,0.00,0.00,0.00,0.00,0.00,2.66,9.42
RBF,2,2003,,4.82,1.46,2.72,4.02,1.72,0.00,0.07,0.26,0.01,0.03,3.32,7.97
RBF,2,2004,,2.69,7.61,1.47,0.23,0.97,0.00,0.00,0.00,0.10,2.71,2.06,7.24
RBF,2,2005,,5.15,2.63,2.63,2.11,1.29,0.86,0.00,0.00,0.01,0.33,5.07,7.68
RBF,2,2006,,4.26,2.44,5.11,4.40,m,m,m,m,m,0.10,1.88,3.92
RBF,2,2007,,0.00,4.47,0.54,1.18,0.49,0.15,0.86,0.00,0.35,1.26,0.50,2.77
RBF,2,2008,,7.82,2.12,0.13,0.11,0.27,0.00,0.00,0.02,0.00,1.13,1.60,2.30
RBF,2,2009,,0.85,8.58,m,0.48,0.67,1.20,0.00,0.01,0.04,2.23,0.88,2.74
RBF,2,2010,,8.45,5.03,0.87,3.60,1.10,0.06,0.00,0.00,0.18,2.08,1.27,5.55
RBF,2,2011,,1.47,2.57,5.44,0.65,1.59,0.90,0.00,0.00,0.04,1.43,2.98,0.06
RBF,2,2012,,4.39,1.87,4.54,1.48,0.88,0.20,0.00,0.00,0.00,0.59,4.58,7.03
RBF,2,2013,,0.89,0.23,0.93,0.70,0.20,0.49,0.00,0.02,0.52,0.00,m,0.27
RBF,2,2014,,0.06,6.41,3.17,m,m,m,m,0.13,m,m,m,m
RBF,2,,
'End of Data
