'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station ROGERS CAMP (RGC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:52
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
RGC,2,1990,,5.60,4.90,3.70,1.00,2.90,0.70,0.10,0.00,0.00,0.00,1.60,1.90
RGC,2,1991,,1.90,1.55,17.70,1.50,0.90,0.70,0.10,0.00,0.20,0.00,2.20,2.30
RGC,2,1992,,2.70,6.60,3.20,0.60,37.00,0.00,1.90,0.30,0.20,5.10,0.00,7.80
RGC,2,1993,,12.10,8.00,3.90,1.00,0.70,3.90,0.00,1.10,0.30,0.40,3.40,3.00
RGC,2,1994,,2.20,8.20,1.90,4.00,1.70,0.00,0.00,0.00,0.70,1.60,3.40,2.00
RGC,2,1995,,20.00,2.00,0.40,0.50,0.40,0.20,0.00,0.00,0.00,0.00,0.00,4.50
RGC,2,1996,,9.80,14.20,4.60,3.60,0.70,0.00,0.20,0.20,0.00,1.70,11.92,15.10
RGC,2,1997,,21.10,1.60,0.30,0.00,0.00,0.00,0.40,0.10,0.90,1.20,5.50,5.60
RGC,2,1998,,9.40,19.20,7.00,5.60,4.60,2.00,0.00,0.10,0.60,1.10,2.70,2.50
RGC,2,1999,,7.80,2.50,2.30,4.40,0.00,0.20,1.10,0.50,0.80,0.20,2.60,0.50
RGC,2,2000,,8.50,13.90,3.20,2.30,1.40,0.20,0.10,1.00,1.00,4.10,0.10,0.00
RGC,2,2001,,2.70,6.32,0.71,5.40,0.10,0.20,1.70,0.00,0.00,0.70,7.90,10.10
RGC,2,2002,,3.30,1.60,5.05,0.60,1.80,0.10,0.00,0.00,0.00,0.10,16.20,7.50
RGC,2,2003,,0.10,3.40,4.71,5.10,3.40,0.00,0.00,0.00,0.00,0.50,2.30,8.90
RGC,2,2004,,3.01,6.54,1.41,1.61,0.00,0.10,0.00,0.00,0.00,4.71,1.62,5.52
RGC,2,2005,,14.11,2.22,8.94,2.22,3.82,0.10,0.01,0.00,0.00,0.00,0.00,9.63
RGC,2,2006,,6.30,3.32,11.85,8.21,0.73,0.15,0.51,0.00,0.00,0.50,0.40,5.12
RGC,2,2007,,1.62,6.32,1.84,2.90,0.21,0.10,0.00,0.00,0.00,0.50,0.20,6.33
RGC,2,2008,,10.72,10.20,0.61,0.31,0.96,0.40,0.00,0.00,0.00,0.00,1.42,6.02
RGC,2,2009,,3.42,6.71,3.41,2.20,2.21,1.00,0.00,0.00,0.00,0.00,0.33,8.40
RGC,2,2010,,6.21,8.82,3.73,7.93,1.44,0.31,0.11,0.10,0.00,2.10,6.72,21.61
RGC,2,2011,,2.43,5.33,8.65,2.72,3.63,0.32,1.03,0.90,1.24,4.03,2.73,0.13
RGC,2,2012,,6.51,2.40,6.42,5.72,0.70,0.50,0.30,0.31,0.37,1.94,2.60,8.92
RGC,2,2013,,2.45,1.90,0.92,1.09,1.49,1.57,1.04,0.24,0.00,1.21,0.54,1.02
RGC,2,2014,,1.56,3.99,2.87,3.73,0.29,m,m,m,m,m,m,m
RGC,2,,
'End of Data
