'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SALINAS NO2 (SAP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:52
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SAP,2,1990,,1.60,1.43,1.18,0.52,1.38,0.00,0.00,0.00,0.14,0.18,0.18,1.45
SAP,2,1991,,0.25,1.49,5.99,0.21,0.13,0.00,0.00,0.16,0.02,0.94,0.00,2.28
SAP,2,1992,,1.45,4.48,2.46,0.09,0.00,0.02,0.00,0.00,0.00,0.52,0.03,2.58
SAP,2,1993,,6.12,3.45,2.25,0.22,0.78,0.27,0.00,0.00,0.00,0.16,0.79,1.37
SAP,2,1994,,1.65,4.26,0.25,1.03,1.23,0.01,0.00,0.00,0.05,0.32,2.56,1.67
SAP,2,1995,,7.81,0.69,5.42,1.62,0.26,0.55,m,m,m,0.00,0.00,2.29
SAP,2,1996,,2.68,4.76,1.91,0.59,1.09,0.00,0.01,0.02,0.06,0.65,3.29,5.69
SAP,2,1997,,6.97,0.16,0.19,0.22,0.05,0.07,0.00,0.00,0.00,0.13,4.72,2.66
SAP,2,1998,,7.10,11.26,2.99,2.15,2.32,0.09,0.00,0.00,0.09,0.55,2.73,0.92
SAP,2,1999,,2.52,3.45,2.30,1.33,0.04,0.24,0.00,0.02,0.05,0.11,1.29,0.26
SAP,2,2000,,6.00,5.58,2.09,0.58,0.26,0.02,0.00,0.19,0.06,2.30,0.35,0.54
SAP,2,2001,,3.02,3.56,1.78,1.67,0.01,0.01,0.00,0.00,0.16,0.08,2.42,4.54
SAP,2,2002,,0.87,0.90,1.29,0.36,0.12,0.00,0.00,0.03,0.00,0.00,1.77,5.49
SAP,2,2003,,1.25,1.13,0.82,2.42,0.53,0.00,0.00,0.09,0.00,0.29,0.89,4.65
SAP,2,2004,,1.45,3.86,0.55,0.02,0.03,0.00,0.03,0.00,0.03,2.62,0.50,4.97
SAP,2,2005,,3.35,3.30,4.67,1.29,0.64,0.25,0.04,0.01,0.02,0.11,0.78,3.25
SAP,2,2006,,2.89,0.93,5.34,2.79,0.79,0.00,0.00,0.00,0.02,0.12,2.01,2.64
SAP,2,2007,,0.89,2.60,0.37,m,m,m,0.00,0.01,0.55,0.98,0.46,1.37
SAP,2,2008,,5.33,2.64,0.34,0.24,0.00,0.04,0.02,0.00,0.03,0.23,1.07,2.67
SAP,2,2009,,1.52,4.36,1.83,0.22,0.33,0.07,0.00,0.43,0.10,2.02,0.25,1.90
SAP,2,2010,,4.48,3.70,2.71,3.33,0.86,0.04,0.03,0.11,0.00,0.65,2.22,3.53
SAP,2,2011,,1.49,3.24,3.16,0.21,0.72,0.34,0.00,0.00,0.02,1.49,1.61,0.05
SAP,2,2012,,1.41,0.92,3.00,2.05,0.12,0.25,0.00,0.04,m,0.20,3.09,3.79
SAP,2,2013,,0.95,0.60,0.72,0.36,0.00,0.00,0.00,0.07,0.14,0.23,0.49,0.32
SAP,2,2014,,0.12,4.11,2.06,0.92,0.01,0.00,m,m,0.15,m,m,m
SAP,2,,
'End of Data
