'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station LAKE SABRINA (SBN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:53
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SBN,2,1990,,4.42,1.34,0.61,1.58,0.59,0.14,1.04,0.25,1.46,0.15,0.16,0.20
SBN,2,1991,,0.55,1.16,9.04,0.20,0.64,0.12,0.18,0.36,1.00,0.92,0.96,1.66
SBN,2,1992,,0.49,3.14,2.35,0.13,0.34,0.50,0.34,0.82,0.37,1.03,0.00,4.91
SBN,2,1993,,5.26,5.41,1.31,0.31,0.19,0.32,0.00,0.20,0.00,0.11,1.50,0.83
SBN,2,1994,,0.33,2.84,2.31,0.53,0.97,0.00,0.00,0.00,3.48,1.33,1.27,0.84
SBN,2,1995,,6.83,0.75,7.63,0.94,1.48,1.02,0.27,0.08,0.00,0.00,0.10,4.59
SBN,2,1996,,2.04,4.39,2.82,1.99,1.79,0.11,0.72,0.52,0.13,2.23,2.51,3.20
SBN,2,1997,,6.08,0.59,0.07,0.44,0.39,1.57,0.65,0.19,0.68,0.10,2.30,2.21
SBN,2,1998,,1.90,8.24,1.95,0.65,0.83,0.99,0.28,1.17,1.40,0.22,1.09,0.31
SBN,2,1999,,3.11,2.12,0.36,1.79,0.68,0.00,0.60,0.34,0.12,0.27,0.38,0.10
SBN,2,2000,,3.59,3.39,0.86,1.47,0.37,0.50,0.00,1.02,0.00,1.66,0.18,0.00
SBN,2,2001,,2.97,4.74,3.60,1.84,0.27,0.25,2.05,1.11,0.49,0.94,1.80,2.60
SBN,2,2002,,0.98,0.27,1.15,0.59,0.35,0.08,0.08,0.08,0.48,0.17,m,2.58
SBN,2,2003,,0.18,1.75,1.15,1.72,m,0.03,m,0.51,m,0.23,2.10,0.59
SBN,2,2004,,0.59,3.15,1.48,0.70,0.43,m,m,0.00,0.00,5.10,m,m
SBN,2,2005,,m,m,m,m,m,m,m,m,m,m,m,m
SBN,2,2006,,m,m,m,m,m,m,m,m,m,0.68,m,m
SBN,2,2007,,m,m,m,m,m,m,m,m,m,0.03,m,m
SBN,2,2008,,m,m,m,m,m,m,m,m,m,m,m,0.00
SBN,2,2009,,0.40,2.13,0.70,0.36,0.20,1.73,0.31,0.16,m,3.19,1.77,2.05
SBN,2,2010,,2.09,1.40,m,1.42,m,m,m,m,0.00,1.87,1.50,7.16
SBN,2,2011,,0.04,1.74,3.60,0.48,0.11,0.22,0.31,0.00,m,1.28,1.38,0.00
SBN,2,2012,,2.09,0.56,1.24,0.75,0.04,0.04,1.34,1.96,m,0.68,1.00,2.30
SBN,2,2013,,0.60,0.24,0.28,0.24,0.44,0.04,2.04,0.76,0.12,1.04,1.68,0.56
SBN,2,2014,,1.00,2.62,0.88,0.96,1.60,0.04,0.84,1.28,0.44,m,m,m
SBN,2,,
'End of Data
