'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SANTA BARBARA SANITATION (SBR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:53
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SBR,2,1990,,2.01,2.36,0.04,0.09,0.80,0.00,0.00,0.00,0.10,0.00,0.15,0.05
SBR,2,1991,,2.26,3.55,11.05,0.03,0.02,0.44,0.00,0.18,0.02,0.50,0.09,3.24
SBR,2,1992,,2.38,8.74,4.16,0.02,0.27,0.00,0.52,0.00,0.00,0.87,0.00,4.97
SBR,2,1993,,9.29,7.45,3.05,0.00,0.05,0.71,0.01,0.00,0.00,0.15,1.19,1.38
SBR,2,1994,,1.49,6.27,3.24,0.60,0.39,0.00,0.00,0.00,0.09,0.53,1.87,1.13
SBR,2,1995,,18.20,1.33,8.59,0.29,0.76,0.48,0.08,0.00,0.00,0.00,0.26,3.27
SBR,2,1996,,2.99,8.31,2.64,0.84,0.60,0.00,0.00,0.00,0.00,3.02,2.99,6.56
SBR,2,1997,,7.39,0.07,0.00,0.00,0.02,0.00,0.02,0.08,0.04,0.11,3.72,7.07
SBR,2,1998,,5.62,20.86,4.30,1.42,2.76,0.09,0.00,0.00,0.14,0.00,0.79,0.91
SBR,2,1999,,2.22,0.82,3.71,2.15,0.02,0.08,0.00,0.00,0.16,0.00,1.39,0.02
SBR,2,2000,,2.28,9.79,3.78,4.59,0.00,0.15,0.00,0.00,0.08,3.80,0.00,0.11
SBR,2,2001,,6.98,5.85,5.79,1.58,0.09,0.00,0.00,0.05,0.00,0.62,4.24,2.23
SBR,2,2002,,1.03,0.46,0.40,0.08,0.10,0.03,0.00,0.00,0.18,0.03,6.82,6.15
SBR,2,2003,,0.00,3.17,4.80,1.16,1.92,0.13,0.02,0.00,0.00,0.96,0.87,2.35
SBR,2,2004,,0.48,4.95,0.59,0.00,0.00,0.02,0.00,0.01,0.00,3.91,0.18,7.45
SBR,2,2005,,12.06,7.31,3.96,0.90,0.90,0.00,0.00,0.00,0.09,0.89,1.71,2.38
SBR,2,2006,,2.01,2.74,4.01,4.86,m,m,m,m,m,0.20,0.25,0.89
SBR,2,2007,,m,m,m,m,m,m,m,m,m,0.31,0.00,2.16
SBR,2,2008,,10.44,1.99,0.01,0.11,0.10,0.00,0.00,0.00,0.00,0.05,1.81,2.12
SBR,2,2009,,0.63,3.77,0.69,0.54,0.00,0.51,0.00,0.00,0.00,3.63,0.00,3.44
SBR,2,2010,,6.01,4.56,0.65,2.35,0.15,0.01,0.00,0.00,0.00,2.00,1.57,10.36
SBR,2,2011,,1.19,3.80,7.50,0.01,0.55,1.43,0.00,0.00,0.00,1.10,3.03,1.09
SBR,2,2012,,2.09,0.08,2.28,2.24,0.00,0.01,0.00,0.02,0.08,0.04,1.93,4.05
SBR,2,2013,,2.04,0.18,1.06,0.03,0.01,0.02,0.07,0.00,0.00,0.39,0.74,0.16
SBR,2,2014,,0.01,3.83,1.09,0.27,m,m,m,m,m,m,m,m
SBR,2,,
'End of Data
