'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SCOTIA (SCA), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:54
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SCA,2,1990,,9.14,5.40,3.28,1.22,4.50,0.15,0.11,0.67,0.26,2.47,2.99,2.84
SCA,2,1991,,1.40,3.66,13.33,1.79,3.29,0.35,0.97,0.05,0.00,2.08,2.33,3.99
SCA,2,1992,,5.05,10.19,6.11,2.58,1.29,1.02,0.30,0.00,0.03,2.68,2.43,13.27
SCA,2,1993,,10.81,7.30,3.40,5.76,5.06,1.59,0.05,0.26,0.00,1.36,2.10,8.64
SCA,2,1994,,6.19,8.93,2.93,3.26,1.83,0.18,0.03,0.00,0.10,0.70,8.54,6.32
SCA,2,1995,,26.41,1.65,16.07,6.67,1.69,1.25,0.17,0.05,0.30,0.39,1.10,14.82
SCA,2,1996,,11.05,9.33,4.81,5.26,2.47,0.17,0.03,0.00,0.74,3.01,5.42,22.58
SCA,2,1997,,12.90,3.02,2.38,2.27,0.59,1.17,0.01,0.45,0.79,2.33,9.39,5.83
SCA,2,1998,,16.47,19.83,9.07,3.56,4.70,0.20,0.10,0.01,0.01,1.98,11.99,6.04
SCA,2,1999,,4.72,13.30,10.16,2.71,1.08,0.06,0.00,0.22,0.00,2.32,9.17,4.59
SCA,2,2000,,10.11,11.79,2.54,2.62,1.64,0.51,0.03,0.01,0.39,3.49,3.16,3.17
SCA,2,2001,,7.14,6.65,5.02,3.12,0.23,0.68,0.08,0.08,0.11,1.44,9.41,12.45
SCA,2,2002,,6.35,3.88,4.84,2.74,0.83,0.04,0.02,0.00,0.08,0.02,5.02,27.44
SCA,2,2003,,5.13,4.23,7.38,13.95,1.27,0.10,0.01,0.13,0.30,0.20,4.98,12.30
SCA,2,2004,,8.02,14.45,2.72,1.33,1.45,0.06,0.00,0.21,0.26,6.54,1.85,9.92
SCA,2,2005,,7.58,3.98,8.36,5.96,4.64,2.77,0.01,0.00,0.03,1.48,7.32,21.43
SCA,2,2006,,11.66,6.65,15.20,5.21,1.46,0.14,0.01,0.00,0.24,0.55,7.65,9.46
SCA,2,2007,,1.70,12.31,2.91,3.71,m,m,m,m,m,3.62,1.89,10.72
SCA,2,2008,,14.64,5.13,2.35,2.38,0.05,0.24,0.02,0.00,m,1.50,6.38,5.39
SCA,2,2009,,1.94,10.05,5.89,1.31,2.76,0.06,0.02,0.01,0.45,4.33,4.59,4.58
SCA,2,2010,,16.23,6.20,5.53,7.97,3.21,1.55,0.00,0.17,0.53,4.16,4.94,14.02
SCA,2,2011,,1.73,5.70,15.08,3.89,2.34,1.11,0.24,0.01,0.19,2.82,4.29,1.07
SCA,2,2012,,7.27,4.20,13.39,3.84,0.91,1.03,0.76,0.02,m,2.24,8.66,14.44
SCA,2,2013,,3.02,1.47,3.45,1.61,0.87,0.37,0.00,0.50,3.78,0.03,0.88,0.64
SCA,2,2014,,0.87,4.19,7.25,0.94,0.81,0.18,0.06,0.00,2.46,m,m,m
SCA,2,,
'End of Data
