'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SUCCESS DAM (SCC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:54
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SCC,2,1990,,2.74,1.50,1.08,0.63,0.07,0.00,0.00,0.00,0.00,0.00,0.43,0.39
SCC,2,1991,,0.51,0.86,7.27,0.10,0.00,0.00,0.00,0.00,0.39,0.85,0.12,1.09
SCC,2,1992,,1.67,3.64,1.46,0.00,0.01,0.00,0.41,0.01,0.00,1.07,0.00,3.00
SCC,2,1993,,4.83,2.80,2.50,0.05,0.00,0.04,0.00,0.00,0.00,0.55,2.46,1.36
SCC,2,1994,,1.13,3.76,1.35,1.30,0.99,0.00,0.00,0.00,0.45,0.73,1.60,1.67
SCC,2,1995,,5.41,1.28,5.72,1.66,1.52,0.76,0.00,0.00,0.00,0.00,0.00,1.96
SCC,2,1996,,2.29,3.54,1.94,0.98,0.19,0.00,0.00,0.00,0.00,0.91,3.38,4.70
SCC,2,1997,,5.88,0.48,0.07,0.00,0.00,0.00,0.00,0.00,0.10,0.65,2.72,2.05
SCC,2,1998,,4.77,6.23,6.10,1.98,1.34,0.41,0.00,0.00,0.09,0.50,0.94,0.29
SCC,2,1999,,5.28,1.13,0.87,2.33,0.04,0.05,0.00,0.02,0.07,0.00,0.95,0.01
SCC,2,2000,,2.27,5.52,1.89,1.47,0.38,0.28,0.00,0.03,0.00,1.17,0.17,0.02
SCC,2,2001,,2.50,3.73,0.57,2.19,0.00,0.00,0.37,0.00,0.00,0.18,2.25,2.95
SCC,2,2002,,1.19,0.17,1.51,0.38,0.12,0.00,0.00,0.00,0.00,0.00,2.61,2.91
SCC,2,2003,,0.11,1.83,1.15,2.33,1.56,0.00,0.03,0.00,0.03,0.19,0.35,2.64
SCC,2,2004,,0.27,3.37,0.88,0.10,0.00,0.00,0.00,0.00,0.00,1.90,0.81,2.40
SCC,2,2005,,3.04,1.54,2.41,1.33,1.88,0.00,0.00,0.00,0.05,0.04,0.10,1.95
SCC,2,2006,,2.84,0.70,4.87,4.86,0.16,0.00,0.00,0.00,0.00,0.17,0.01,1.92
SCC,2,2007,,0.33,1.66,0.98,0.68,0.06,0.00,0.00,0.00,0.68,0.14,0.43,2.00
SCC,2,2008,,2.49,3.27,0.14,0.00,0.46,0.00,0.00,0.00,0.00,0.05,1.14,1.37
SCC,2,2009,,1.45,2.20,0.44,0.43,0.64,0.23,0.00,0.00,0.00,1.02,0.14,2.82
SCC,2,2010,,2.67,3.54,1.25,3.04,0.11,0.00,0.00,0.00,0.00,1.37,1.98,9.20
SCC,2,2011,,1.63,1.36,3.56,0.72,0.58,0.25,0.00,0.06,0.00,0.90,0.55,0.00
SCC,2,2012,,1.83,0.84,2.98,4.20,0.06,0.28,0.01,0.00,0.00,0.33,0.44,2.93
SCC,2,2013,,0.95,1.19,0.79,0.00,0.36,0.04,0.00,0.01,0.00,0.46,0.67,0.34
SCC,2,2014,,0.64,1.56,1.03,1.17,0.24,0.06,0.00,0.00,0.00,m,m,m
SCC,2,,
'End of Data
