'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SACRAMENTO WB CITY (SCR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:54
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SCR,2,1990,,5.49,3.14,1.16,0.75,2.61,0.00,0.00,0.00,0.00,0.28,0.56,1.66
SCR,2,1991,,0.37,3.18,7.48,0.38,0.26,0.56,0.00,0.01,0.05,1.22,0.32,2.04
SCR,2,1992,,1.68,6.89,3.32,0.93,0.00,0.22,0.00,0.00,0.00,1.26,0.36,6.23
SCR,2,1993,,9.37,5.11,2.43,0.75,1.23,0.94,0.00,0.00,0.00,0.43,2.70,2.04
SCR,2,1994,,2.16,3.17,0.07,0.77,1.65,0.00,0.00,0.00,0.00,0.45,3.96,3.54
SCR,2,1995,,12.35,0.19,7.84,1.90,1.01,0.53,0.01,0.00,0.00,0.00,0.00,5.14
SCR,2,1996,,3.30,6.09,2.30,1.93,2.22,0.00,0.00,0.00,0.00,0.76,1.49,5.82
SCR,2,1997,,7.68,0.26,0.61,0.28,0.35,0.00,0.00,0.21,0.18,1.01,4.67,2.64
SCR,2,1998,,6.79,9.43,2.55,1.44,3.04,0.29,0.00,0.00,0.30,0.81,3.60,0.65
SCR,2,1999,,2.86,4.54,1.46,0.94,0.08,0.03,0.00,0.00,0.00,0.13,1.88,0.03
SCR,2,2000,,7.20,8.93,2.26,2.05,1.36,0.03,0.00,0.00,0.17,2.57,0.76,0.55
SCR,2,2001,,4.48,4.79,2.15,1.70,0.00,0.14,0.00,0.00,0.33,0.36,2.43,6.27
SCR,2,2002,,2.19,1.04,2.85,0.15,1.81,0.00,0.00,0.00,0.00,0.00,2.00,5.85
SCR,2,2003,,1.13,1.08,1.95,2.75,1.23,0.00,0.00,0.34,0.00,0.27,1.64,4.35
SCR,2,2004,,2.07,4.84,0.49,0.11,0.08,0.00,0.00,0.00,1.93,3.09,2.76,4.13
SCR,2,2005,,3.69,2.52,3.55,0.86,1.31,0.69,0.00,0.00,0.10,0.16,0.90,9.47
SCR,2,2006,,3.07,2.07,6.02,3.42,0.42,0.00,0.00,0.00,0.00,0.21,1.03,3.12
SCR,2,2007,,0.07,5.17,0.50,1.42,0.43,0.00,0.01,0.00,0.08,0.93,0.98,3.35
SCR,2,2008,,7.42,1.83,0.12,0.01,0.04,0.00,0.00,0.00,0.00,0.75,2.22,1.75
SCR,2,2009,,1.48,5.06,1.83,1.61,1.30,0.47,0.00,0.00,0.19,3.42,0.36,3.16
SCR,2,2010,,4.75,2.29,2.98,2.65,0.75,0.00,0.00,0.00,0.01,1.43,2.39,5.55
SCR,2,2011,,1.36,3.39,7.00,0.08,1.40,1.14,0.00,0.00,0.00,1.72,0.87,0.07
SCR,2,2012,,2.52,0.94,4.45,2.42,0.00,0.03,0.03,0.00,0.00,1.28,3.97,6.15
SCR,2,2013,,1.06,0.36,1.59,0.58,0.30,0.22,0.00,0.00,0.55,0.00,0.82,0.38
SCR,2,2014,,0.20,4.14,1.77,1.83,m,m,m,m,m,m,m,m
SCR,2,,
'End of Data
