'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SAN DIEGO NWS-LINDBERGH FIELD (SDG), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:55
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SDG,2,1990,,2.52,1.13,0.25,0.76,0.51,0.87,0.00,0.01,0.00,0.00,0.65,0.59
SDG,2,1991,,1.06,2.46,6.96,0.05,0.01,0.00,0.24,0.01,0.28,0.69,0.05,1.70
SDG,2,1992,,1.81,3.34,4.42,0.28,0.07,0.04,0.03,0.05,0.00,0.18,0.03,2.56
SDG,2,1993,,9.09,4.73,1.22,0.00,0.01,0.41,0.03,0.00,0.00,0.22,0.77,0.78
SDG,2,1994,,0.70,2.75,3.67,0.93,0.07,0.00,0.03,0.01,0.00,0.01,0.46,0.80
SDG,2,1995,,8.06,1.93,3.81,0.96,0.59,0.46,0.05,0.00,0.00,0.00,0.30,0.88
SDG,2,1996,,1.52,0.88,1.10,0.36,0.02,0.00,0.09,0.00,0.03,0.94,1.70,0.64
SDG,2,1997,,3.02,0.31,0.00,0.28,0.00,0.00,0.00,0.00,0.85,0.02,1.17,1.35
SDG,2,1998,,2.68,7.65,2.21,1.11,0.64,0.10,0.00,0.00,0.03,0.05,0.69,0.67
SDG,2,1999,,1.54,0.70,1.09,1.62,0.06,0.04,0.00,0.00,0.02,0.00,0.04,0.32
SDG,2,2000,,0.18,3.68,1.00,0.54,0.00,0.00,0.00,0.01,0.00,1.24,0.26,0.01
SDG,2,2001,,3.30,2.38,0.63,0.76,0.01,0.00,0.00,0.00,0.00,0.00,0.99,0.45
SDG,2,2002,,0.32,0.17,0.46,0.63,0.00,0.00,0.00,0.00,0.31,0.04,0.32,1.98
SDG,2,2003,,0.02,4.88,1.36,1.41,0.30,0.00,0.00,0.00,0.00,0.00,0.60,0.61
SDG,2,2004,,0.34,2.81,0.22,0.60,0.00,0.00,0.00,0.00,0.00,4.98,0.33,4.01
SDG,2,2005,,4.49,5.83,2.12,0.59,0.12,0.02,0.01,0.00,0.10,0.46,0.12,0.25
SDG,2,2006,,0.36,1.11,1.36,0.88,0.77,0.00,0.04,0.01,0.00,0.76,0.15,0.71
SDG,2,2007,,0.51,1.12,0.09,0.46,0.00,0.00,0.00,0.00,0.05,0.37,0.97,0.80
SDG,2,2008,,3.34,1.21,0.26,0.00,0.23,0.02,0.00,0.00,0.00,0.18,2.49,3.38
SDG,2,2009,,0.08,2.63,0.18,0.14,0.04,0.03,0.00,0.00,0.00,0.00,0.12,2.28
SDG,2,2010,,3.38,2.28,0.68,1.78,0.01,0.02,0.02,0.00,0.03,2.18,0.88,5.00
SDG,2,2011,,0.30,2.10,1.46,0.26,0.36,0.03,0.00,0.00,0.13,0.46,3.12,0.86
SDG,2,2012,,0.40,1.19,0.97,0.88,0.02,0.00,0.00,0.00,0.00,0.70,0.28,2.19
SDG,2,2013,,1.21,0.63,1.22,0.01,0.26,0.00,0.05,0.00,0.00,0.25,1.48,0.46
SDG,2,2014,,0.01,1.00,1.28,0.53,0.00,0.00,0.00,0.08,0.00,m,m,m
SDG,2,,
'End of Data
