'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SOUTH ENTRANCE YOSEMITE (SEY), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:55
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SEY,2,1990,,6.50,6.17,2.32,1.93,2.61,0.25,0.01,0.05,0.06,0.06,0.96,1.22
SEY,2,1991,,1.23,4.48,23.93,1.13,1.40,0.75,0.00,0.01,0.15,4.22,2.06,3.10
SEY,2,1992,,1.57,10.88,6.44,0.51,0.00,0.22,1.89,0.00,0.00,4.28,1.02,14.06
SEY,2,1993,,21.60,8.57,5.64,1.83,1.60,3.09,0.00,0.00,0.00,1.69,2.24,3.27
SEY,2,1994,,1.90,7.82,0.99,5.83,1.63,0.00,0.00,0.00,1.10,4.92,6.29,3.96
SEY,2,1995,,20.50,2.15,23.93,5.41,5.34,1.68,0.06,0.00,0.00,0.00,0.00,10.61
SEY,2,1996,,9.64,14.48,6.77,4.91,4.35,0.65,0.42,0.00,0.00,2.98,9.89,18.19
SEY,2,1997,,21.08,0.32,0.25,0.25,0.00,0.29,0.00,0.00,0.32,0.43,4.49,3.78
SEY,2,1998,,12.75,19.01,6.12,3.41,6.10,1.97,0.00,0.00,1.84,0.45,4.47,2.89
SEY,2,1999,,9.99,7.86,3.26,3.27,0.47,0.75,0.00,0.11,0.03,0.30,3.79,0.00
SEY,2,2000,,15.51,16.32,1.40,1.61,1.23,0.29,0.00,0.00,0.78,3.25,1.77,0.02
SEY,2,2001,,6.25,11.33,5.81,3.87,0.00,0.00,0.29,0.00,0.35,1.82,7.74,12.05
SEY,2,2002,,3.21,2.35,4.34,1.49,1.79,0.00,0.00,0.00,0.50,0.03,11.52,7.54
SEY,2,2003,,1.04,3.63,4.62,9.91,2.86,0.00,0.21,1.32,0.02,0.00,3.94,11.75
SEY,2,2004,,3.49,8.31,1.55,0.69,0.29,0.87,0.00,0.00,0.14,11.66,0.94,10.13
SEY,2,2005,,18.42,6.51,8.94,2.02,6.44,0.00,0.02,0.54,0.81,3.12,1.09,12.78
SEY,2,2006,,9.23,5.22,9.25,12.95,1.00,0.00,0.00,0.00,0.00,0.02,1.59,4.20
SEY,2,2007,,1.14,7.39,0.74,1.20,0.21,0.00,0.00,0.29,0.63,0.61,0.61,3.35
SEY,2,2008,,13.81,6.47,0.73,0.01,1.68,0.02,0.00,0.00,0.02,1.75,5.46,5.58
SEY,2,2009,,5.25,8.00,5.17,1.04,4.19,0.85,0.00,0.56,0.02,6.42,0.40,7.45
SEY,2,2010,,6.96,6.71,3.39,6.98,2.31,0.00,0.00,0.00,0.00,6.41,1.22,14.27
SEY,2,2011,,2.67,5.52,12.12,1.05,2.58,2.55,m,0.00,m,2.21,1.27,0.00
SEY,2,2012,,4.43,1.34,5.06,2.17,0.06,0.40,0.07,0.00,0.00,1.83,4.86,11.26
SEY,2,2013,,0.96,0.83,2.37,0.71,1.04,0.00,0.51,0.02,1.40,1.33,1.31,0.97
SEY,2,2014,,1.90,3.47,3.41,2.88,0.57,0.06,0.26,0.09,1.18,m,m,m
SEY,2,,
'End of Data
