'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SPRING GAP FOREBAY (PG&E) (SFB), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:55
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SFB,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
SFB,2,1999,,m,m,m,m,m,m,m,m,m,1.02,3.48,0.29
SFB,2,2000,,13.40,15.15,2.72,3.96,2.81,1.08,0.00,0.01,1.04,3.36,1.22,1.29
SFB,2,2001,,5.65,6.33,3.54,5.74,0.00,0.09,0.04,0.00,0.62,1.24,8.14,10.74
SFB,2,2002,,2.49,2.14,6.68,2.49,1.93,0.01,0.00,0.00,0.07,0.01,7.75,12.29
SFB,2,2003,,0.88,3.09,3.97,10.24,3.24,0.02,0.46,1.15,0.03,0.11,3.06,12.10
SFB,2,2004,,2.66,8.97,1.22,0.22,0.56,0.08,0.01,0.00,0.07,8.07,2.69,7.95
SFB,2,2005,,11.78,6.41,9.40,3.05,6.17,0.73,0.00,0.06,0.73,1.55,2.88,17.25
SFB,2,2006,,7.60,5.91,11.40,10.14,1.78,0.01,0.05,0.02,0.01,1.82,4.23,5.19
SFB,2,2007,,2.04,9.82,1.55,2.35,1.13,0.00,0.00,0.00,0.23,1.43,0.91,4.82
SFB,2,2008,,11.62,6.60,0.92,0.22,2.84,0.00,0.00,0.00,0.00,1.64,6.50,7.50
SFB,2,2009,,5.53,7.46,6.10,1.96,3.19,0.89,0.02,0.11,0.03,4.79,0.92,5.79
SFB,2,2010,,7.65,5.62,5.06,7.31,3.56,0.09,0.01,0.00,0.03,7.93,7.72,13.31
SFB,2,2011,,2.02,7.04,15.06,2.38,2.66,3.09,0.02,0.02,0.71,2.63,1.47,0.00
SFB,2,2012,,6.00,2.05,7.53,4.13,1.53,1.02,0.20,0.29,0.06,1.44,7.97,11.10
SFB,2,2013,,0.90,1.12,3.50,0.86,1.41,0.87,0.00,0.00,0.81,0.70,1.24,1.44
SFB,2,2014,,2.24,9.26,4.79,2.28,1.00,0.04,1.15,0.02,1.37,m,m,m
SFB,2,,
'End of Data
