'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SAN FRANCISCO WB AP (SFF), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:56
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SFF,2,1990,,3.06,2.28,0.79,0.20,1.55,0.00,0.01,0.00,0.20,0.19,0.28,1.79
SFF,2,1991,,0.24,3.76,6.07,0.61,0.21,0.11,0.00,0.27,0.04,1.73,0.23,2.70
SFF,2,1992,,2.04,6.44,4.12,0.25,0.00,0.39,0.00,0.14,0.00,1.12,0.15,6.04
SFF,2,1993,,11.26,4.68,2.34,0.41,0.55,0.16,0.00,0.00,0.00,0.45,1.47,2.19
SFF,2,1994,,2.50,5.26,0.24,1.12,1.52,0.03,0.00,0.00,0.10,0.33,5.73,2.49
SFF,2,1995,,8.89,0.38,8.75,1.41,0.93,0.60,0.00,0.00,0.00,0.03,0.08,6.41
SFF,2,1996,,6.92,6.03,2.89,1.56,1.24,0.00,0.00,0.00,0.00,0.68,2.54,6.86
SFF,2,1997,,8.64,0.31,0.25,0.25,0.21,0.24,0.00,0.51,0.00,0.69,6.39,3.89
SFF,2,1998,,8.98,13.60,2.01,2.11,2.34,0.06,0.00,0.00,0.09,0.62,2.41,0.98
SFF,2,1999,,3.01,3.17,2.70,2.19,0.10,0.18,0.00,0.01,0.00,0.47,2.21,0.56
SFF,2,2000,,7.37,7.34,1.74,1.27,0.55,0.14,0.00,0.00,0.07,2.38,0.85,0.44
SFF,2,2001,,3.87,6.10,1.01,1.56,0.00,0.06,0.00,0.00,0.11,0.31,4.52,8.54
SFF,2,2002,,2.13,2.59,2.13,0.36,0.52,0.00,0.00,0.03,0.01,0.01,2.00,12.03
SFF,2,2003,,1.75,1.80,1.71,3.60,0.93,0.00,0.00,0.06,0.00,0.04,2.22,7.69
SFF,2,2004,,3.40,5.67,1.16,0.12,0.12,0.00,0.00,0.05,0.04,2.63,2.07,7.98
SFF,2,2005,,4.82,5.19,4.67,2.19,1.32,0.94,0.02,0.01,0.00,0.51,2.21,11.19
SFF,2,2006,,3.52,2.81,8.74,5.02,0.41,0.00,0.00,0.00,0.00,0.63,3.05,5.31
SFF,2,2007,,0.72,4.79,0.52,1.44,0.43,0.00,0.02,0.00,0.09,2.01,0.96,3.16
SFF,2,2008,,8.86,1.87,0.33,0.14,0.03,0.00,0.00,0.01,0.00,0.35,2.31,2.82
SFF,2,2009,,0.90,7.92,2.76,0.24,0.80,0.00,0.00,0.00,0.28,3.11,0.45,2.77
SFF,2,2010,,6.66,3.42,2.79,3.59,0.95,0.07,0.00,0.01,0.02,1.81,3.10,5.69
SFF,2,2011,,0.94,4.79,5.70,0.33,0.47,1.49,0.00,0.00,0.01,1.38,1.55,0.14
SFF,2,2012,,2.16,0.66,5.97,2.79,0.02,0.09,0.00,0.00,0.00,1.47,4.50,7.11
SFF,2,2013,,0.49,0.85,0.97,1.01,0.04,0.15,0.00,0.04,0.39,0.00,0.91,0.35
SFF,2,2014,,0.01,3.76,1.93,1.61,0.00,0.01,m,m,m,m,m,m
SFF,2,,
'End of Data
