'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SODA SPRINGS 1 E (SSG), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:59
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SSG,2,1990,,7.37,9.74,3.11,2.65,5.58,0.00,0.36,0.27,0.98,1.30,1.31,2.13
SSG,2,1991,,1.04,3.47,24.60,2.31,3.36,1.48,0.80,0.04,0.55,5.16,5.47,4.13
SSG,2,1992,,1.69,14.09,4.29,1.81,0.51,2.20,0.87,1.61,0.04,6.50,1.26,20.87
SSG,2,1993,,3.40,13.70,8.10,4.29,4.65,2.68,0.00,0.00,0.00,3.78,4.21,6.73
SSG,2,1994,,3.31,11.89,2.68,3.03,2.56,0.08,0.00,0.00,1.61,1.14,13.78,10.31
SSG,2,1995,,26.82,2.83,32.28,11.77,5.35,2.83,0.20,0.04,0.00,0.00,1.18,16.14
SSG,2,1996,,19.09,15.63,9.01,7.17,10.27,0.75,1.54,0.24,1.46,3.46,7.95,34.92
SSG,2,1997,,21.51,2.24,3.03,2.73,1.30,2.65,0.16,0.32,1.02,3.23,7.09,5.08
SSG,2,1998,,19.42,22.60,9.45,5.79,6.50,2.20,0.24,0.39,3.93,1.73,14.88,4.02
SSG,2,1999,,14.49,20.49,7.28,5.89,2.67,0.87,0.12,1.29,0.24,2.87,6.14,1.93
SSG,2,2000,,19.49,18.82,2.95,3.58,4.26,0.47,0.00,0.00,1.97,5.24,2.13,2.91
SSG,2,2001,,5.12,12.20,3.51,6.06,0.83,0.24,0.31,0.00,0.83,1.89,10.90,14.76
SSG,2,2002,,6.93,5.03,9.56,4.64,1.10,0.04,0.00,0.00,0.04,0.04,9.22,20.05
SSG,2,2003,,3.97,3.95,5.56,13.90,3.26,0.16,0.12,2.28,0.00,1.02,3.46,20.08
SSG,2,2004,,7.13,11.61,1.46,2.20,1.77,0.28,0.08,0.00,0.43,8.54,3.70,12.73
SSG,2,2005,,11.18,3.98,12.71,4.02,9.25,3.15,0.00,0.08,0.55,2.32,7.01,27.87
SSG,2,2006,,11.14,9.09,17.59,13.54,1.57,0.63,0.12,0.00,m,1.22,7.48,8.43
SSG,2,2007,,2.01,15.43,1.89,3.74,2.20,m,m,0.04,1.38,4.76,1.73,8.50
SSG,2,2008,,15.90,7.91,3.23,0.91,1.85,0.00,0.08,0.00,0.00,3.23,7.08,9.76
SSG,2,2009,,5.23,13.07,11.22,2.20,6.61,2.05,0.35,m,0.00,5.08,2.68,8.98
SSG,2,2010,,12.32,6.73,9.02,9.53,5.16,1.02,0.04,0.28,0.12,11.73,10.63,21.06
SSG,2,2011,,1.73,8.27,15.83,5.55,4.45,4.02,0.00,0.00,1.26,4.72,3.50,0.24
SSG,2,2012,,7.68,4.37,15.10,5.94,0.24,1.46,0.50,0.31,0.20,3.74,11.93,13.91
SSG,2,2013,,1.33,1.14,4.65,1.38,2.56,1.89,0.00,0.75,2.48,1.65,1.69,2.20
SSG,2,2014,,2.83,12.68,9.65,3.62,1.38,0.08,0.39,1.50,1.77,m,m,m
SSG,2,,
'End of Data
