'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SAGEHEN CREEK (SGH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:56
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SGH,2,1990,,4.12,4.41,2.06,1.51,2.61,0.40,0.50,0.55,2.90,0.84,1.00,0.93
SGH,2,1991,,0.31,1.20,13.66,1.00,1.79,0.57,1.29,1.61,0.97,3.46,2.83,1.92
SGH,2,1992,,0.68,5.50,1.17,0.73,0.23,1.11,0.26,0.41,0.30,3.74,0.15,10.84
SGH,2,1993,,11.32,7.77,3.63,1.60,2.13,0.98,0.17,0.30,0.00,2.16,2.06,2.81
SGH,2,1994,,1.13,5.82,1.26,0.49,1.10,0.00,0.06,0.00,0.79,0.75,6.72,3.71
SGH,2,1995,,16.19,1.29,18.62,4.56,4.18,1.40,0.66,0.03,0.00,0.00,0.89,5.00
SGH,2,1996,,9.11,12.14,4.76,3.47,6.39,0.50,0.69,0.26,1.85,3.57,5.78,8.21
SGH,2,1997,,5.87,0.67,0.75,2.83,m,m,0.00,0.00,0.05,0.30,1.76,1.98
SGH,2,1998,,3.36,6.55,3.45,1.22,1.28,0.79,0.05,0.10,3.71,1.69,7.30,1.35
SGH,2,1999,,3.40,4.40,1.60,0.57,0.18,0.57,0.00,0.11,0.32,1.77,1.49,0.22
SGH,2,2000,,3.99,3.58,0.15,0.57,0.67,0.23,0.00,0.08,0.17,1.20,1.40,m
SGH,2,2001,,m,m,m,m,0.00,0.00,0.00,0.00,0.37,0.33,6.27,7.29
SGH,2,2002,,4.34,m,m,m,m,0.03,0.00,m,m,m,m,m
SGH,2,2003,,m,1.69,2.56,6.41,0.80,0.18,0.71,1.33,0.58,0.56,0.73,8.12
SGH,2,2004,,2.74,6.37,0.98,0.41,0.68,0.00,0.10,0.00,0.21,2.96,2.31,6.45
SGH,2,2005,,4.50,1.53,5.41,m,m,0.69,0.00,0.07,m,1.08,2.16,19.47
SGH,2,2006,,5.81,5.22,8.09,6.98,0.91,0.72,0.42,0.00,0.00,0.37,2.14,3.99
SGH,2,2007,,1.20,8.82,1.10,1.90,0.83,0.23,0.32,0.26,0.65,2.46,0.50,4.12
SGH,2,2008,,10.69,4.69,1.76,0.33,0.53,0.00,0.06,0.00,0.00,0.92,3.48,4.89
SGH,2,2009,,1.64,5.80,6.71,0.88,3.58,m,0.23,0.07,0.00,0.00,1.33,4.88
SGH,2,2010,,6.14,3.74,5.05,5.20,1.98,0.40,0.41,0.26,0.05,0.36,6.73,13.15
SGH,2,2011,,0.99,7.79,13.35,2.78,2.44,2.65,0.03,0.00,0.76,2.07,1.57,0.00
SGH,2,2012,,5.33,2.62,8.54,2.90,0.52,0.79,1.23,0.31,m,1.60,6.73,10.22
SGH,2,2013,,0.70,0.42,2.18,0.87,m,m,m,m,m,0.50,0.37,1.14
SGH,2,2014,,1.70,8.40,3.75,0.98,0.82,m,m,m,m,m,m,m
SGH,2,,
'End of Data
