'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SPRINGVILLE TULE POWERPLANT (SGV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:56
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SGV,2,1990,,5.03,4.55,4.14,1.31,3.80,0.02,0.00,0.00,0.28,0.00,1.69,0.70
SGV,2,1991,,1.25,0.07,15.83,0.61,0.39,0.00,0.00,0.00,0.17,2.26,1.56,1.70
SGV,2,1992,,2.19,7.27,3.14,0.06,0.13,0.00,2.12,0.05,0.05,3.26,0.14,5.56
SGV,2,1993,,10.90,7.18,3.69,0.83,0.04,2.47,0.00,0.00,0.00,0.66,3.77,2.67
SGV,2,1994,,1.72,5.72,1.63,2.34,1.43,0.00,0.00,0.00,0.09,1.43,4.42,2.35
SGV,2,1995,,12.01,2.67,12.41,3.40,3.63,2.11,0.00,0.01,0.08,0.00,0.00,3.29
SGV,2,1996,,9.10,9.29,3.53,2.27,0.45,0.00,0.00,0.00,0.00,1.45,8.26,7.88
SGV,2,1997,,14.32,1.31,0.08,0.00,0.00,0.10,0.20,0.00,0.55,1.17,5.76,4.27
SGV,2,1998,,12.23,16.36,6.81,6.78,7.11,6.59,0.00,0.00,3.81,0.77,3.19,1.49
SGV,2,1999,,9.60,4.56,3.16,3.14,0.91,0.97,0.16,0.00,0.15,0.00,1.75,0.18
SGV,2,2000,,5.45,13.11,2.86,2.49,1.31,0.67,0.00,0.00,0.11,3.94,0.29,0.33
SGV,2,2001,,4.98,5.84,0.59,4.56,0.00,0.00,0.26,0.00,0.00,0.76,5.93,8.69
SGV,2,2002,,2.47,1.03,4.02,1.21,1.43,0.00,0.14,0.00,0.00,0.08,10.91,5.01
SGV,2,2003,,0.19,4.06,2.84,6.10,3.16,0.00,0.20,0.05,0.04,0.18,1.53,6.81
SGV,2,2004,,2.13,6.13,1.43,0.16,0.00,0.00,0.00,0.00,0.00,4.07,1.69,4.30
SGV,2,2005,,9.08,2.78,7.20,2.30,4.13,0.00,0.00,0.00,0.32,0.46,0.82,6.39
SGV,2,2006,,6.53,2.64,9.91,7.92,0.49,0.00,0.23,0.00,0.00,0.45,0.41,5.42
SGV,2,2007,,1.44,6.51,2.25,2.09,0.12,0.00,0.00,0.00,0.33,0.30,0.23,4.96
SGV,2,2008,,6.59,8.82,0.69,0.00,1.10,0.00,0.00,0.00,0.03,0.16,3.16,4.34
SGV,2,2009,,2.79,5.21,2.25,2.46,1.14,1.37,0.01,0.00,0.07,2.69,0.78,6.96
SGV,2,2010,,5.35,8.27,3.77,6.11,0.37,0.00,0.09,0.00,0.00,1.96,4.81,17.32
SGV,2,2011,,1.58,3.35,5.38,1.16,1.22,0.56,0.21,0.00,0.06,1.61,2.06,0.00
SGV,2,2012,,5.09,2.47,5.18,4.95,0.03,0.00,0.00,0.01,0.02,0.65,1.70,5.88
SGV,2,2013,,1.34,1.94,1.00,0.36,0.45,0.00,0.11,0.07,0.01,0.44,0.44,0.68
SGV,2,2014,,1.72,4.43,0.88,2.31,0.57,0.00,0.00,0.07,0.08,m,m,m
SGV,2,,
'End of Data
