'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SHASTA DAM  (USBR) (SHA), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:57
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SHA,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,1999,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,2000,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,2001,,m,m,m,m,m,m,m,m,m,m,m,m
SHA,2,2002,,m,m,m,m,m,m,m,m,m,0.00,5.22,37.83
SHA,2,2003,,6.79,2.99,7.37,11.98,1.23,0.00,0.10,1.47,0.15,0.00,10.75,19.70
SHA,2,2004,,7.38,19.40,4.24,2.91,0.77,0.60,0.00,0.00,0.02,7.31,1.83,18.12
SHA,2,2005,,6.93,5.96,10.39,3.60,9.80,1.90,0.00,0.00,0.00,0.95,9.53,22.84
SHA,2,2006,,14.08,8.21,16.67,13.72,1.30,0.55,0.00,0.00,0.00,0.24,6.98,11.69
SHA,2,2007,,1.25,12.81,0.77,3.02,0.88,0.12,2.68,0.01,0.00,4.16,0.60,10.24
SHA,2,2008,,16.69,10.52,0.28,0.76,1.13,0.08,0.00,0.00,0.00,4.43,4.01,4.33
SHA,2,2009,,0.52,20.77,8.43,3.31,7.45,2.35,0.00,0.00,0.02,8.13,1.36,6.62
SHA,2,2010,,21.78,12.02,5.24,10.39,3.80,0.54,0.00,0.29,0.48,7.07,9.02,14.63
SHA,2,2011,,1.87,6.24,18.75,2.06,4.57,4.29,0.28,0.00,0.17,3.99,3.59,0.69
SHA,2,2012,,7.60,2.85,19.28,5.33,0.60,0.49,0.06,0.00,0.00,1.59,15.62,19.66
SHA,2,2013,,0.88,0.72,4.47,1.84,0.54,3.57,0.00,0.00,2.12,0.03,2.52,0.32
SHA,2,2014,,0.48,12.25,12.78,2.18,0.20,0.00,0.02,0.45,2.54,m,m,m
SHA,2,,
'End of Data
