'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SHASTA DAM (OBS) (SHO), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:57
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SHO,2,1990,,10.63,3.33,3.01,1.93,12.76,0.18,0.01,1.08,0.53,1.99,0.65,0.77
SHO,2,1991,,1.49,3.76,22.26,1.78,1.73,1.72,0.01,0.00,0.00,2.44,1.58,5.66
SHO,2,1992,,4.33,19.72,10.04,5.70,0.06,6.78,0.14,0.00,0.00,6.73,3.04,16.43
SHO,2,1993,,14.96,10.09,13.63,4.95,6.33,2.48,0.00,0.02,0.00,1.67,1.78,11.35
SHO,2,1994,,7.66,7.10,0.57,4.80,1.48,1.67,0.00,0.00,0.11,0.07,6.35,6.25
SHO,2,1995,,38.21,2.66,28.87,7.73,3.45,3.60,0.00,0.00,0.00,0.00,0.27,19.93
SHO,2,1996,,10.38,20.68,3.55,4.55,6.82,0.22,0.00,0.00,0.81,3.41,11.71,27.82
SHO,2,1997,,16.78,1.22,3.06,2.81,0.38,4.37,0.27,1.10,1.73,1.83,16.33,4.94
SHO,2,1998,,22.65,36.73,14.24,5.74,9.53,1.78,0.04,0.00,0.20,1.48,15.92,5.00
SHO,2,1999,,8.79,14.03,8.62,3.04,1.06,0.60,0.00,0.08,0.00,1.98,8.22,1.85
SHO,2,2000,,16.59,26.69,6.89,5.40,1.94,1.07,0.01,0.00,3.62,4.26,1.25,3.39
SHO,2,2001,,8.79,15.22,4.59,2.53,0.29,2.36,0.04,0.00,0.95,2.87,17.26,20.05
SHO,2,2002,,6.16,5.21,4.86,1.78,2.67,0.28,0.00,0.00,0.00,0.00,5.22,37.82
SHO,2,2003,,6.79,2.99,7.37,11.98,1.23,0.00,0.10,1.47,0.15,0.00,10.75,21.28
SHO,2,2004,,7.66,19.50,4.24,2.91,0.87,0.70,0.00,0.00,0.09,8.09,1.84,18.18
SHO,2,2005,,7.51,5.96,9.13,4.41,9.82,1.90,0.00,m,m,m,m,m
SHO,2,2006,,m,m,m,m,m,m,m,m,m,m,m,m
SHO,2,2007,,m,m,m,m,m,m,m,m,m,m,m,m
SHO,2,2008,,m,m,m,m,m,m,m,m,m,m,m,4.33
SHO,2,2009,,m,m,m,m,m,m,m,m,m,m,m,m
SHO,2,2010,,m,m,m,m,m,m,m,m,m,m,m,m
SHO,2,2011,,m,m,m,m,m,m,m,m,m,m,m,m
SHO,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
SHO,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
SHO,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
SHO,2,,
'End of Data
