'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SOUTH LAKE (SLK), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:57
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SLK,2,1990,,4.28,2.33,0.74,1.83,0.64,0.20,0.98,0.48,1.92,0.12,0.14,0.40
SLK,2,1991,,0.67,0.47,9.20,0.32,0.93,0.18,0.18,0.46,0.78,1.21,1.32,1.61
SLK,2,1992,,0.48,4.51,2.74,0.29,0.55,0.86,0.62,0.71,0.39,2.23,0.00,4.82
SLK,2,1993,,5.30,6.97,0.69,0.39,0.13,0.36,0.00,0.23,0.07,0.17,2.42,1.26
SLK,2,1994,,0.49,3.37,2.27,0.67,1.20,0.00,0.00,0.00,3.25,1.12,1.93,1.25
SLK,2,1995,,7.67,0.58,9.82,0.71,2.14,1.32,0.24,0.15,0.00,0.00,0.00,3.42
SLK,2,1996,,3.38,8.39,2.80,3.40,1.67,0.31,0.98,0.11,0.12,2.51,3.92,5.70
SLK,2,1997,,9.41,0.52,0.13,0.65,0.39,2.10,1.08,0.19,0.58,0.18,2.26,2.51
SLK,2,1998,,2.09,8.33,3.19,0.88,0.62,0.78,0.29,0.05,1.15,0.60,1.03,0.19
SLK,2,1999,,4.04,2.62,0.42,3.87,0.80,0.00,0.39,0.62,0.22,0.18,0.71,0.08
SLK,2,2000,,4.18,4.18,0.40,1.15,0.26,0.20,0.00,1.54,0.00,1.56,0.37,0.00
SLK,2,2001,,3.35,5.11,2.27,2.98,0.49,0.51,1.59,0.42,1.42,1.08,2.93,3.40
SLK,2,2002,,1.60,0.46,1.54,1.06,0.62,0.42,0.25,0.15,0.50,0.20,m,5.09
SLK,2,2003,,0.32,1.96,1.78,1.57,m,0.07,m,0.81,m,0.31,2.55,0.73
SLK,2,2004,,0.73,3.40,m,0.83,0.06,0.01,0.00,m,m,2.02,m,m
SLK,2,2005,,m,m,m,m,m,m,m,m,m,m,m,m
SLK,2,2006,,m,m,m,m,m,m,m,m,m,0.83,m,m
SLK,2,2007,,m,m,m,m,m,m,m,m,m,0.01,m,m
SLK,2,2008,,m,m,m,m,m,m,m,m,m,m,m,1.85
SLK,2,2009,,0.90,4.53,2.66,0.40,0.50,1.60,0.10,0.20,m,2.72,1.50,1.18
SLK,2,2010,,3.62,1.65,3.51,7.92,m,m,m,m,m,1.97,1.34,9.26
SLK,2,2011,,3.01,0.47,5.87,1.10,1.10,0.08,1.46,0.00,m,1.77,1.46,0.00
SLK,2,2012,,3.50,0.74,1.70,1.34,0.08,0.12,0.16,2.36,m,0.88,1.50,3.14
SLK,2,2013,,1.00,0.40,0.16,0.44,0.68,0.08,1.56,0.60,0.44,1.24,2.06,1.00
SLK,2,2014,,1.04,2.52,1.72,1.60,1.28,0.00,1.72,1.84,0.80,m,m,m
SLK,2,,
'End of Data
