'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SAN LUIS OBISPO POLY (SLO), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:57
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SLO,2,1990,,4.15,2.98,0.70,0.48,1.42,0.00,0.00,0.00,0.56,0.01,0.36,0.43
SLO,2,1991,,0.81,2.34,12.82,0.43,0.00,0.80,0.00,0.07,0.00,0.44,0.58,4.49
SLO,2,1992,,3.43,9.84,3.15,0.10,0.00,0.04,0.44,0.00,0.00,1.29,0.00,5.45
SLO,2,1993,,10.51,8.61,4.03,0.25,0.23,0.09,0.00,0.00,0.00,0.22,1.89,2.20
SLO,2,1994,,2.93,5.97,1.43,1.46,0.86,0.00,0.00,0.00,2.38,0.89,2.51,1.15
SLO,2,1995,,16.03,2.25,16.48,1.12,0.76,0.76,0.00,0.00,0.00,0.00,0.40,3.57
SLO,2,1996,,4.33,10.98,1.78,1.92,1.08,0.00,0.00,0.00,0.00,2.23,4.43,10.88
SLO,2,1997,,13.31,0.46,0.00,0.05,0.00,0.00,0.05,0.01,0.00,0.00,5.84,5.09
SLO,2,1998,,7.86,15.07,3.79,2.34,3.44,0.05,0.00,0.00,0.35,0.37,1.88,0.49
SLO,2,1999,,3.62,2.37,5.19,2.07,0.00,0.00,0.00,0.00,0.13,0.13,1.69,0.08
SLO,2,2000,,4.33,13.17,1.92,2.97,0.21,0.34,0.00,0.00,0.02,2.21,0.03,0.19
SLO,2,2001,,8.10,7.17,4.94,1.87,0.00,0.00,0.00,0.00,0.00,0.49,5.96,4.18
SLO,2,2002,,1.13,0.84,1.83,1.33,0.18,0.00,0.00,0.00,0.05,0.00,4.42,8.07
SLO,2,2003,,0.38,3.16,3.51,1.93,1.39,0.00,0.03,0.03,0.00,0.03,2.71,3.25
SLO,2,2004,,1.13,8.29,0.61,0.00,0.00,0.00,0.00,0.00,0.00,5.21,2.26,8.25
SLO,2,2005,,9.45,6.64,4.75,2.10,1.37,0.01,0.00,0.00,0.05,0.01,1.18,0.83
SLO,2,2006,,5.62,1.54,3.06,2.88,1.33,0.00,m,0.00,0.00,0.05,0.45,m
SLO,2,2007,,1.39,3.39,0.44,0.90,0.00,0.00,0.00,0.13,0.00,0.57,0.06,2.92
SLO,2,2008,,7.36,2.75,0.14,0.29,0.03,0.00,0.00,0.07,0.00,0.33,1.51,1.90
SLO,2,2009,,0.91,5.83,1.35,0.49,0.22,0.40,0.00,0.00,0.00,6.14,0.00,3.40
SLO,2,2010,,6.11,4.45,1.32,2.41,0.16,0.00,0.04,0.00,0.00,1.70,1.85,9.66
SLO,2,2011,,2.56,3.70,7.97,0.28,1.12,1.34,0.03,0.00,0.01,1.06,3.20,0.18
SLO,2,2012,,3.27,0.73,2.95,3.69,0.00,0.00,0.01,0.03,0.00,1.35,2.65,5.30
SLO,2,2013,,1.35,0.89,0.68,0.06,0.31,0.01,0.03,0.00,0.02,0.44,0.28,0.27
SLO,2,2014,,0.03,5.83,2.57,1.08,0.00,0.00,0.00,0.00,0.00,m,m,m
SLO,2,,
'End of Data
