'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SLY PARK (SLP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:58
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SLP,2,1990,,7.34,4.34,4.04,2.79,5.42,0.00,0.09,0.00,0.14,0.93,1.86,1.29
SLP,2,1991,,0.73,2.64,18.70,1.91,3.25,1.51,0.00,0.00,0.05,4.79,2.47,2.96
SLP,2,1992,,2.74,10.63,6.67,0.97,0.00,1.52,0.01,0.00,0.00,3.52,0.70,14.75
SLP,2,1993,,15.70,11.44,8.32,3.19,4.46,1.95,0.00,0.00,0.00,2.78,2.54,4.73
SLP,2,1994,,3.58,8.39,0.54,3.29,1.98,0.00,0.00,0.00,0.63,1.82,12.07,7.48
SLP,2,1995,,20.95,1.70,20.81,9.18,5.66,2.34,0.00,0.00,0.00,0.00,0.64,10.39
SLP,2,1996,,15.43,10.54,7.82,5.31,7.60,1.08,0.00,0.00,0.74,2.34,9.25,23.60
SLP,2,1997,,19.86,1.43,0.75,2.25,0.75,2.37,0.02,0.10,0.00,2.68,6.52,4.42
SLP,2,1998,,18.06,17.30,8.49,5.22,8.25,1.14,0.00,0.00,0.88,0.89,6.35,6.36
SLP,2,1999,,12.32,15.37,5.53,4.10,2.27,0.53,0.00,0.28,0.00,1.89,5.31,1.87
SLP,2,2000,,16.88,16.71,2.13,2.71,5.50,0.79,0.00,0.02,2.62,5.39,2.35,2.56
SLP,2,2001,,5.16,8.02,3.23,6.31,0.00,0.08,0.03,0.00,0.38,1.02,7.92,11.51
SLP,2,2002,,4.69,4.96,8.44,2.24,2.64,0.00,0.00,0.00,0.02,0.00,4.08,12.60
SLP,2,2003,,1.88,4.19,4.19,12.04,2.82,0.20,0.00,0.79,0.00,0.00,2.60,2.28
SLP,2,2004,,0.48,6.99,2.04,0.64,0.24,0.08,0.00,0.00,0.00,7.20,3.88,7.76
SLP,2,2005,,11.80,5.84,10.48,3.36,7.88,2.92,0.04,0.00,0.45,0.44,3.95,20.60
SLP,2,2006,,10.60,5.42,15.64,15.48,1.68,0.00,0.01,0.00,0.00,1.71,6.47,6.54
SLP,2,2007,,2.23,12.24,2.04,3.84,1.14,0.05,0.40,0.00,0.78,2.67,1.53,5.60
SLP,2,2008,,9.77,7.22,1.51,0.00,1.76,0.00,0.00,0.00,0.22,2.07,5.18,5.60
SLP,2,2009,,5.17,8.08,7.13,2.97,6.32,0.04,0.00,0.00,0.12,3.19,1.79,7.10
SLP,2,2010,,8.71,4.98,6.72,6.16,6.54,0.04,0.00,0.00,0.00,9.30,9.68,16.94
SLP,2,2011,,2.96,5.47,17.71,2.13,5.24,2.20,0.00,0.00,0.77,3.47,2.04,0.03
SLP,2,2012,,6.84,1.67,13.48,7.69,0.27,0.02,0.20,0.00,0.00,2.30,9.28,12.79
SLP,2,2013,,1.28,0.92,2.39,2.66,1.28,1.57,0.00,0.00,2.40,0.08,1.80,0.02
SLP,2,2014,,1.46,13.58,7.33,4.16,0.71,0.00,0.17,0.00,0.00,m,m,m
SLP,2,,
'End of Data
