'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station STANDISH HICKEY PARK (SNH), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:58
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SNH,2,1990,,16.45,6.38,3.47,0.97,12.18,0.50,0.46,0.47,0.03,3.65,1.47,2.99
SNH,2,1991,,4.35,5.73,14.50,2.06,1.76,0.56,0.23,0.12,0.00,3.82,3.67,5.02
SNH,2,1992,,6.50,12.17,7.72,5.32,0.10,3.09,1.46,0.00,0.00,7.60,5.29,22.31
SNH,2,1993,,21.01,10.50,10.03,9.00,7.94,1.59,0.00,0.10,0.00,1.82,2.24,12.92
SNH,2,1994,,9.80,10.07,1.68,4.16,3.09,0.33,0.05,0.00,m,0.45,11.29,8.62
SNH,2,1995,,39.38,4.09,23.07,10.54,3.01,1.98,0.13,0.04,0.12,0.09,1.88,23.43
SNH,2,1996,,21.26,14.43,6.66,8.32,5.16,0.00,0.00,0.00,1.34,2.93,9.15,35.08
SNH,2,1997,,20.53,5.67,4.63,5.03,1.34,1.61,0.00,0.77,0.65,6.19,14.49,7.77
SNH,2,1998,,31.82,23.01,10.86,4.72,3.80,0.04,0.00,0.00,0.07,2.68,15.65,7.80
SNH,2,1999,,11.35,26.47,11.49,4.84,1.08,0.00,0.00,0.41,0.00,3.75,10.14,4.36
SNH,2,2000,,18.56,17.18,2.97,4.02,1.66,1.35,0.00,0.00,0.35,6.89,3.98,3.36
SNH,2,2001,,5.83,10.18,4.59,2.07,0.27,1.61,0.59,0.25,0.11,1.53,17.85,17.55
SNH,2,2002,,13.60,m,4.97,2.10,2.17,m,m,m,m,m,5.88,m
SNH,2,2003,,6.51,6.99,4.85,16.99,m,0.00,m,m,0.00,0.19,m,20.65
SNH,2,2004,,10.30,18.27,m,m,m,m,m,m,m,m,m,m
SNH,2,2005,,m,m,m,m,m,m,m,m,m,2.25,14.18,33.15
SNH,2,2006,,18.89,10.76,17.06,8.30,0.48,0.00,0.00,0.00,0.00,0.65,10.89,14.54
SNH,2,2007,,3.73,12.81,2.12,4.86,m,m,m,m,0.87,m,m,m
SNH,2,2008,,14.66,11.28,m,m,m,m,m,m,m,3.11,6.07,11.94
SNH,2,2009,,2.14,6.23,10.21,1.25,3.44,0.05,0.00,m,0.52,4.34,m,2.99
SNH,2,2010,,18.59,m,9.18,11.32,4.73,2.35,m,m,0.78,10.49,6.03,18.20
SNH,2,2011,,m,m,m,m,m,m,m,m,m,m,m,m
SNH,2,2012,,m,m,m,m,m,m,m,m,m,m,m,m
SNH,2,2013,,m,m,m,m,m,m,m,m,m,m,m,m
SNH,2,2014,,m,m,m,m,m,m,m,m,m,m,m,m
SNH,2,,
'End of Data
