'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SONORA RS (SOR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:58
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SOR,2,1990,,4.68,3.55,3.22,2.16,3.23,0.00,0.00,0.00,0.03,0.00,1.40,1.75
SOR,2,1991,,0.25,1.88,11.70,1.11,0.94,0.14,0.00,0.05,0.00,5.22,0.85,2.65
SOR,2,1992,,2.11,7.04,4.94,0.31,0.02,0.53,0.60,0.00,0.00,3.28,0.27,8.80
SOR,2,1993,,12.32,7.78,5.26,1.44,1.47,1.32,0.00,0.00,0.00,0.67,1.68,2.80
SOR,2,1994,,2.59,6.99,0.46,4.44,2.23,0.00,0.00,0.00,0.48,2.15,6.42,3.86
SOR,2,1995,,17.13,1.00,14.59,4.32,3.96,2.49,0.00,0.00,0.00,0.00,0.00,6.84
SOR,2,1996,,8.47,8.51,3.93,3.33,5.49,0.43,0.00,0.00,0.00,1.37,6.79,15.05
SOR,2,1997,,12.87,0.54,0.30,0.54,0.10,0.00,0.02,0.00,0.17,0.98,5.85,3.08
SOR,2,1998,,14.40,14.34,6.87,4.34,3.94,0.31,0.00,0.00,0.54,0.39,2.37,3.80
SOR,2,1999,,10.35,10.55,1.80,4.23,0.40,0.55,0.00,0.00,0.00,0.70,2.91,0.42
SOR,2,2000,,10.44,13.15,2.95,2.64,2.54,0.54,0.00,0.09,0.60,4.24,0.92,0.82
SOR,2,2001,,6.84,4.86,3.40,3.42,0.00,0.02,0.00,0.00,0.29,0.83,5.14,9.91
SOR,2,2002,,2.60,3.18,5.32,0.77,1.06,0.00,0.00,0.00,0.04,0.00,6.40,9.86
SOR,2,2003,,1.23,2.21,2.37,6.57,1.41,0.00,0.11,1.65,0.00,0.00,2.26,8.76
SOR,2,2004,,2.64,6.10,1.17,0.09,0.35,0.00,0.00,0.00,0.31,5.17,3.16,5.92
SOR,2,2005,,10.77,5.53,8.24,2.28,3.62,0.42,0.00,0.00,1.06,1.14,1.30,11.96
SOR,2,2006,,5.95,3.03,10.58,11.85,1.82,0.00,0.00,0.00,0.00,0.60,2.44,5.36
SOR,2,2007,,1.86,9.78,1.39,2.36,0.78,0.02,0.02,0.00,0.16,1.12,0.80,6.27
SOR,2,2008,,9.31,5.55,0.46,0.05,0.42,0.00,0.00,0.00,0.00,0.62,4.39,4.43
SOR,2,2009,,2.50,5.87,4.96,1.31,1.99,0.33,0.00,0.02,0.16,2.88,1.32,5.47
SOR,2,2010,,6.43,5.15,3.66,5.76,1.73,0.11,0.00,0.00,0.00,4.80,7.45,10.55
SOR,2,2011,,2.49,5.66,12.65,0.53,2.61,1.87,0.00,0.00,0.00,2.10,1.12,0.90
SOR,2,2012,,4.76,1.45,5.83,4.96,0.00,0.44,0.02,0.02,0.04,0.82,4.31,10.61
SOR,2,2013,,1.41,0.86,1.72,1.47,0.27,0.25,0.00,0.00,0.64,0.79,1.13,0.99
SOR,2,2014,,1.33,5.73,4.33,2.47,0.18,0.04,0.00,0.00,0.67,m,m,m
SOR,2,,
'End of Data
