'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SANTA ROSA (SRO), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:59
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SRO,2,1990,,5.74,3.27,2.03,0.24,5.46,0.01,0.00,0.00,0.27,0.62,0.44,1.16
SRO,2,1991,,0.75,4.72,13.74,0.33,0.13,0.72,0.00,0.05,0.01,1.74,1.15,2.91
SRO,2,1992,,2.03,9.34,4.69,1.64,0.00,0.79,0.00,0.00,0.00,3.65,0.31,8.73
SRO,2,1993,,11.48,5.58,3.44,1.60,1.43,1.06,0.00,0.00,0.00,3.28,3.39,4.12
SRO,2,1994,,3.55,5.27,0.32,1.57,0.84,0.00,0.00,0.00,0.04,1.02,7.21,4.56
SRO,2,1995,,19.99,1.14,13.40,3.43,0.86,0.63,0.00,0.00,0.00,0.23,0.14,9.38
SRO,2,1996,,9.93,9.52,2.75,3.59,3.75,0.00,0.00,0.00,0.00,0.71,3.88,12.40
SRO,2,1997,,11.66,0.41,1.20,1.12,1.11,0.42,0.00,0.98,0.40,1.58,8.93,3.65
SRO,2,1998,,11.17,19.76,3.56,2.25,2.90,0.00,0.00,0.00,0.03,1.20,7.00,1.06
SRO,2,1999,,4.75,12.34,4.31,2.20,0.08,0.13,0.00,0.00,0.03,0.98,4.39,0.43
SRO,2,2000,,5.09,12.74,2.68,2.15,1.21,0.22,0.00,0.00,0.41,2.32,1.65,1.00
SRO,2,2001,,5.64,6.62,1.94,1.04,0.00,0.33,0.00,0.00,0.09,1.18,12.09,12.29
SRO,2,2002,,6.42,1.66,2.08,0.61,1.13,0.00,0.00,0.00,0.00,0.00,3.48,16.18
SRO,2,2003,,3.63,2.18,2.24,4.78,1.48,0.05,0.03,0.01,0.07,0.04,3.19,11.42
SRO,2,2004,,3.44,9.29,1.14,0.68,m,m,m,m,m,3.27,1.81,10.46
SRO,2,2005,,4.12,4.29,5.74,1.61,5.55,0.95,0.00,0.02,0.00,1.00,2.47,17.65
SRO,2,2006,,5.36,3.63,10.03,5.05,0.49,0.02,0.02,0.00,0.00,0.57,3.58,5.46
SRO,2,2007,,0.49,7.07,0.28,2.58,m,m,0.17,0.00,0.05,3.26,0.81,5.06
SRO,2,2008,,10.21,3.09,0.32,0.30,0.03,0.00,0.00,0.00,0.03,0.80,1.94,3.26
SRO,2,2009,,0.63,7.97,2.77,0.49,3.10,0.06,0.00,0.00,0.16,3.34,1.05,3.34
SRO,2,2010,,8.88,3.84,3.70,4.29,2.68,0.11,0.01,0.01,0.10,5.14,3.13,8.38
SRO,2,2011,,1.68,5.71,10.44,0.66,2.41,1.62,0.00,0.00,0.01,2.07,2.07,0.09
SRO,2,2012,,6.31,2.16,7.79,2.43,0.08,0.04,0.00,0.00,0.00,1.48,8.42,7.18
SRO,2,2013,,0.57,m,m,m,m,m,m,m,m,0.01,1.08,0.41
SRO,2,2014,,0.10,9.34,2.38,0.73,m,m,m,m,m,m,m,m
SRO,2,,
'End of Data
