'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SIERRAVILLE RS (USFS) (SRR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:59
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SRR,2,1990,,2.81,3.27,1.64,1.58,1.97,0.21,0.10,0.30,0.76,0.41,1.25,0.87
SRR,2,1991,,0.14,1.39,8.49,0.40,1.27,0.17,0.46,0.83,0.83,3.09,2.60,1.91
SRR,2,1992,,0.37,2.50,1.05,0.52,0.47,0.76,0.07,0.96,0.42,3.03,0.16,8.95
SRR,2,1993,,8.63,5.28,2.65,1.32,1.30,1.33,0.02,0.33,0.01,1.33,2.23,2.84
SRR,2,1994,,0.34,3.74,1.57,0.39,0.87,0.00,0.00,0.00,0.71,0.64,5.08,2.99
SRR,2,1995,,11.86,0.89,15.16,2.36,2.88,1.05,0.76,0.00,0.00,0.00,0.68,5.97
SRR,2,1996,,7.96,8.78,3.55,3.55,3.77,0.14,0.32,0.00,0.68,1.20,3.52,16.49
SRR,2,1997,,12.21,0.45,0.40,0.61,0.06,1.32,0.00,0.00,0.36,1.62,2.25,1.80
SRR,2,1998,,5.38,7.09,3.88,1.67,1.81,0.31,0.08,0.00,2.35,0.73,4.38,2.37
SRR,2,1999,,5.99,8.87,2.64,1.88,0.00,0.12,0.00,0.82,0.37,1.75,1.58,0.74
SRR,2,2000,,8.90,7.00,0.48,1.79,0.63,0.41,0.00,0.00,0.21,1.84,1.00,0.74
SRR,2,2001,,0.88,1.88,1.82,1.91,0.00,0.00,0.02,0.00,0.42,0.66,4.62,4.68
SRR,2,2002,,1.60,1.19,2.37,0.98,0.38,0.05,0.11,0.00,0.00,0.00,6.10,7.17
SRR,2,2003,,1.13,1.12,2.43,3.99,0.55,0.18,0.51,1.28,0.01,0.03,1.45,6.76
SRR,2,2004,,1.63,6.45,1.13,0.08,0.69,0.25,0.00,0.01,0.31,2.91,2.54,2.69
SRR,2,2005,,3.88,1.31,4.82,1.40,2.16,0.59,0.00,0.00,1.39,0.43,1.64,17.84
SRR,2,2006,,3.92,4.72,4.18,6.25,0.31,0.18,0.00,0.00,0.00,0.15,1.59,1.86
SRR,2,2007,,0.81,5.22,0.76,0.89,0.33,0.32,0.00,0.00,0.08,1.63,0.39,2.35
SRR,2,2008,,4.87,2.15,0.41,0.06,0.42,0.00,0.00,0.00,0.00,0.88,3.01,2.19
SRR,2,2009,,0.83,3.53,4.25,0.21,2.40,1.04,0.00,0.04,0.26,2.75,0.64,3.82
SRR,2,2010,,3.53,2.87,3.48,3.16,1.04,0.31,0.13,0.00,0.00,4.58,3.27,8.81
SRR,2,2011,,0.75,3.50,9.03,1.29,0.93,2.23,0.00,0.00,0.91,1.70,0.79,0.00
SRR,2,2012,,3.92,1.32,4.58,2.62,0.28,0.52,0.50,0.00,0.14,1.25,7.69,8.46
SRR,2,2013,,0.46,0.18,1.06,0.19,0.87,0.10,0.00,0.00,0.74,0.20,0.40,0.93
SRR,2,2014,,1.33,7.97,2.82,0.83,0.59,0.00,1.24,1.50,1.36,m,m,m
SRR,2,,
'End of Data
