'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SUSANVILLE (SSN), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:00
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SSN,2,1990,,1.17,1.36,0.09,0.22,1.10,0.12,1.67,0.23,0.34,0.29,1.00,0.49
SSN,2,1991,,0.24,0.87,5.75,1.19,1.21,0.54,0.44,1.04,0.34,0.88,1.24,1.54
SSN,2,1992,,0.23,1.48,0.76,0.32,0.53,0.69,0.46,1.33,0.00,1.27,0.02,5.58
SSN,2,1993,,9.78,2.74,0.97,0.22,0.57,0.42,0.09,0.12,0.15,1.27,1.10,1.17
SSN,2,1994,,1.32,2.11,1.16,0.13,1.21,0.14,0.00,0.00,0.46,0.71,3.56,2.45
SSN,2,1995,,11.48,0.88,10.50,0.78,4.00,2.48,0.45,0.00,0.00,0.00,0.54,4.83
SSN,2,1996,,4.95,5.44,3.65,2.05,2.51,0.00,0.29,0.00,0.15,1.03,1.76,8.53
SSN,2,1997,,6.03,0.27,1.28,0.56,0.23,1.46,0.64,0.01,0.63,1.41,1.72,1.92
SSN,2,1998,,4.52,4.94,2.05,1.05,3.26,2.39,0.30,0.25,1.49,0.30,3.45,2.35
SSN,2,1999,,2.86,4.38,0.97,1.04,0.07,0.67,0.00,0.03,0.02,1.69,0.51,0.50
SSN,2,2000,,5.95,4.35,1.35,1.04,0.43,0.00,0.00,0.00,0.42,0.77,1.05,0.16
SSN,2,2001,,0.56,1.78,1.59,0.59,0.00,0.00,0.03,0.00,0.37,0.51,2.72,4.20
SSN,2,2002,,2.12,0.65,0.26,0.16,0.06,0.00,0.00,0.00,0.00,0.00,2.81,7.91
SSN,2,2003,,2.31,0.77,2.55,3.60,0.00,0.09,0.49,0.60,0.00,0.05,0.50,2.85
SSN,2,2004,,1.39,6.40,0.11,0.15,1.20,0.54,0.00,0.00,0.00,2.70,1.22,2.52
SSN,2,2005,,4.87,1.10,1.95,0.80,2.00,1.22,0.00,0.00,0.30,0.66,1.67,8.90
SSN,2,2006,,1.63,2.86,1.70,2.00,0.51,0.03,0.00,0.00,0.00,0.46,1.08,0.32
SSN,2,2007,,0.32,3.65,0.44,1.00,0.06,0.00,0.00,0.00,m,1.19,0.15,0.83
SSN,2,2008,,3.33,1.85,0.33,0.01,m,0.00,0.00,0.00,0.00,0.96,m,1.41
SSN,2,2009,,0.58,0.43,4.07,1.01,0.91,0.45,0.00,0.00,0.00,2.59,1.40,2.49
SSN,2,2010,,m,m,m,m,m,0.00,0.00,0.00,0.00,m,m,m
SSN,2,2011,,0.23,2.46,3.30,0.47,0.60,2.30,0.00,0.00,0.10,0.52,0.20,0.00
SSN,2,2012,,1.88,0.61,1.57,1.16,0.00,0.58,0.20,0.09,0.00,0.53,3.69,5.84
SSN,2,2013,,0.59,0.11,0.26,0.10,0.15,0.53,0.80,0.80,1.09,0.24,0.62,0.10
SSN,2,2014,,0.86,1.29,2.96,0.82,0.93,0.10,0.19,1.04,0.28,m,m,m
SSN,2,,
'End of Data
