'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station SALT SPRINGS PH (PG&E) (SSR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:00
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
SSR,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
SSR,2,1999,,m,m,m,m,m,m,m,m,m,1.65,4.27,0.41
SSR,2,2000,,15.03,14.35,1.61,3.61,3.80,0.94,0.00,0.09,1.79,4.27,2.33,2.13
SSR,2,2001,,4.63,6.50,3.68,5.31,0.02,0.09,0.00,0.00,0.89,1.51,8.32,11.27
SSR,2,2002,,3.53,3.67,6.11,2.69,2.07,0.00,0.00,0.00,0.16,0.09,7.43,13.37
SSR,2,2003,,1.35,3.43,3.56,12.34,3.32,0.01,0.58,0.99,0.48,0.47,3.36,14.63
SSR,2,2004,,4.01,9.78,1.68,0.76,0.83,0.06,0.01,0.00,0.20,8.30,2.69,8.80
SSR,2,2005,,10.50,7.09,10.53,3.38,5.83,1.67,0.00,0.09,0.64,1.18,4.01,21.92
SSR,2,2006,,8.24,6.42,12.48,11.25,1.64,0.18,0.02,0.00,0.00,0.00,5.29,5.77
SSR,2,2007,,1.84,11.95,1.70,2.97,1.31,0.41,0.10,0.02,0.65,1.88,1.13,5.04
SSR,2,2008,,11.48,5.45,1.05,0.40,1.96,0.00,0.00,0.00,0.00,1.86,4.64,5.77
SSR,2,2009,,4.94,7.18,11.18,2.07,4.47,0.32,0.01,0.11,0.00,4.69,1.33,6.22
SSR,2,2010,,5.78,5.06,5.67,7.66,5.70,0.06,0.01,0.04,0.00,7.39,7.97,14.82
SSR,2,2011,,2.03,6.85,17.58,2.13,3.61,3.59,0.00,0.00,0.53,3.42,1.53,0.04
SSR,2,2012,,6.77,2.05,9.79,4.97,0.71,1.08,0.02,0.04,0.19,2.43,9.01,10.48
SSR,2,2013,,0.85,1.07,5.81,1.35,2.39,1.53,0.00,0.00,1.39,0.04,1.74,1.27
SSR,2,2014,,2.17,11.30,5.99,2.24,0.86,0.00,0.73,0.15,0.85,m,m,m
SSR,2,,
'End of Data
