'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station STONY GORGE RESERVOIR (STG), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:00
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
STG,2,1990,,3.53,1.02,0.61,0.15,1.53,0.00,0.00,0.35,0.05,0.29,0.47,0.76
STG,2,1991,,0.29,2.44,7.64,1.15,0.34,0.43,0.02,0.00,0.00,0.10,1.20,2.68
STG,2,1992,,1.78,5.75,4.40,0.54,0.06,1.29,0.80,0.00,0.00,1.55,0.42,5.71
STG,2,1993,,9.81,8.12,0.83,0.97,1.66,1.01,0.00,0.00,0.00,1.40,1.41,1.40
STG,2,1994,,2.41,2.41,0.30,1.70,1.05,0.00,0.00,0.00,0.00,0.85,2.74,6.60
STG,2,1995,,20.21,0.62,9.66,0.85,2.31,0.70,0.11,0.00,0.00,0.00,0.00,5.82
STG,2,1996,,5.21,5.31,2.21,1.20,1.60,0.60,0.00,0.00,0.11,1.50,1.80,2.12
STG,2,1997,,5.22,0.27,1.63,0.20,0.51,0.21,0.13,0.46,0.23,0.71,6.66,1.17
STG,2,1998,,6.54,16.52,2.74,3.16,5.28,2.61,0.00,0.00,0.03,0.83,2.77,1.16
STG,2,1999,,0.82,3.62,3.71,1.64,0.04,0.87,0.00,0.08,0.00,0.42,2.74,0.35
STG,2,2000,,4.07,5.55,1.98,2.00,1.92,0.40,0.03,0.00,0.00,3.13,0.84,0.40
STG,2,2001,,5.46,4.12,3.28,0.73,0.00,0.40,0.00,0.00,0.47,0.89,6.14,6.70
STG,2,2002,,2.85,0.80,0.70,0.32,0.44,0.00,0.00,0.00,0.02,0.00,1.78,10.93
STG,2,2003,,3.16,1.58,1.60,2.41,2.29,0.00,0.10,0.68,0.10,0.17,3.01,9.00
STG,2,2004,,2.68,6.69,1.38,0.27,0.08,0.00,0.00,0.00,0.04,2.90,2.31,7.54
STG,2,2005,,6.14,4.21,3.36,1.00,2.47,0.77,0.00,0.00,0.24,0.31,2.47,9.56
STG,2,2006,,2.61,2.40,5.28,5.65,1.49,0.69,0.00,0.00,0.00,0.10,1.27,3.82
STG,2,2007,,0.01,3.98,0.11,0.96,0.39,0.00,0.13,0.00,0.34,0.71,0.12,3.13
STG,2,2008,,10.61,3.97,0.00,0.00,0.94,0.03,0.00,0.00,0.00,0.68,1.84,1.20
STG,2,2009,,0.37,5.94,1.85,0.22,0.78,2.70,0.00,0.00,0.07,2.56,0.69,2.87
STG,2,2010,,9.26,3.95,1.03,4.01,0.68,0.02,0.00,0.02,0.31,4.33,1.05,4.67
STG,2,2011,,1.71,1.99,6.12,0.17,1.18,2.56,0.00,0.00,0.03,1.32,1.98,0.06
STG,2,2012,,3.41,1.29,2.91,1.31,0.03,0.00,0.00,0.02,0.00,0.41,5.19,6.56
STG,2,2013,,1.51,0.04,0.66,1.92,0.23,0.19,0.00,0.00,0.07,0.00,0.57,0.10
STG,2,2014,,0.03,4.46,3.60,1.37,0.78,0.00,0.00,0.21,0.45,m,m,m
STG,2,,
'End of Data
