'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station STOCKTON FIRE STATION 4 (STK), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:00
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
STK,2,1990,,1.65,2.56,0.69,0.65,2.15,0.00,0.00,0.00,0.04,0.29,0.12,0.46
STK,2,1991,,0.29,2.63,6.54,0.60,0.31,0.08,0.03,0.00,0.00,3.47,0.40,1.29
STK,2,1992,,1.93,5.33,2.37,0.92,0.00,0.06,0.00,0.00,0.00,0.89,0.35,4.26
STK,2,1993,,6.91,4.22,3.71,0.54,1.07,0.69,0.00,0.00,0.00,0.68,0.32,4.70
STK,2,1994,,1.76,4.37,0.15,0.89,m,0.00,0.00,0.00,0.05,0.74,2.34,1.30
STK,2,1995,,9.73,0.43,7.36,1.26,0.78,0.41,0.00,0.00,0.00,0.00,0.00,5.86
STK,2,1996,,4.86,4.87,2.33,1.31,1.62,0.00,0.00,0.00,0.00,1.70,2.67,6.59
STK,2,1997,,7.66,0.42,0.08,0.55,0.30,0.14,0.00,0.11,0.00,0.37,5.03,3.00
STK,2,1998,,6.13,10.05,2.57,1.74,3.23,0.18,0.00,0.00,0.07,1.05,2.60,1.08
STK,2,1999,,3.45,4.06,1.25,1.06,0.24,0.02,0.00,0.00,0.28,0.45,1.90,0.30
STK,2,2000,,6.22,8.34,1.17,1.32,0.78,0.04,0.00,0.00,0.00,2.87,0.35,0.40
STK,2,2001,,3.55,2.69,2.00,1.99,0.00,0.08,0.00,0.00,0.00,0.44,2.91,6.60
STK,2,2002,,1.62,0.86,2.92,0.10,0.92,0.00,0.00,0.00,0.00,0.00,2.58,7.52
STK,2,2003,,0.32,1.26,1.52,2.20,0.39,0.00,0.00,0.30,0.00,0.00,2.23,5.32
STK,2,2004,,3.20,4.47,0.44,0.53,0.23,0.00,0.00,0.00,0.20,3.03,2.69,3.74
STK,2,2005,,3.72,2.56,2.94,1.75,0.94,0.26,0.00,m,m,0.41,0.25,7.92
STK,2,2006,,3.61,1.15,4.68,3.47,0.76,0.00,0.00,0.00,0.00,0.32,1.61,2.16
STK,2,2007,,0.95,2.91,0.54,0.96,0.10,0.00,0.02,0.00,0.27,0.69,0.80,m
STK,2,2008,,7.08,2.18,0.12,m,0.00,0.00,0.00,0.00,0.00,0.45,m,2.26
STK,2,2009,,1.38,4.35,1.15,0.49,0.68,0.06,0.00,0.00,0.35,2.22,0.12,1.60
STK,2,2010,,2.62,2.90,1.54,2.77,0.37,0.00,m,0.00,m,1.38,2.37,6.01
STK,2,2011,,0.00,3.09,4.63,0.01,0.73,0.29,0.00,0.00,0.00,0.90,1.10,0.10
STK,2,2012,,1.33,0.33,2.85,1.82,0.00,0.00,0.00,0.00,0.00,0.53,m,m
STK,2,2013,,m,m,0.20,0.00,m,m,0.00,0.00,m,0.00,1.15,0.34
STK,2,2014,,0.21,2.87,1.89,0.82,m,m,m,m,m,m,m,m
STK,2,,
'End of Data
