'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station STRAWBERRY VALLEY (STV), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:01
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
STV,2,1990,,14.76,10.64,4.01,2.24,10.72,0.06,0.02,0.03,0.24,1.16,3.40,3.04
STV,2,1991,,1.88,3.59,33.10,3.36,4.04,2.30,0.00,0.21,0.01,5.42,4.16,7.08
STV,2,1992,,4.54,22.62,7.53,3.63,0.25,2.56,0.02,0.00,0.00,7.30,1.96,23.19
STV,2,1993,,30.08,14.86,10.67,4.85,4.24,3.73,0.00,0.60,0.00,3.55,4.43,10.84
STV,2,1994,,5.88,12.69,1.46,4.82,3.14,0.22,0.00,0.01,0.32,1.44,12.22,16.31
STV,2,1995,,42.49,2.48,35.98,12.74,8.07,4.94,0.07,0.00,0.00,0.00,0.83,20.97
STV,2,1996,,20.22,24.04,7.91,9.80,11.60,0.36,0.11,0.01,1.12,3.92,10.97,44.67
STV,2,1997,,29.14,0.79,3.85,3.37,1.04,1.99,0.03,1.06,0.56,5.44,15.97,6.59
STV,2,1998,,30.51,28.99,3.52,7.86,10.52,1.30,0.00,0.00,0.92,1.76,17.97,8.18
STV,2,1999,,12.80,16.98,7.68,4.35,1.65,0.59,0.00,0.11,0.05,4.13,8.78,2.15
STV,2,2000,,17.93,31.12,7.77,5.58,4.10,0.80,0.00,0.00,1.42,8.30,2.69,2.36
STV,2,2001,,9.25,15.35,5.09,5.48,0.12,0.45,0.01,0.00,0.73,2.69,15.25,23.83
STV,2,2002,,8.64,5.68,10.75,2.57,2.63,0.00,0.04,0.00,0.00,0.02,10.50,37.98
STV,2,2003,,9.95,4.74,9.14,14.81,4.28,0.01,0.00,2.39,0.00,0.45,7.04,27.57
STV,2,2004,,9.74,20.34,3.27,2.77,1.12,0.03,0.01,0.00,0.57,10.88,3.75,16.38
STV,2,2005,,14.03,6.95,15.82,5.51,13.97,3.75,0.03,0.00,0.82,3.57,8.54,41.19
STV,2,2006,,14.46,9.95,22.66,19.71,2.42,0.43,0.00,0.00,0.00,0.82,9.35,16.17
STV,2,2007,,2.56,22.16,1.75,6.10,1.94,1.47,0.27,0.00,1.42,5.73,1.90,11.89
STV,2,2008,,19.17,12.08,2.69,0.87,0.94,0.00,0.00,0.00,0.00,3.52,8.02,11.11
STV,2,2009,,5.72,21.09,13.05,2.12,8.49,0.49,0.00,0.06,0.18,6.10,3.90,9.04
STV,2,2010,,20.47,9.60,8.56,13.02,5.72,0.46,0.00,0.30,0.03,11.95,15.16,26.65
STV,2,2011,,3.20,13.10,29.30,5.54,6.04,3.27,0.00,0.00,0.20,5.89,3.56,0.79
STV,2,2012,,10.77,4.48,23.77,11.69,0.32,1.43,0.03,0.09,0.00,4.83,24.54,24.50
STV,2,2013,,1.23,1.19,6.19,1.55,1.10,3.11,0.00,0.00,2.50,1.15,2.56,1.22
STV,2,2014,,1.83,20.31,15.43,3.59,1.30,m,0.01,m,m,m,m,m
STV,2,,
'End of Data
