'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station TAHOE CITY (NWS) (TAC), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:01
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
TAC,2,1990,,4.13,4.91,1.15,1.82,2.54,0.52,0.23,0.65,0.64,0.29,1.31,1.67
TAC,2,1991,,0.08,1.26,12.96,0.88,1.32,0.35,0.64,1.62,0.48,3.10,2.55,1.18
TAC,2,1992,,1.08,5.38,1.83,0.14,0.23,1.67,0.97,0.16,0.56,3.54,0.31,10.56
TAC,2,1993,,11.56,8.44,2.85,1.68,1.30,1.04,0.00,0.00,0.02,1.93,1.16,2.11
TAC,2,1994,,1.36,6.47,0.69,0.99,1.43,0.00,0.12,0.00,0.33,1.11,8.31,4.21
TAC,2,1995,,16.18,1.37,19.58,5.13,3.57,1.30,0.04,0.04,0.00,0.00,0.58,8.81
TAC,2,1996,,12.78,11.57,6.09,3.57,4.18,0.73,0.03,0.51,0.15,1.64,6.66,18.50
TAC,2,1997,,18.23,0.91,0.86,1.41,0.60,1.67,0.04,0.00,0.40,1.57,4.60,3.02
TAC,2,1998,,9.64,13.92,5.48,1.42,2.31,1.80,0.31,0.33,2.63,0.97,5.59,4.17
TAC,2,1999,,9.20,13.07,3.68,3.13,0.75,0.60,0.38,0.76,0.14,1.89,2.16,0.93
TAC,2,2000,,11.86,8.80,0.50,1.63,2.37,0.10,0.00,0.00,0.85,2.57,1.95,1.53
TAC,2,2001,,1.88,4.86,1.51,2.32,0.24,0.00,0.00,0.00,0.35,0.85,6.46,8.01
TAC,2,2002,,3.18,1.93,4.49,1.96,0.43,0.00,0.22,0.00,0.00,0.02,6.74,9.75
TAC,2,2003,,1.97,1.79,2.22,6.27,0.95,0.56,0.11,1.59,0.09,1.26,0.99,9.77
TAC,2,2004,,2.06,7.25,0.94,0.62,0.77,0.27,0.00,0.00,0.05,5.23,1.72,7.20
TAC,2,2005,,6.31,2.77,6.75,1.37,4.67,1.03,0.20,0.45,0.31,1.54,2.52,18.60
TAC,2,2006,,7.33,5.15,6.43,6.23,0.54,0.05,0.00,0.00,0.00,0.16,3.10,2.98
TAC,2,2007,,1.46,7.48,1.13,1.47,0.60,0.20,0.00,0.08,1.00,2.02,0.43,3.29
TAC,2,2008,,7.58,4.03,1.10,0.18,0.62,0.01,0.00,0.00,0.00,1.09,2.87,4.58
TAC,2,2009,,2.44,4.39,6.37,0.60,3.98,0.76,0.11,0.13,0.00,3.60,0.83,4.07
TAC,2,2010,,7.68,2.86,4.03,4.03,1.55,0.44,0.00,0.28,0.02,7.63,6.78,11.40
TAC,2,2011,,0.84,5.75,12.73,2.00,2.04,2.12,0.03,0.00,0.46,1.76,1.96,0.00
TAC,2,2012,,5.48,1.81,6.82,2.53,0.36,0.60,m,m,m,1.53,5.12,11.72
TAC,2,2013,,0.62,0.14,1.92,0.41,1.99,0.84,0.18,0.10,0.62,0.47,0.39,1.31
TAC,2,2014,,2.05,7.52,2.88,1.45,0.94,0.00,0.56,0.89,0.96,m,m,m
TAC,2,,
'End of Data
