'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station TIGER CREEK POWERHOUSE (TCP), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:02
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
TCP,2,1990,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1991,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1992,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1993,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1994,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1995,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1996,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1997,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1998,,m,m,m,m,m,m,m,m,m,m,m,m
TCP,2,1999,,m,m,m,m,m,m,m,m,m,1.95,5.22,0.69
TCP,2,2000,,15.55,16.44,2.38,3.09,4.84,0.67,0.00,0.00,2.02,4.86,2.01,2.56
TCP,2,2001,,6.04,7.68,3.22,5.66,0.00,0.03,0.00,0.00,0.45,1.38,7.62,12.86
TCP,2,2002,,3.69,4.07,6.80,2.12,2.40,0.00,0.03,0.00,0.04,0.00,5.56,13.52
TCP,2,2003,,1.57,3.39,3.39,10.25,2.18,0.00,0.36,0.23,0.00,0.31,3.27,13.05
TCP,2,2004,,4.51,9.03,1.75,0.39,0.42,0.05,0.14,0.06,0.41,8.37,3.15,8.94
TCP,2,2005,,9.03,6.72,11.31,2.76,4.70,1.60,0.00,0.00,0.64,0.76,2.90,20.27
TCP,2,2006,,6.77,4.33,13.60,10.77,1.50,0.03,0.00,0.00,0.01,1.38,4.59,5.60
TCP,2,2007,,2.69,12.02,1.90,2.79,0.85,0.17,0.05,0.08,0.30,1.90,1.34,6.50
TCP,2,2008,,11.78,5.61,1.24,0.18,1.40,0.00,0.00,0.00,0.00,1.39,3.63,6.87
TCP,2,2009,,4.49,8.28,7.00,2.74,3.92,0.02,0.00,0.00,0.12,4.06,1.20,8.03
TCP,2,2010,,8.74,5.08,4.84,8.26,4.10,0.03,0.00,0.00,0.01,8.08,9.43,13.95
TCP,2,2011,,3.53,6.58,15.58,2.11,3.76,2.70,0.00,0.00,0.09,2.97,1.62,0.03
TCP,2,2012,,6.79,2.90,9.92,5.77,0.44,1.31,0.02,0.03,0.09,1.87,9.87,11.37
TCP,2,2013,,1.03,0.79,3.14,1.45,0.92,1.17,0.00,0.00,1.14,0.40,1.36,1.18
TCP,2,2014,,1.53,12.98,5.48,2.54,0.22,0.00,0.01,0.03,1.34,m,m,m
TCP,2,,
'End of Data
