'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station TRACY CARBONA (TCR), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:02
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
TCR,2,1990,,1.17,0.86,0.49,0.35,2.96,0.00,0.00,0.00,0.03,0.09,0.21,1.10
TCR,2,1991,,0.40,1.44,2.78,0.23,0.46,0.00,0.00,0.00,0.00,0.93,0.15,0.66
TCR,2,1992,,0.96,4.08,1.76,0.59,0.00,0.12,0.00,0.00,0.00,0.32,0.27,4.18
TCR,2,1993,,3.91,3.87,2.54,0.33,1.75,0.39,0.00,0.00,0.00,0.30,1.16,1.39
TCR,2,1994,,0.89,2.27,0.00,0.90,2.43,0.00,0.00,0.00,0.07,0.60,1.36,0.79
TCR,2,1995,,4.96,0.24,3.59,0.40,0.42,0.27,0.00,0.00,0.00,0.00,0.00,3.58
TCR,2,1996,,3.28,3.28,1.68,0.42,1.07,0.08,0.00,0.00,0.00,0.93,1.76,3.39
TCR,2,1997,,4.02,0.28,0.17,0.06,0.65,0.00,0.00,0.03,0.00,0.08,2.97,1.18
TCR,2,1998,,3.34,6.98,1.32,1.27,2.67,0.19,0.00,0.00,0.10,0.80,1.12,0.50
TCR,2,1999,,2.66,1.61,1.45,1.23,0.68,0.07,0.00,0.00,0.13,0.19,0.40,0.07
TCR,2,2000,,2.78,4.38,0.53,0.74,0.44,0.04,0.00,0.00,0.30,2.54,0.64,0.36
TCR,2,2001,,1.91,1.36,1.43,1.12,0.00,0.00,0.00,0.00,0.20,0.23,1.57,4.04
TCR,2,2002,,1.25,0.55,1.46,0.00,0.08,0.00,0.00,0.00,0.00,0.00,1.24,3.72
TCR,2,2003,,0.50,0.69,0.84,1.33,0.31,0.00,0.00,0.57,0.00,0.00,1.57,1.95
TCR,2,2004,,0.84,2.65,1.51,0.17,0.10,0.00,0.00,0.00,0.33,1.66,1.29,2.67
TCR,2,2005,,2.31,2.92,1.86,0.94,0.68,0.07,0.00,0.00,0.10,0.00,0.35,1.76
TCR,2,2006,,3.20,1.12,2.74,3.17,0.70,0.00,0.00,0.00,0.10,0.26,0.97,1.42
TCR,2,2007,,0.50,3.40,0.19,0.64,0.00,0.00,0.00,0.00,0.23,0.53,0.58,1.70
TCR,2,2008,,6.72,1.70,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.22,1.11,0.86
TCR,2,2009,,2.40,2.34,0.46,0.23,0.29,0.68,0.00,0.00,0.28,1.50,0.07,1.48
TCR,2,2010,,4.13,1.81,1.24,1.28,0.27,0.00,0.00,0.00,0.00,0.75,1.46,2.78
TCR,2,2011,,0.74,2.38,3.20,0.11,0.29,2.07,0.00,0.00,0.00,1.02,0.29,0.14
TCR,2,2012,,0.77,0.40,1.83,1.73,0.00,0.02,0.00,0.00,m,0.18,1.15,3.22
TCR,2,2013,,1.10,1.10,0.38,0.99,0.00,0.11,0.00,0.00,0.23,0.00,m,0.20
TCR,2,2014,,0.34,1.83,1.14,m,0.00,0.00,0.00,m,m,m,m,m
TCR,2,,
'End of Data
