'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station TRUCKEE RS (OBS) (TKE), sensor 2, from 01/01/1990 00:00 to 11/02/2014 22:02
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
TKE,2,1990,,3.44,4.59,1.80,1.55,2.02,0.45,0.31,0.75,1.25,0.28,1.05,1.41
TKE,2,1991,,0.05,1.34,10.97,0.87,1.63,0.39,0.87,1.72,0.61,2.71,2.83,1.83
TKE,2,1992,,0.71,5.20,1.86,0.33,0.31,1.13,0.21,0.84,0.62,3.11,0.34,10.73
TKE,2,1993,,9.32,8.13,2.73,1.67,1.12,1.24,0.13,0.01,0.04,1.84,1.59,2.45
TKE,2,1994,,0.99,5.61,1.38,0.73,1.78,0.01,0.00,0.00,0.35,0.55,6.59,3.55
TKE,2,1995,,12.67,1.32,14.05,4.14,3.50,1.18,0.39,0.01,0.00,0.00,0.50,6.08
TKE,2,1996,,9.45,9.00,4.95,2.94,4.17,0.59,0.38,0.51,0.63,1.30,3.91,16.77
TKE,2,1997,,16.17,1.01,1.01,1.09,0.48,1.59,0.15,0.00,0.20,1.24,3.02,2.61
TKE,2,1998,,8.64,10.13,4.66,2.51,2.56,2.18,0.14,0.40,4.25,0.82,5.49,2.95
TKE,2,1999,,7.91,10.28,3.62,3.04,0.41,0.65,0.02,1.25,0.15,1.48,1.89,0.94
TKE,2,2000,,9.72,8.86,0.79,2.37,1.81,0.25,0.01,0.00,0.80,2.16,1.24,1.01
TKE,2,2001,,1.64,3.57,2.45,2.78,0.21,0.03,0.08,0.01,0.55,0.58,4.41,6.45
TKE,2,2002,,2.18,1.62,4.60,1.51,0.29,0.02,0.45,0.00,0.00,0.06,5.71,10.90
TKE,2,2003,,2.67,0.98,1.98,3.80,0.69,0.04,1.10,2.11,0.10,0.20,1.27,7.20
TKE,2,2004,,2.91,5.47,0.63,0.29,0.27,0.31,0.01,0.30,0.22,4.88,1.01,4.76
TKE,2,2005,,7.35,1.67,6.41,2.35,3.55,1.00,0.00,0.10,0.31,1.09,1.98,13.11
TKE,2,2006,,7.06,4.85,7.85,7.59,0.63,1.73,0.21,0.15,0.03,0.37,3.33,3.19
TKE,2,2007,,1.31,9.06,1.30,1.67,0.72,0.41,0.29,0.28,1.15,1.93,0.65,4.05
TKE,2,2008,,10.35,4.60,1.11,0.22,1.22,0.00,0.00,0.00,0.00,0.57,1.55,4.75
TKE,2,2009,,2.04,5.61,6.49,0.91,2.43,0.60,0.10,0.10,0.00,0.24,1.10,5.70
TKE,2,2010,,4.80,2.70,3.60,3.90,0.80,0.40,0.03,0.05,0.06,5.90,4.90,9.40
TKE,2,2011,,0.90,8.00,10.20,1.30,1.69,1.87,m,m,m,0.55,0.63,0.03
TKE,2,2012,,4.02,1.25,5.98,2.19,0.29,m,m,m,m,1.58,6.05,7.33
TKE,2,2013,,0.48,0.13,1.47,0.51,1.78,0.45,0.03,0.01,0.85,0.80,0.51,0.95
TKE,2,2014,,1.85,5.86,3.04,0.77,0.79,0.00,0.78,1.18,0.88,m,m,m
TKE,2,,
'End of Data
